_Episode  _MeanReward
20  -114.235
40  -121.133
60  -119.341
80  -119.28
100  -126.646
120  -122.027
140  -116.052
160  -119.356
180  -128.264
200  -128.456
220  -129.531
240  -127.768
260  -126.453
280  -123.01
300  -116.31
320  -107.851
340  -102.493
360  -105.911
380  -103.021
400  -105.324
420  -106.683
440  -113.164
460  -106.475
480  -105.186
500  -99.5452
520  -94.5303
540  -98.2516
560  -96.0045
580  -97.1858
600  -87.9139
620  -88.2279
640  -85.7112
660  -117.079
680  -118.697
700  -120.521
720  -150.475
740  -128.233
760  -140.435
780  -118.129
800  -163.11
820  -118.996
840  -115.097
860  -115.224
880  -132.832
900  -110.25
920  -111.027
940  -112.874
960  -112.178
980  -112.73
1000  -113.759
1020  -114.641
1040  -112.849
1060  -111.26
1080  -109.165
1100  -107.401
1120  -104.038
1140  -107.973
1160  -105.211
1180  -108.023
1200  -103.493
1220  -100.382
1240  -101.265
1260  -89.8888
1280  -137.211
1300  -84.268
1320  -91.6816
1340  -92.123
1360  -96.6221
1380  -84.1747
1400  -81.1639
1420  -83.5257
1440  -77.474
1460  -66.2272
1480  -78.4422
1500  -60.9309
1520  -59.7111
1540  -40.3224
1560  -38.953
1580  -43.588
1600  -32.7963
1620  -36.7958
1640  -106.739
1660  -152.489
1680  -150.73
1700  -149.848
1720  -147.917
1740  -147.229
1760  -146.0
1780  -151.336
1800  -152.255
1820  -154.308
1840  -155.975
1860  -157.73
1880  -158.724
1900  -161.62
1920  -160.065
1940  -157.656
1960  -165.306
1980  -166.446
2000  -167.646
2020  -167.591
2040  -167.084
2060  -164.201
2080  -162.389
2100  -159.538
2120  -158.206
2140  -156.014
2160  -139.918
2180  -145.233
2200  -139.192
2220  -136.678
2240  -134.227
2260  -134.697
2280  -131.867
2300  -131.824
2320  -127.868
2340  -128.12
2360  -124.902
2380  -126.504
2400  -127.507
2420  -124.428
2440  -122.186
2460  -121.818
2480  -120.393
2500  -121.095
2520  -118.518
2540  -118.499
2560  -121.466
2580  -121.564
2600  -114.379
2620  -117.738
2640  -110.368
2660  -119.182
2680  -114.053
2700  -110.143
2720  -107.473
2740  -101.582
2760  -97.6533
2780  -115.088
2800  -103.589
2820  -105.062
2840  -99.3068
2860  -92.3941
2880  -100.247
2900  -111.566
2920  -102.54
2940  -98.2173
2960  -91.6947
2980  -109.434
3000  -128.058
3020  -124.558
3040  -126.357
3060  -123.539
3080  -122.07
3100  -123.435
3120  -124.608
3140  -127.052
3160  -128.179
3180  -144.617
3200  -137.313
3220  -114.447
3240  -110.827
3260  -104.72
3280  -115.716
3300  -107.678
3320  -104.612
3340  -119.669
3360  -106.229
3380  -111.7
3400  -110.521
3420  -105.429
3440  -106.933
3460  -107.433
3480  -105.996
3500  -104.851
3520  -105.247
3540  -104.808
3560  -105.182
3580  -103.592
3600  -103.616
3620  -101.78
3640  -103.887
3660  -103.272
3680  -104.766
3700  -104.031
3720  -100.511
3740  -99.4877
3760  -96.8105
3780  -99.3134
3800  -101.419
3820  -105.9
3840  -105.562
3860  -102.735
3880  -99.7514
3900  -99.977
3920  -113.537
3940  -107.012
3960  -128.288
3980  -104.748
4000  -109.168
4020  -101.841
4040  -106.895
4060  -107.642
4080  -126.848
4100  -99.2707
4120  -99.3173
4140  -95.4569
4160  -96.3719
4180  -94.8941
4200  -94.1895
4220  -90.8899
4240  -93.2258
4260  -89.8175
4280  -91.384
4300  -92.7089
4320  -84.877
4340  -88.1623
4360  -83.8165
4380  -75.8243
4400  -73.8795
4420  -73.8486
4440  -72.2348
4460  -71.5111
4480  -66.9864
4500  -66.9793
4520  -66.4947
4540  -113.894
4560  -130.667
4580  -134.879
4600  -132.931
4620  -137.48
4640  -144.135
4660  -148.869
4680  -168.52
4700  -143.325
4720  -204.623
4740  -202.168
4760  -187.666
4780  -179.57
4800  -190.507
4820  -124.525
4840  -120.073
4860  -119.902
4880  -119.457
4900  -118.763
4920  -117.954
4940  -116.811
4960  -115.972
4980  -116.329
5000  -117.081
5020  -140.827
5040  -128.116
5060  -116.467
5080  -111.803
5100  -109.242
5120  -111.125
5140  -111.05
5160  -111.241
5180  -137.671
5200  -132.878
5220  -133.141
5240  -97.6849
5260  -96.5309
5280  -141.62
5300  -143.028
5320  -148.994
5340  -153.512
