_MeanReward,Steps,_Episode,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-114.235,6067,20,-0.149360257331,-0.503379077761,0.0193137146571,0.0231412772043,3.27924783275e-17,-3.86776849181,1.96537757933,0.999985702103,0.0108585766628,-1.69414016151,1.599,0.0652039693084,-0.0106307,-7.62784,6.46764,2.71142,-0.00554147,7.66767,0.00122297,0.666666666667,1.0,0.0023515645885,0.899219965881,-1.46614980579
-121.133,13588,40,-0.096939725243,-0.501741136281,0.00217754475746,0.00821844586584,-8.36670869308e-18,-4.80585258646,5.9101715793,0.999970712238,0.011421861367,-1.29488521743,1.599,0.0481268680218,-0.0162046,-6.7225,6.82569,2.69809,-0.00414226,7.6831,0.0012179,0.444444444444,1.0,0.00181240326151,0.77962977092,-1.62480377247
-119.341,8277,60,-0.136690998069,-0.501039854363,0.00069775630584,0.0171935940672,3.09043596561e-17,-5.058809167,6.5839915569,0.999962079948,0.0261007742854,-1.55446175596,1.599,0.0551938850231,-0.0124709,-6.62919,6.51119,2.72097,-0.00436312,7.71734,0.00095417,0.296296296296,1.0,0.00351873535337,0.798018735612,0.410384738898
-119.28,10844,80,-0.111389577914,-0.5,-5.45951770619e-05,0.0118809277016,-2.09676941574e-17,-7.86616274904,6.27404333242,0.999968289204,0.0167301532833,-1.22581189783,1.599,0.0429533161341,0.0233275,-6.67741,7.53439,2.76419,-0.00905839,7.73118,0.00845018,0.296296296296,1.0,0.00124357804126,0.895348261576,0.178871784
-126.646,17832,100,-0.0913395196713,-0.507613135141,0.00203561874117,0.00658676020783,-8.7662293555e-18,-5.82528373611,4.75059205081,0.999966461735,0.0204257458973,-1.39516495032,1.9678228752,0.0407569068713,0.0824536,-7.03867,7.08478,2.79637,-0.00428026,7.70967,0.00240029,0.197530864198,1.0,0.000846415916872,0.871621195762,0.00880738318272
-122.027,11653,120,-0.107604725592,-0.50664218537,0.000305292138364,0.0121432002847,-2.43900364116e-18,-8.16601203536,9.03652137161,0.999959047811,0.0282374544085,-2.00604684191,2.69801592582,0.0496671490172,0.025376,-7.05464,7.32209,2.72162,-0.00720908,7.70743,0.00405528,0.131687242798,1.0,0.00085475825722,0.929651887738,0.500967313892
-116.052,13783,140,-0.0929239223688,-0.5,0.00199852206344,0.00922843117103,-1.03104220527e-17,-6.6875847403,8.34251162751,0.999956867802,0.0299254037614,-1.4176822591,1.76604573575,0.0429507484864,0.0667243,-7.16577,7.12649,2.7703,-0.00643464,7.69378,0.00227842,0.0877914951989,1.0,0.00113394965127,0.877771737708,0.5555358324
-119.356,21288,160,-0.0761326986979,-0.5,0.00404210009415,0.00356728107518,1.23497187256e-17,-7.25068516053,10.9346842516,0.999957512316,0.0221914997788,-1.90936964039,2.01352593155,0.0368286186489,0.0499112,-6.56446,7.12983,2.73807,-0.00515941,7.66047,0.00386878,0.0585276634659,1.0,0.000406576284053,0.887072780403,0.0784933074972
-128.264,25900,180,-0.0757718933326,-0.5,0.00173815987355,0.00186821946911,-3.62129888495e-17,-5.13773745279,5.91780156974,0.999971724379,0.0201058839897,-1.57041221894,1.599,0.0362015532389,0.0320977,-7.43597,8.45639,2.6911,-0.00325769,7.62341,0.00435292,0.0390184423106,1.0,0.000197963691798,0.896004555245,-4.66541226465
-128.456,25882,200,-0.0757922771596,-0.5,0.000880256305642,0.00190904170103,1.09812647517e-18,-10.1161561726,6.68600722139,0.999947070289,0.0169314272577,-2.7411467554,1.599,0.0342291922592,0.0567439,-7.3304,7.08671,2.64336,-0.00407512,7.60915,0.00415635,0.0285714285714,1.5,0.000176288423096,0.911437959391,-0.922756340115
-129.531,27450,220,-0.0756607481373,-0.500157036996,0.0015476311639,0.00152195434231,-2.95088786436e-17,-16.8846403679,11.8888349742,0.999896597568,0.0166777418729,-2.39321383814,1.599,0.0332856627401,0.0219535,-7.75134,7.16544,2.68301,-0.00758405,7.59961,0.00587044,0.0285714285714,1.5,0.000239452075368,0.84276472977,0.596648898888
-127.768,30471,240,-0.0709841818045,-0.5,0.000849881701993,0.000718442902425,-1.86549239804e-18,-21.5272517775,20.3142095718,0.99985616767,0.0206361676947,-3.04886049405,1.599,0.0328163789035,0.0636218,-7.21981,7.26626,2.62452,-0.00597343,7.56067,0.00779496,0.0285714285714,1.5,7.38193158061e-05,0.899675063517,0.49684672116
-126.453,32000,260,-0.0685701672935,-0.106713294614,0.00434357629175,0.000309850822398,1.7763568394e-18,-9.12378031046,11.3647672017,0.999929555313,0.0234605782917,-1.12816476572,1.599,0.0324325345147,0.123959,-7.54684,8.17201,2.56389,-0.00526974,7.55569,0.00416928,0.0285714285714,2.25,3.2908598099e-05,0.89531410796,-2.83336663152
-123.01,32000,280,-0.0669937389824,-0.126287057225,0.000586380489694,0.000299664846849,-1.33226762955e-17,-7.09298486524,29.5174687397,0.999792554184,0.0269815876756,-1.36295759433,1.599,0.0332069557451,0.163333,-7.45995,7.12778,2.58953,-0.00532657,7.50667,0.00393699,0.0285714285714,3.375,5.57390719157e-05,0.817609489307,0.210347212683
-116.31,32000,300,-0.0627489245292,-0.114115454049,0.00185548593041,0.000280336566767,3.19744231092e-17,-22.4835249794,31.4778403686,0.999778223408,0.0302063218102,-1.3214803883,1.599,0.0324002410835,0.214279,-8.39831,6.95199,2.50751,-0.00988956,7.41824,0.00889436,0.0285714285714,3.375,4.85983101281e-05,0.831790611816,0.16450929589
-107.851,28926,320,-0.0590687486785,-0.5,0.00192047384367,0.00100497333319,2.94769855117e-18,-20.4236151192,11.3308562007,0.999909557385,0.0389312920399,-3.36392764212,2.32040697798,0.0335016735052,0.277734,-7.29198,7.21099,2.41178,-0.011269,7.39077,0.00822258,0.0285714285714,3.375,0.00039141237369,0.613804073109,-0.0557377419
-102.493,25840,340,-0.0580713480308,-0.5,0.0092364059552,0.00176037930793,1.09991135567e-17,-21.1878511883,6.48199062765,0.999899657934,0.0420640085953,-3.02080159856,1.599,0.0343224185137,0.271986,-6.52561,6.98766,2.38066,-0.0228802,7.30546,0.0189311,0.0285714285714,3.375,0.000335057824561,0.809668228939,0.480955423
-105.911,30543,360,-0.0573054112903,-0.5,0.00201071137733,0.000776502473255,-3.72218962517e-18,-26.9871834127,26.2845026512,0.999836229381,0.0370745393788,-2.86974771048,1.599,0.0332124604691,0.282577,-6.29051,7.74885,2.31333,-0.0136362,7.22067,0.00799931,0.0285714285714,3.375,0.00043436170221,0.465924399817,0.471669111952
-103.021,27351,380,-0.054879411394,-0.519060568261,0.00413327864165,0.00132282702942,2.59786748477e-17,-18.6364779047,4.23869156051,0.999912236249,0.0423237389696,-4.17105848067,1.599,0.0338283520852,0.300355,-7.20131,6.82092,2.21887,-0.023609,7.18177,0.0148176,0.0285714285714,3.375,0.000359355680562,0.729120969476,0.274232132393
-105.324,24810,400,-0.0614861229956,-0.5,0.00193663054738,0.00351630751812,-2.17659201603e-17,-9.92676692745,12.4876546842,0.999946404811,0.0487517960589,-3.84491341114,1.599,0.0419871592074,0.296423,-6.78772,8.16376,2.32022,-0.0285118,7.14823,0.0226032,0.0428571428571,3.375,0.00033852348059,0.903779705623,-0.24175220766
-106.683,28914,420,-0.0557307408099,-0.505903236719,0.00869521622302,0.000948249265411,-3.14551671084e-17,-19.6983824719,11.7487936693,0.999886041688,0.0411312847313,-3.80283709134,1.599,0.0363975279279,0.295445,-7.48966,8.37567,2.28075,-0.031868,7.07421,0.0232347,0.0642857142857,3.375,0.000252343775454,0.745249032717,0.346757577474
-113.164,10912,440,-0.0977010786406,-0.508598983182,0.00287384753614,0.0165804637647,-2.08370303742e-17,-7.25176004655,12.8228487855,0.999968971938,0.0582521141719,-3.59128791184,1.599,0.0631973699958,0.364248,-6.93698,14.2535,2.29331,-0.0727837,7.07865,0.0246259,0.0964285714286,3.375,0.00176095414114,0.893814119523,0.351727283331
-106.475,15387,460,-0.0725263326497,-0.518445139157,0.0026232147079,0.00921139134164,2.21654977036e-17,-20.8153854319,7.1307359154,0.9999677544,0.0601325622321,-3.50321069787,1.93052934328,0.0538606532976,0.398488,-6.38852,13.799,2.32732,-0.0355031,7.00879,0.020873,0.144642857143,3.375,0.00118800150031,0.873472860631,0.160440292207
-105.186,23013,480,-0.0615173780062,-0.5,0.00145270544256,0.00393658373363,1.23502843742e-17,-34.3335902563,14.9316826706,0.999918277401,0.0591143708885,-3.41363097633,1.599,0.0426633238432,0.393089,-6.45996,14.0265,2.25577,-0.0278985,6.98759,0.0119814,0.144642857143,3.375,0.000845527390343,0.785923994653,0.724657633904
-99.5452,25932,500,-0.0535696745842,-0.503149847402,0.0108803014137,0.00231032667859,6.98705836877e-17,-16.786208862,10.337288809,0.999933804739,0.0632893659338,-2.85359906285,2.91463008978,0.0408085807799,0.440767,-6.33238,9.14848,2.20141,-0.0326034,6.91301,0.0169456,0.144642857143,3.375,0.000301837839052,0.888055756824,0.173274973413
-94.5303,25971,520,-0.0510401406614,-0.5,0.0257372574974,0.00235227859415,2.07929028215e-17,-7.38895319808,13.7537041371,0.999930025692,0.0709707247871,-3.28310301489,1.599,0.0422573496597,0.445383,-6.43107,20.2202,2.21018,-0.0325483,6.80851,0.0130494,0.144642857143,3.375,0.000289072275806,0.877325577388,0.468151241063
-98.2516,27615,540,-0.0547166063603,-0.5,0.0044179334341,0.00195248349681,-5.24898490295e-17,-21.199889883,20.7943029158,0.999874707184,0.0673807368841,-2.84381832148,1.599,0.0392462752169,0.425748,-7.14112,17.8974,2.10359,-0.0514603,6.77405,0.0196554,0.144642857143,3.375,0.000144881525592,0.941304901805,0.794521349454
-96.0045,30442,560,-0.0503379142084,-0.5,0.000835363821765,0.000443436743943,9.33634762184e-18,-33.4514542903,5.35006321505,0.999826140917,0.0530026434243,-2.52062330715,1.599,0.0364948740833,0.45355,-7.17834,9.24302,2.05037,-0.0250171,6.73763,0.0212874,0.216964285714,3.375,0.000100681204573,0.780047065091,0.582175406288
-97.1858,26022,580,-0.0531008226032,-0.5,0.00594245307239,0.00237253104025,-2.53940797885e-17,-53.0166918968,16.4152836632,0.999904422839,0.0505265097794,-2.84454183312,1.599,0.039737229711,0.443219,-8.07535,12.0068,2.21432,-0.0288262,6.68016,0.0151342,0.216964285714,3.375,0.000429353939399,0.82780256512,0.759820884105
-87.9139,28901,600,-0.0460256530088,-0.508911333765,0.0108512076,0.000869658287271,-7.32645013171e-17,-5.85855564786,13.663570348,0.999902864204,0.0527250370887,-3.63277237783,1.599,0.0375791935721,0.445777,-7.8611,14.802,2.07676,-0.0323921,6.6364,0.0102155,0.216964285714,3.375,0.000116778347312,0.875266248892,0.191688383658
-88.2279,29049,620,-0.0473906467335,-0.5,0.00683427602966,0.00125504777683,-7.82724621995e-18,-24.7015928641,18.6937517095,0.999832091065,0.0568958824717,-2.82894752243,1.599,0.0390678802125,0.46646,-7.8764,13.7033,2.1059,-0.0263937,6.60322,0.00898814,0.216964285714,3.375,8.13781058942e-05,0.935159570955,0.724619503696
-85.7112,27491,640,-0.0465896287607,-0.500518434325,0.00806992195545,0.00162812743648,-1.03385505912e-18,-98.3244343466,10.6302678978,0.999875770324,0.063670150822,-2.81153538167,1.599,0.0406268665762,0.428353,-8.05595,12.8366,2.10759,-0.588638,6.6128,0.0840215,0.325446428571,3.375,0.000145872170684,0.913053819839,0.757798868395
-117.079,1778,660,-0.428093699636,-0.507294999547,-0.287043081648,0.0029300656703,1.19889100522e-17,-5.75071673041,1.64236893287,0.999985845119,0.134832327086,-3.60783719847,1.60739005784,0.0672100180139,2.45332,-4.87402,20.5856,3.99957,17.9752,6.64595,0.608981,0.488169642857,3.375,0.00925617749665,-2.04186151055,-8.64064080054
-118.697,1755,680,-0.444745608687,-0.502721871469,-0.29368411742,0.00237873716149,6.88275014696e-17,-1.99992692922,6.31357814629,0.999987508023,0.125714156337,-2.97498166197,1.5565400072,0.067548892233,0.593194,-11.6303,11.4474,4.00555,3.09351,6.66096,0.2601,0.732254464286,3.375,0.0010262377174,0.570837541241,-16.0779988976
-120.521,1985,700,-0.436837127487,-0.502038872366,-0.302546137807,0.00288577450715,0.0,-2.96214989029,1.89698255336,0.999956482218,0.124707227646,-2.56507488059,1.50321451448,0.0577299643973,0.588425,-20.3717,18.2989,5.08421,2.1647,6.65319,0.216376,1.09838169643,3.375,0.00122581362328,0.65876689322,0.0454879749994
-150.475,20221,720,-0.111868829603,-0.5,-0.000559999316465,0.00468106171981,-2.81110819746e-17,-1.79829529346,8.8863774768,0.999956990697,0.117439214028,-1.64732690599,1.599,0.0136330927952,0.528071,-23.6633,23.5072,2.36576,0.782613,6.68547,0.129848,1.64757254464,3.375,0.000385648692455,0.917819079145,-0.0965518195034
-128.233,11235,740,-0.138761308883,-0.5,-0.000527358031832,0.0121743560484,-1.13838622552e-16,-17.399697319,3.33487352034,0.999930811498,0.107483709278,-1.66608433799,1.599,0.0194819683361,0.604327,-26.0299,24.3432,2.57254,0.260982,6.69108,0.0685093,2.47135881696,3.375,0.000599480540194,0.951050227946,0.0734315871886
-140.435,7572,760,-0.215428928399,-0.501989825329,-0.0880595654928,0.0176596967618,-7.5070547888e-18,-5.67813909547,3.83481860237,0.999963593666,0.0992996190699,-1.6786337215,1.81060400222,0.0306122547693,0.511586,-25.313,21.9398,4.78508,2.21341,6.6976,0.202277,3.70703822545,3.375,0.00179302123615,0.89865569418,0.152873777611
-118.129,6676,780,-0.182374512622,-0.5,-0.000559999723919,0.0199167057211,-1.02175108797e-16,-7.44098558188,8.57373314987,0.999956887341,0.100228181492,-1.63602384665,1.599,0.024043567869,0.338133,-29.6298,25.4361,3.61494,2.75439,6.7165,0.21477,5.56055733817,3.375,0.000785649940026,0.960765120641,0.277201832238
