_Episode  _MeanReward
20  -125.37205
40  -125.18379
60  -127.21033
80  -134.28665
100  -127.07123
120  -148.42029
140  -138.31778
160  -145.19864
180  -145.44055
200  -138.27686
220  -140.02574
240  -153.28098
260  -141.7564
280  -192.88371
300  -180.7554
320  -187.86412
340  -158.71504
360  -136.81812
380  -130.22916
400  -126.7796
420  -125.636795
440  -126.008446
460  -122.70677
480  -123.20239
500  -125.839516
520  -123.31565
540  -122.292885
560  -146.16869
580  -125.8428
600  -119.04612
620  -117.561
640  -111.45726
660  -116.351524
680  -114.309654
700  -113.21954
720  -115.08116
740  -112.3516
760  -114.61654
780  -111.53115
800  -108.48204
820  -103.968185
840  -104.261765
860  -102.55637
880  -95.53261
900  -94.095
920  -91.57461
940  -95.60389
960  -85.56572
980  -84.611435
1000  -77.65568
1020  -76.32094
1040  -67.69701
1060  -59.987732
1080  -61.702953
1100  -62.818977
1120  -61.092834
1140  -46.61745
1160  -41.291206
1180  -31.564737
1200  -20.332188
1220  -8.865767
1240  -7.1121025
1260  2.1051354
1280  7.563899
1300  15.532339
1320  21.308453
1340  21.778715
1360  30.194052
1380  24.590162
1400  31.569818
1420  33.337795
1440  24.496443
1460  37.76621
1480  35.739464
1500  39.77673
1520  44.913162
1540  37.62988
1560  47.750126
1580  55.073692
1600  38.43872
1620  45.70904
1640  50.13798
1660  43.69671
1680  32.71882
1700  61.499306
1720  61.294838
1740  60.70199
1760  64.566635
1780  67.85721
1800  74.21463
1820  81.02874
1840  80.24602
1860  86.5378
1880  87.80388
1900  103.96611
1920  107.00045
1940  94.99496
1960  91.42219
1980  110.50431
2000  112.2534
2020  111.879616
2040  115.97194
2060  87.42161
2080  104.45198
2100  122.96096
2120  122.587326
2140  109.91439
2160  122.799965
2180  128.78352
2200  122.82796
2220  132.38101
2240  131.79471
2260  131.10867
