_MeanReward,Steps,_Episode,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-125.97856,2590,20,-0.38729429751087124,-0.5237468075385673,-0.12068094514396321,0.011567277913911603,2.4690674215601936e-17,-3.5256366151292444,2.859032973118548,0.9999901118851462,-0.03691466423744989,-1.0254689035938647,1.0031332604954386,0.05028524054615388,0.0052766,-6.234117,6.557708,2.6974387,0.312397,7.6495867,0.0007568862,0.6666666666666666,1.0,0.004411280116847461,0.6187423505327557,-1.7882714877590264
-125.252846,2507,40,-0.39982666026107816,-0.5095426853598445,-0.2007502543900087,0.007108128071624207,-1.1336940339211809e-17,-7.08269486325309,2.325781575679129,0.9999594521479649,0.0021341616253194987,-1.0999717600819092,1.0669699655791416,0.04957347894619552,-0.0067325076,-6.5557036,6.001914,2.6839063,0.28781292,7.566284,0.003196058,0.4444444444444444,1.0,0.003606997217520001,0.5032385523794387,-0.08505457315026632
-128.27483,2258,60,-0.41106712163042164,-0.5153887594684475,-0.1492253488395716,0.010872380336028453,-1.2587116665369357e-17,-2.880104496889189,2.922676034624931,0.9999603324230544,0.02029729837837214,-1.1484283749448432,1.2412898462544768,0.054348393690042185,0.0438115,-6.050602,5.971728,2.5564094,0.3103208,7.6073074,0.0050631235,0.4444444444444444,1.0,0.002872187380432923,0.7359409043374924,0.4240839203241141
-137.73752,3948,80,-0.3429994044281413,-0.5306632842454608,-0.11894264661888124,0.015538896313029337,-2.8796058186832836e-17,-2.7340150665515734,3.6853424557278966,0.9999642986863122,-0.0049085202111131855,-1.8752655114060712,1.3149863668010477,0.045772388642381125,0.09687111,-6.3802857,6.5716724,2.6712317,0.2883564,7.593926,0.015874267,0.4444444444444444,1.0,0.006307265305974973,0.5973136942416128,0.38575065865131575
-142.3988,7999,100,-0.2014028726975122,-0.5221138259749563,-0.00013244542060419917,0.020467217846206375,8.527578776468261e-17,-3.272599973301021,7.241463736121742,0.9999659057002421,-0.001560950386749023,-1.3691773336505442,1.5989999999999347,0.03849150978209243,0.19855975,-6.0505877,7.202095,2.6288419,0.2823631,7.5520115,0.014068684,0.4444444444444444,1.0,0.006588781811288683,0.6813878802745456,-0.4256758337912656
-168.74545,18938,120,-0.1387798704132514,-0.5120389695156614,0.0007319139433931013,0.011052049073074282,-3.0015534301831246e-18,-5.8444058782282635,5.237650498525553,0.9999648016239876,0.0085244064117446,-1.1970301303388295,1.5989999999999347,0.03162608771978921,0.30969575,-6.69168,6.929247,2.5650573,0.2677049,7.512957,0.0042653857,0.2962962962962963,1.0,0.005388187667558875,0.549521013357625,-0.13044600866022016
-179.74599,16400,140,-0.1788135215938713,-0.5045236910135474,-0.00012819487892556936,0.012617647895983113,1.0831444142684454e-17,-6.359496863463756,6.7100734982872945,0.9999632356320228,0.00794186756973998,-1.1256847204883202,1.5989999999999347,0.032494470463584106,0.26210338,-6.9789658,6.7023697,2.5714393,0.24358393,7.5123005,0.020586718,0.4444444444444444,1.0,0.004827269544197635,0.6197808905282036,0.005130796543245997
-199.98502,27337,160,-0.13047355192859408,-0.5004513647314162,0.00050067913143788,0.00805339625065314,8.317433348327617e-18,-9.792194811577092,4.523284874926879,0.9999466078383457,0.012313697038742107,-1.1443005542043585,1.5989999999999347,0.030309148106835878,0.30649513,-6.5248303,7.449958,2.5611007,0.25171334,7.5131884,0.0059710243,0.4444444444444444,1.0,0.003370542717421111,0.5841385130117354,-0.20973394301225934
-189.97284,16108,180,-0.19643893214854224,-0.5035775680166354,-0.08244487413103783,0.01237689806285786,7.05778729337075e-18,-5.861555901369118,5.092960263658206,0.9999626154320815,0.007884543778595172,-1.2413611320302118,1.7792341471608657,0.03362457008669686,0.24659766,-8.658539,7.532321,2.5435314,0.23041856,7.4816666,0.015164023,0.4444444444444444,1.0,0.0053421280901599245,0.5966300227371688,0.29825403535327344
-202.21654,20044,200,-0.17660137706256618,-0.500140787512064,-0.0004253450024407357,0.011310110213698783,-1.1343727571504294e-17,-5.5916133379221415,8.645993163801597,0.999964465559912,0.008527374188012905,-1.3014256507759867,1.5989999999999347,0.032215293025829574,0.31979698,-6.2085834,8.797492,2.5486364,0.25404087,7.4563274,0.006479627,0.4444444444444444,1.0,0.00455191548701727,0.5990963044193396,-0.37908867878035557
