_Episode _MeanReward
20 -124.799545
40 -126.79612
60 -130.2539
80 -130.60596
100 -141.69151000000002
120 -150.71506000000002
140 -169.34496000000001
160 -189.82062
180 -184.5081
200 -190.13297
220 -192.79141
240 -201.54788
260 -186.90668
280 -183.16026000000002
300 -187.19232
320 -184.8856
340 -213.4322
360 -177.24387
380 -193.62187
400 -194.37668
420 -160.85238999999999
440 -169.87325
460 -164.06937
480 -158.95003
500 -163.92421000000002
520 -175.97888
540 -161.8525
560 -165.56319
580 -166.68081999999998
600 -162.01707
620 -161.47202
640 -157.2817
660 -158.7128
680 -155.71559
700 -156.34769
720 -146.47401000000002
740 -174.45834
760 -165.82641999999998
780 -167.98215
800 -181.0264
820 -186.05234
840 -191.64373999999998
860 -199.21097
880 -207.33745
900 -221.31033
920 -218.66948
940 -219.5929
960 -233.94284
980 -232.7832
1000 -234.19315
1020 -213.51102999999998
1040 -200.9591
1060 -206.53146
1080 -198.67265
1100 -180.78786000000002
1120 -163.96165
1140 -157.52191000000002
1160 -158.11903
1180 -162.61803
1200 -166.10738
1220 -159.42648
1240 -158.94963
1260 -156.3328
1280 -153.57742
1300 -148.67813
1320 -145.24232
1340 -145.3624
1360 -145.10272
1380 -146.75952
1400 -147.16147
1420 -147.98138
1440 -139.30847
1460 -136.879
1480 -129.4429
1500 -134.98196000000002
1520 -139.85324
1540 -149.36618
1560 -136.84114
1580 -130.54662
1600 -129.04488999999998
1620 -132.58206
1640 -125.702774
1660 -126.62789
1680 -127.12163999999999
1700 -134.34116
1720 -124.992676
1740 -120.93233000000001
1760 -119.13944
1780 -120.59638999999999
1800 -122.54748500000001
1820 -114.927025
1840 -116.47859
1860 -115.59804
1880 -108.70003500000001
1900 -107.92635
1920 -107.6002
1940 -98.63542
1960 -105.20463600000001
1980 -114.2191
2000 -103.74939
2020 -94.73138
2040 -105.44508
2060 -92.07417
2080 -99.76389
2100 -93.22386999999999
2120 -108.92253000000001
2140 -80.8926
2160 -80.25774399999999
2180 -79.673355
2200 -84.33089
2220 -89.737915
2240 -75.60378
2260 -72.26494
2280 -76.536224
2300 -67.82714
2320 -58.099464000000005
2340 -67.9804
2360 -107.28116599999998
2380 -106.07783500000001
2400 -120.3917
2420 -81.45351
2440 -70.477554
2460 -66.86185
2480 -73.162796
2500 -60.46569
2520 -48.95388
2540 -52.176086
2560 -38.249275
2580 -28.206982
2600 -45.88382
2620 -44.635506
2640 -37.327595
2660 -28.273403000000002
2680 -19.693964
2700 0.12827449
2720 -4.4174633000000005
2740 10.074472
2760 20.613851999999998
