_Episode  _MeanReward
20  -137.023
40  -119.977
60  -129.264
80  -114.706
100  -115.946
120  -113.372
140  -113.768
160  -112.714
180  -109.152
200  -105.642
220  -103.651
240  -106.651
260  -99.2362
280  -97.5465
300  -97.4921
320  -95.1565
340  -96.701
360  -92.1572
380  -98.3569
400  -87.642
420  -84.0978
440  -85.8241
460  -83.7209
480  -77.6438
500  -79.2082
520  -70.2566
540  -72.2917
560  -57.9158
580  -47.9263
600  -32.0241
620  -17.2378
640  -0.499986
660  21.0411
680  36.4754
700  49.0634
720  50.8967
740  60.2415
760  56.6036
780  82.3693
800  83.9284
820  93.3365
840  101.918
860  93.5204
880  117.955
900  118.966
920  116.059
940  143.805
960  160.343
980  155.024
1000  158.189
1020  133.561
1040  152.469
1060  147.814
1080  148.204
1100  168.779
1120  176.887
1140  167.06
1160  136.783
1180  115.299
1200  170.188
1220  169.107
1240  160.44
1260  169.422
1280  175.483
1300  173.286
1320  194.072
1340  149.75
1360  156.098
1380  144.559
1400  153.61
1420  156.253
1440  170.108
1460  200.27
1480  174.464
1500  201.637
1520  177.429
1540  186.661
1560  200.417
1580  183.533
1600  206.057
1620  197.375
1640  207.8
1660  197.252
1680  183.285
1700  194.134
1720  197.408
1740  184.086
1760  217.426
1780  205.206
1800  217.663
1820  182.269
1840  104.184
1860  166.226
1880  173.286
1900  195.639
1920  161.931
1940  214.796
1960  216.05
1980  201.463
2000  187.053
2020  204.153
2040  218.788
2060  173.382
2080  193.079
2100  221.855
2120  208.955
2140  206.107
2160  220.966
2180  224.639
2200  218.262
2220  215.168
2240  214.433
2260  223.255
2280  226.775
2300  227.369
2320  215.7
2340  229.341
2360  204.402
2380  227.381
2400  231.009
2420  215.012
2440  230.901
2460  226.625
2480  210.089
2500  231.562
2520  201.584
2540  233.501
2560  224.078
2580  217.647
2600  234.156
2620  227.9
2640  232.641
2660  226.79
2680  232.392
2700  233.95
2720  234.823
2740  214.623
2760  112.621
2780  -120.814
2800  -122.879
2820  -124.631
2840  -120.584
2860  -117.965
2880  -121.17
2900  -119.671
2920  -121.983
2940  -126.525
2960  -124.115
2980  -123.28
3000  -122.049
3020  -125.719
3040  -123.723
3060  -124.738
3080  -121.599
3100  -123.125
3120  -124.968
3140  -128.72
3160  -129.511
3180  -133.863
3200  -138.067
3220  -143.041
3240  -148.787
3260  -159.867
3280  -169.021
3300  -170.056
3320  -176.19
3340  -173.377
3360  -176.659
3380  -172.255
3400  -178.296
3420  -177.277
3440  -179.298
3460  -181.508
3480  -186.459
3500  -183.851
3520  -190.69
3540  -189.576
3560  -195.78
3580  -192.745
3600  -194.14
3620  -200.805
3640  -200.225
3660  -205.811
3680  -196.957
3700  -201.56
3720  -202.073
3740  -202.02
3760  -203.951
3780  -200.39
3800  -179.113
3820  -183.781
3840  -165.797
3860  -172.306
3880  -162.434
3900  -156.856
3920  -159.637
3940  -160.292
3960  -156.561
3980  -155.15
4000  -153.824
4020  -152.492
4040  -149.472
4060  -148.754
4080  -145.841
4100  -145.399
4120  -142.71
4140  -130.441
4160  -141.262
4180  -140.265
4200  -141.452
4220  -140.654
4240  -138.648
4260  -138.768
4280  -132.251
4300  -136.707
4320  -138.165
4340  -135.443
4360  -133.802
4380  -134.855
4400  -132.449
4420  -135.908
4440  -132.674
4460  -131.963
4480  -129.231
4500  -125.056
4520  -122.868
4540  -119.655
4560  -116.659
4580  -114.304
4600  -109.908
4620  -107.596
4640  -103.006
4660  -103.033
4680  -101.112
4700  -98.7841
4720  -95.4931
4740  -91.1212
4760  -86.9848
4780  -87.9716
4800  -85.8714
4820  -80.9801
4840  -76.2127
4860  -75.5937
4880  -71.3678
4900  -69.0931
4920  -66.8095
4940  -64.9799
4960  -62.7967
4980  -66.1764
5000  -59.9099
5020  -59.9153
5040  -58.4414
5060  -53.3223
5080  -54.9961
5100  -54.5487
5120  -56.6961
5140  -110.055
5160  -113.184
5180  -114.353
5200  -115.212
5220  -114.913
5240  -115.513
5260  -115.337
5280  -115.847
5300  -116.065
5320  -115.382
5340  -114.74
5360  -115.062
5380  -115.215
5400  -114.725
5420  -115.342
5440  -115.131
5460  -115.53
5480  -115.3
5500  -115.383
5520  -115.333
5540  -115.244
5560  -115.879
5580  -115.975
5600  -116.091
5620  -116.464
5640  -116.448
5660  -116.557
5680  -116.529
5700  -116.393
5720  -116.322
5740  -116.43
5760  -116.489
5780  -116.233
5800  -116.563
5820  -116.327
5840  -116.334
5860  -116.584
5880  -116.474
5900  -116.597
5920  -116.426
5940  -116.821
5960  -116.701
5980  -116.475
6000  -116.227
6020  -116.873
6040  -116.695
6060  -116.662
6080  -116.286
6100  -117.072
6120  -116.43
6140  -116.636
6160  -116.627
6180  -116.629
6200  -116.87
6220  -116.658
6240  -116.691
6260  -116.559
6280  -116.84
6300  -117.062
6320  -117.062
6340  -116.689
6360  -116.813
6380  -116.858
6400  -116.443
6420  -116.54
6440  -116.806
6460  -116.917
6480  -116.714
6500  -116.957
6520  -116.754
6540  -116.849
6560  -116.562
6580  -116.652
6600  -116.931
6620  -117.093
6640  -117.185
6660  -117.336
6680  -116.892
6700  -117.233
6720  -116.777
6740  -117.093
6760  -117.132
6780  -117.195
6800  -117.343
6820  -117.008
6840  -117.125
6860  -117.2
6880  -117.351
6900  -117.245
6920  -117.108
6940  -117.558
6960  -117.245
6980  -117.478
7000  -117.394
7020  -117.192
7040  -117.375
7060  -117.436
7080  -117.479
7100  -117.489
7120  -117.624
7140  -117.555
7160  -117.732
7180  -117.75
7200  -117.583
7220  -117.892
7240  -117.891
7260  -117.926
7280  -119.192
7300  -118.174
7320  -119.404
7340  -118.57
7360  -118.945
7380  -119.2
7400  -119.183
7420  -118.966
7440  -118.12
7460  -118.282
7480  -118.429
7500  -118.499
7520  -116.952
7540  -117.403
7560  -118.974
7580  -118.33
7600  -117.221
7620  -118.833
7640  -116.625
7660  -118.888
7680  -117.772
7700  -119.036
7720  -118.241
7740  -117.886
7760  -117.101
7780  -119.191
7800  -118.756
7820  -118.59
7840  -117.315
7860  -116.877
7880  -118.371
7900  -117.408
7920  -117.544
7940  -118.148
7960  -117.146
7980  -118.83
8000  -117.571
8020  -117.549
8040  -118.015
8060  -118.506
8080  -118.46
8100  -118.164
8120  -118.393
8140  -119.411
8160  -119.185
8180  -117.435
8200  -117.037
8220  -118.169
8240  -117.313
8260  -118.717
8280  -117.286
8300  -116.661
8320  -116.975
8340  -116.723
8360  -118.891
8380  -116.564
8400  -118.394
8420  -117.389
8440  -117.685
8460  -117.06
8480  -118.165
8500  -116.168
8520  -117.755
8540  -117.856
8560  -119.036
8580  -116.878
8600  -117.398
8620  -117.361
8640  -118.001
8660  -117.908
8680  -118.102
8700  -117.652
8720  -116.565
8740  -117.148
8760  -117.466
8780  -117.912
8800  -117.272
8820  -117.153
8840  -116.812
8860  -117.241
8880  -116.596
8900  -116.549
8920  -118.312
8940  -117.319
8960  -117.02
8980  -118.682
9000  -118.117
9020  -116.457
9040  -117.833
9060  -117.555
9080  -118.474
9100  -117.192
9120  -117.583
9140  -116.121
9160  -115.979
9180  -117.959
9200  -118.799
9220  -117.007
9240  -117.919
9260  -116.578
9280  -118.027
9300  -116.863
9320  -119.553
9340  -117.195
9360  -118.216
9380  -118.212
9400  -118.93
9420  -116.656
9440  -117.895
9460  -117.861
9480  -117.92
9500  -118.271
9520  -117.068
9540  -117.029
9560  -117.869
9580  -118.08
9600  -118.622
9620  -118.145
9640  -117.133
9660  -117.68
9680  -118.664
9700  -118.403
9720  -117.868
9740  -118.192
9760  -117.113
9780  -118.295
9800  -119.809
9820  -118.571
9840  -118.21
9860  -117.629
9880  -119.162
9900  -117.907
9920  -116.92
9940  -119.758
9960  -118.334
9980  -118.455
10000  -118.848
10020  -119.589
10040  -118.293
10060  -119.002
10080  -118.635
10100  -119.58
10120  -118.384
10140  -119.155
10160  -118.49
10180  -117.136
10200  -118.4
10220  -118.133
10240  -118.932
10260  -116.829
10280  -117.923
10300  -118.715
10320  -117.497
10340  -117.749
10360  -117.756
10380  -118.474
10400  -119.061
10420  -118.878
10440  -118.049
10460  -116.188
10480  -117.385
10500  -117.987
10520  -117.946
10540  -116.51
10560  -117.147
10580  -116.558
10600  -116.896
10620  -116.375
10640  -119.736
10660  -117.101
10680  -118.893
10700  -117.784
10720  -117.858
10740  -116.592
10760  -116.877
10780  -117.655
10800  -118.149
10820  -117.815
10840  -116.417
10860  -115.863
10880  -117.837
10900  -117.534
10920  -117.17
10940  -117.107
10960  -117.452
10980  -118.649
11000  -115.142
11020  -116.208
11040  -117.071
11060  -115.632
11080  -117.337
11100  -116.166
11120  -116.249
11140  -115.227
11160  -116.115
11180  -114.549
11200  -117.588
11220  -116.903
11240  -117.378
11260  -116.202
11280  -116.039
11300  -115.634
11320  -117.734
11340  -116.48
11360  -116.027
11380  -115.368
11400  -118.126
11420  -116.466
11440  -115.669
11460  -117.624
11480  -117.975
11500  -118.225
11520  -117.515
11540  -118.402
11560  -117.76
11580  -116.928
11600  -117.483
11620  -116.09
11640  -116.921
11660  -118.233
11680  -116.556
11700  -115.966
11720  -118.773
11740  -117.909
11760  -119.013
11780  -117.164
11800  -118.237
11820  -116.79
11840  -119.141
11860  -116.381
11880  -120.341
11900  -116.934
11920  -118.074
11940  -118.786
11960  -116.607
11980  -118.222
12000  -117.29
12020  -116.863
12040  -117.647
12060  -118.783
12080  -118.879
12100  -116.833
12120  -116.424
12140  -118.994
12160  -119.469
12180  -118.162
12200  -118.065
12220  -118.485
12240  -118.195
12260  -119.934
12280  -118.666
12300  -117.43
12320  -120.93
12340  -117.701
12360  -118.529
12380  -119.668
12400  -117.998
12420  -118.933
12440  -118.584
12460  -117.481
12480  -118.901
12500  -117.919
12520  -118.87
12540  -117.111
12560  -116.554
12580  -117.046
12600  -120.788
12620  -117.916
12640  -118.282
12660  -117.014
12680  -117.629
12700  -118.092
12720  -118.394
12740  -117.689
12760  -118.475
12780  -119.225
12800  -119.745
12820  -116.62
12840  -117.277
12860  -118.118
12880  -116.908
12900  -118.879
12920  -119.878
12940  -120.253
12960  -118.927
12980  -117.392
13000  -116.848
13020  -119.062
13040  -118.351
13060  -117.112
13080  -117.136
13100  -117.505
13120  -119.285
13140  -117.557
13160  -120.133
13180  -118.906
13200  -115.813
13220  -118.926
13240  -119.119
13260  -117.553
13280  -117.433
13300  -118.297
13320  -119.131
13340  -118.192
13360  -118.851
13380  -117.2
13400  -118.393
13420  -117.284
13440  -118.48
13460  -119.101
13480  -117.798
13500  -118.973
13520  -117.859
13540  -117.878
13560  -120.949
13580  -117.389
13600  -120.051
13620  -118.132
13640  -120.97
13660  -120.633
13680  -119.686
13700  -118.199
13720  -120.059
