_MeanReward,Steps,_Episode,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-119.735,5254,20,-0.190158982669,-0.501594792394,0.000393547059502,0.0261960462389,-2.16381495473e-17,-3.93433533778,3.34883953907,0.999990287421,-0.038108523981,-1.70435098406,1.91599869007,0.0763168658087,0.0357678,-6.02881,7.65465,2.70581,-0.00870348,7.68143,0.00198642,0.666666666667,1.0,0.0076934654882,0.716813328437,-2.6457862205
-117.53,6062,40,-0.15316700307,-0.505530277659,0.00367762456865,0.0239414094449,-3.75080296013e-17,-4.89808159556,4.13134223426,0.999959189091,0.0152448105821,-1.92230802657,1.599,0.0486631755123,0.0595626,-7.30732,7.63049,2.75668,-0.00743183,7.69646,0.00186603,0.444444444444,1.0,0.00353153855341,0.852494344115,0.500787410532
-124.69,10355,60,-0.127189677833,-0.501532484298,0.00118903274899,0.0142878896802,4.66604597119e-17,-8.71082952702,4.90843271023,0.999959269049,0.0181926102675,-1.56323944273,1.66708774093,0.0525472243378,0.0279128,-6.67429,6.79677,2.7481,-0.00251925,7.68972,0.00029583,0.296296296296,1.0,0.00369868489412,0.744730942909,0.111609596761
-124.823,6847,80,-0.174105776421,-0.500107027302,0.000684301018857,0.0208018948479,-8.30194521116e-18,-5.82949638515,5.39638194736,0.999966135832,0.0243421935377,-1.29103084566,1.599,0.0540508384088,0.0155517,-6.5503,6.6964,2.75136,-0.00744235,7.69841,0.00162772,0.197530864198,1.0,0.0049284231029,0.770562814964,0.539842122964
-127.316,13132,100,-0.111303052971,-0.502826763574,0.00635301601576,0.00990339992098,8.65723710947e-18,-8.92099343647,5.82645794934,0.99995322663,0.0202624464545,-1.27123700222,1.599,0.0515999944363,0.015785,-6.71643,7.03567,2.74473,-0.00507788,7.69811,0.00255372,0.131687242798,1.0,0.00336117629213,0.683861895858,0.446029253429
-130.489,10287,120,-0.12957970109,-0.505787938646,0.000205719373917,0.0150990210139,-1.10515055625e-17,-9.82503522294,6.14426960526,0.999953908975,0.0276045326241,-1.87248031941,1.7670183439,0.054100556658,0.0601324,-6.76889,6.79213,2.75801,-0.00873175,7.6604,0.00329673,0.0877914951989,1.0,0.00345647314532,0.772154774824,0.598273522022
-115.201,7654,140,-0.132644296566,-0.502443435283,0.000428987836289,0.0181342467494,1.48532581293e-17,-6.50345514683,5.68316449377,0.999949584142,0.0369612681335,-1.5710779125,1.599,0.054702331415,0.0828867,-7.69389,7.19601,2.693,-0.0065992,7.63962,0.00241652,0.0585276634659,1.0,0.0019554457172,0.900298024664,0.809340586017
-114.798,15350,160,-0.0864965579372,-0.501899675413,0.00861741283192,0.00800037227904,-1.85157716159e-18,-6.47632761465,9.40192523496,0.999946817497,0.0251976940048,-1.4273464244,1.599,0.0470720934519,0.124161,-7.16321,7.28497,2.69701,-0.00586482,7.63445,0.00347905,0.0390184423106,1.0,0.00167075863501,0.791183604493,0.628776153052
-109.768,9235,180,-0.105964919234,-0.501739619766,0.00147766031495,0.0163346055342,-1.23104318053e-17,-7.33474212165,6.372550766,0.999945978408,0.0288265646199,-2.03661737672,1.599,0.0461266065818,0.150134,-6.54509,7.18112,2.70543,-0.00825044,7.63221,0.00355161,0.0285714285714,1.5,0.00213383937851,0.869434936641,0.795240269208
-106.26,9031,200,-0.097826961985,-0.5,0.00117991284378,0.0153036412703,-2.83241484745e-17,-9.25713274156,7.6538701271,0.999948656444,0.0352877610254,-1.3437093686,1.599,0.045201931929,0.16671,-6.24211,7.88905,2.66978,-0.0160092,7.62804,0.0099123,0.0285714285714,1.5,0.00137196693506,0.910367944691,0.788094317735
-105.291,20064,220,-0.068918753461,-0.501456796127,0.0021551112545,0.00524634048783,-1.41655250351e-17,-7.39005653138,12.1942692188,0.999924078262,0.0327630306263,-2.0621710392,1.599,0.0370961727997,0.250319,-6.49079,7.53094,2.66708,-0.00657539,7.61989,0.00525308,0.0285714285714,1.5,0.000661392326156,0.875860907868,0.692744779505
-104.289,19722,240,-0.0631539911213,-0.505414756003,0.00254271836012,0.0044001301738,-1.3690611479e-17,-8.21336409451,13.42403984,0.999915404603,0.0336579760712,-2.11779344741,1.599,0.035953589391,0.317622,-6.38516,7.40947,2.68424,-0.0062289,7.60588,0.00402858,0.0285714285714,2.25,0.000533510159233,0.883125531974,0.78981770583
-102.577,32000,260,-0.0545826308009,-0.119636429866,0.00123209138427,0.000228313239658,1.7763568394e-18,-6.92029380196,14.7551916891,0.999914137893,0.0340216312139,-1.13835975156,1.599,0.03270848347,0.313542,-6.66947,7.11161,2.65928,-0.00659971,7.54575,0.00517911,0.0285714285714,2.25,0.000255843334232,-0.0462489435626,-4.44864361606
-100.613,27402,280,-0.0559665739231,-0.5,0.00178937104385,0.00131850672024,-4.14885182547e-18,-15.6241643943,21.1285204725,0.999873681043,0.0267454976925,-1.52761852934,1.599,0.0338179211929,0.312541,-7.95857,6.77719,2.58503,-0.00684304,7.46641,0.00607981,0.0285714285714,2.25,0.000163291395986,0.882199670942,0.710190195971
-101.284,25890,300,-0.0569348536529,-0.5,0.00185609096563,0.00193372578622,0.0,-29.0119818295,16.3232684969,0.999848650667,0.0325078534831,-2.78948848533,1.599,0.0344239782908,0.339405,-6.71378,7.46652,2.47842,-0.00782607,7.43354,0.00810621,0.0285714285714,2.25,0.000171328728278,0.914454763705,0.848989340266
-96.5651,30509,320,-0.0521659373499,-0.5,0.000842794911441,0.000718975146202,-3.72633772728e-18,-28.3507554183,28.4486755564,0.99980167599,0.0422278417067,-2.05496347936,1.599,0.0335922912767,0.356953,-6.67122,8.00019,2.45934,-0.00620356,7.41687,0.0072306,0.0285714285714,2.25,6.52358269865e-05,0.909273723639,0.712630016504
-93.4759,30446,340,-0.0501951784073,-0.5,0.0061425540437,0.000450954952663,-7.46809680888e-18,-32.0550183685,31.1394355816,0.999806284404,0.0469818960419,-1.68996596876,1.599,0.0334163739528,0.372975,-6.40709,7.15743,2.43588,-0.00944684,7.39969,0.00990959,0.0285714285714,2.25,7.68690125398e-05,0.857520789111,0.66502681
-90.7462,31394,360,-0.0493422861539,-0.5,0.00979410205345,0.000900291687979,-4.0739533808e-18,-13.9354792861,14.2155510043,0.999898115475,0.0389127916501,-1.91151057867,1.599,0.036239645815,0.31066,-7.18857,7.36667,2.42446,-0.0055918,7.36929,0.00349406,0.0285714285714,3.375,0.000324843084153,0.644109309023,0.00799454299465
-85.6683,32000,380,-0.0460858956893,-0.107080184858,0.00384531358703,0.000173832770373,-2.44249065418e-18,-10.6765158136,45.1192706086,0.999728576303,0.0403748486972,-1.10723334475,1.599,0.0347450861498,0.336524,-6.51289,7.26387,2.40859,-0.00814487,7.33495,0.00542746,0.0285714285714,3.375,3.56605243597e-05,0.79710339934,0.497528154384
-83.5421,32000,400,-0.0447485333325,-0.0915888058392,0.00518591088966,0.000163195425518,8.881784197e-18,-12.3010746454,40.7358456448,0.999614684338,0.0390365558185,-1.08892954396,1.599,0.035141381893,0.330671,-6.91647,7.61081,2.37802,-0.0117416,7.27693,0.00934574,0.0285714285714,3.375,3.55200557864e-05,0.782346552558,0.593426651784
-79.4228,30463,420,-0.0417111305222,-0.500974817018,0.0083368857962,0.000578816378821,-6.06444248096e-18,-26.526819088,23.8918011098,0.999833099374,0.0401140873778,-3.35330360804,1.599,0.0358978430062,0.329891,-6.58275,7.80419,2.35942,-0.0114732,7.23937,0.00694466,0.0285714285714,3.375,5.67864246322e-05,0.911593008656,0.507562113218
-72.921,30451,440,-0.0380687821205,-0.5,0.0126121038054,0.000467940313331,-1.30670234812e-17,-36.4540452031,9.91319809399,0.999764715725,0.039412400118,-1.66521449977,1.599,0.0360270453376,0.291607,-6.25874,8.62021,2.31231,-0.0133161,7.1929,0.0083765,0.0285714285714,3.375,0.000143636245988,0.828923183392,0.71410837276
-67.0368,30455,460,-0.0333382789083,-0.5,0.0126334018337,0.000530711065817,5.59941738901e-17,-26.7725647791,32.172173268,0.999841517898,0.039678251354,-3.0858976666,1.599,0.0386773348662,0.263675,-6.3479,7.50745,2.28378,-0.0134628,7.10662,0.0103216,0.0285714285714,3.375,0.000101615789259,0.842941527346,0.547878798014
-61.6751,28911,480,-0.0299073718262,-0.506014397241,0.0147534303723,0.00102210735735,-2.1627671387e-17,-42.9262782169,13.1154784068,0.999764117885,0.0405718217947,-3.73755321303,1.599,0.0390996498229,0.264294,-7.03701,7.6774,2.24544,-0.0158494,7.05413,0.0114435,0.0285714285714,3.375,0.000113562479476,0.895224265616,0.852498684142
-47.1536,32000,500,-0.0239000461061,-0.100243655667,0.0212652614319,0.00018621577788,7.1054273576e-18,-12.7942810636,60.1356499604,0.999721588772,0.0387985934199,-1.32391214754,1.64475891016,0.0397080471428,0.2601,-7.30547,7.96903,2.26435,-0.0157322,6.9429,0.0128855,0.0285714285714,3.375,9.31601141164e-05,0.531067696054,0.291449245519
-33.9223,30450,520,-0.0146389065096,-0.5,0.0344169186351,0.00054572899423,0.0,-54.740283802,8.5005512019,0.999730513701,0.0413565031732,-1.6673809028,1.599,0.0421503187389,0.236877,-6.77618,7.38718,2.24233,-0.0213538,6.81564,0.0180755,0.0285714285714,3.375,0.000136280541874,0.790685741073,0.717066371519
-7.34521,32000,540,-0.00162777387134,-0.0456697631253,0.0446516666196,0.000180554390002,-6.03961325396e-17,-7.11184834403,21.2599175784,0.999639159813,0.0447191156135,-1.33436372055,1.599,0.0429680885318,0.224712,-5.90926,7.39434,2.23371,-0.0219631,6.70597,0.013282,0.0285714285714,3.375,0.000161926985635,0.415378095723,0.282579021008
1.79533,30509,560,0.00574841850545,-0.5,0.0553449953427,0.000845554795152,2.98107018182e-17,-31.8985258972,16.1897562433,0.999822266295,0.0459687250509,-1.80909564085,1.599,0.0444632142404,0.208765,-5.89982,8.51459,2.21658,-0.0172006,6.62077,0.0122839,0.0285714285714,3.375,0.000198145700454,0.848669617254,0.554742249397
26.0978,32000,580,0.0166730486284,-0.0250733210402,0.0687568885264,0.000208798600945,-8.52651282912e-17,-5.40366627005,7.71904988059,0.999604303269,0.0488008047164,-1.16774412546,1.599,0.0452027489484,0.200378,-5.66124,6.99919,2.28192,-0.0199147,6.54301,0.0101873,0.0285714285714,3.375,0.000106952818152,0.491303712966,0.410423281247
44.98,32000,600,0.027309263865,-0.0146562604519,0.0712657130439,0.000172970875954,1.42108547152e-17,-4.75667299772,7.70933220389,0.999612295249,0.0513337490002,-1.35834951631,1.599,0.0457836179629,0.188829,-6.58431,7.41925,2.29497,-0.0228126,6.37133,0.0177308,0.0285714285714,3.375,9.27901962987e-05,0.551088437451,0.415884738667
38.14,28796,620,0.0266727051967,-0.5,0.093230886101,0.00300231397007,1.97400398878e-18,-19.6148797062,11.1016406309,0.999888656694,0.0531439105216,-1.85977022427,1.599,0.0476605153113,0.181531,-6.27716,6.4169,2.21968,-0.0131526,6.36855,0.0111716,0.0285714285714,3.375,0.00105263582768,0.658303230731,0.550147499943
65.7612,32000,640,0.0391783279863,-0.0227272254259,0.089658146584,0.00024732982314,-8.881784197e-19,-7.24131924144,47.1703404904,0.999675564236,0.0549483315206,-1.2735259828,1.599,0.0473155866538,0.177139,-6.2421,6.79155,2.28168,-0.0199629,6.28326,0.011248,0.0285714285714,3.375,0.000166824806639,0.462070119067,0.460503217092
65.6447,30498,660,0.0421073250713,-0.5,0.0971981876292,0.000851848788787,-1.4910726962e-17,-23.9934278775,25.0957989265,0.999875448429,0.0556134077375,-1.84490275368,1.599,0.0484208997581,0.186376,-6.69362,6.90662,2.25266,-0.0165839,6.17547,0.0132206,0.0285714285714,3.375,0.000303145216625,0.662036662353,0.370740371628
82.7388,31686,680,0.0487214675915,-0.5,0.111864131525,0.00146489935783,1.61456406535e-17,-30.5136452537,20.8731841031,0.999864516664,0.0581755705836,-3.11322100198,1.599,0.0493378589519,0.192602,-6.66803,6.46575,2.23883,-0.0219376,6.12271,0.0162302,0.0285714285714,3.375,0.000816353075832,0.449692561706,0.270103643367
70.4345,29544,700,0.0456859870504,-0.5,0.107690667557,0.00330600688708,1.15441549271e-17,-21.8903597753,21.4761843404,0.999898632045,0.0583640622887,-1.85886406612,1.599,0.0491957578963,0.198078,-6.37275,7.21999,2.20783,-0.0166611,6.10597,0.0121677,0.0285714285714,3.375,0.00141673356316,0.573909086602,0.476897312182
79.112,29309,720,0.0515756786978,-0.5,0.115765974756,0.00250463841093,-8.72753710033e-18,-15.5237654316,25.2703458054,0.999927829945,0.0591166500555,-2.61201680074,1.599,0.0505233008885,0.197444,-6.35426,6.44668,2.26324,-0.0169484,6.04576,0.013548,0.0285714285714,3.375,0.00115454335092,0.553131464842,0.312587535708
64.7324,27751,740,0.0443832443669,-0.505383159239,0.111344324338,0.00600739841536,-8.19335070604e-18,-18.4403646779,7.64707167102,0.999929664033,0.0566095270187,-2.01268916275,3.14061428247,0.0500066425954,0.201541,-6.2012,6.74193,2.226,-0.0195826,6.03161,0.0120262,0.0285714285714,3.375,0.00296273595138,0.521081704,0.354794638364
103.841,30485,760,0.0654703653248,-0.5,0.124846802102,0.00125235068362,2.23756282214e-17,-19.8507862611,21.0736222566,0.999886877967,0.059038269869,-1.11633980029,2.0332217002,0.0494501631591,0.21545,-7.11312,6.42571,2.20909,-0.0234144,6.00536,0.0132904,0.0285714285714,3.375,0.000399967132772,0.736375103773,0.260308377761
100.92,30068,780,0.0624048479931,-0.5,0.122492029123,0.00288326568587,0.0,-16.8512462748,24.6063328935,0.999910532081,0.0594541206613,-1.864398943,2.78487196486,0.0498576122772,0.221985,-6.24877,6.75509,2.21499,-0.017301,5.92438,0.0167975,0.0285714285714,3.375,0.00147441600119,0.515869508087,0.35478671753
115.944,31285,800,0.0682278088902,-0.5,0.135339763728,0.00159162288039,1.09017264876e-17,-31.6351381559,20.284966297,0.999861934951,0.0600904033517,-1.79979599475,1.599,0.0495292681504,0.221111,-6.61721,8.38748,2.17158,-0.0140862,5.8583,0.0102946,0.0285714285714,3.375,0.000837290674993,0.473976797962,0.385381706825
123.884,31905,820,0.070682736697,-0.5,0.13382631512,0.00178539473076,-8.90823050632e-18,-24.9435730294,19.7326742872,0.999870445727,0.0594795735174,-3.16309688353,1.599,0.0495160789258,0.23812,-6.12935,6.88345,2.111,-0.0194104,5.81791,0.0153779,0.0285714285714,3.375,0.000486864391946,0.729162386619,0.629700948883
121.862,30455,840,0.0761448036199,-0.5,0.147441881488,0.00114162158426,-1.6798252167e-17,-31.8106075851,16.1229063046,0.99987073992,0.0608850645236,-1.18777971273,2.34070698947,0.0491923150166,0.247078,-6.48443,7.29985,2.12183,-0.0218999,5.8406,0.0189939,0.0285714285714,3.375,0.000377743157166,0.66914582233,0.543083519691
84.135,27163,860,0.0607547389579,-0.503065110152,0.144097430315,0.00592447069797,0.0,-15.1031004071,9.48754021831,0.999936693828,0.0585568211739,-2.97255785664,2.58055444043,0.0497105961189,0.2517,-6.79888,7.5336,2.05168,-0.0231052,5.87606,0.0210105,0.0428571428571,3.375,0.00374449725351,0.381128388602,0.274062269396
128.276,30468,880,0.0803624207805,-0.5,0.142410758355,0.00139371888053,-5.41046063727e-17,-26.469293366,31.7750821947,0.999880387993,0.0593726061168,-1.52978305006,2.66550965132,0.0489692131987,0.245975,-6.78524,8.10317,2.16778,-0.0167568,5.83268,0.0106313,0.0428571428571,3.375,0.000350277634721,0.814521311775,0.6159144168
152.366,32000,900,0.0864390342369,-0.0152145242556,0.147331281131,0.000715669418209,2.30926389122e-17,-4.53371377013,36.5385715818,0.999772749475,0.0597383458277,-1.41768615842,1.599,0.0483217634477,0.251938,-6.91673,6.96305,2.12809,-0.017793,5.72203,0.0130339,0.0428571428571,3.375,0.000169351353858,0.764792904842,0.669433562427
118.104,28478,920,0.0760214051126,-0.5,0.157019320249,0.00652756725332,1.59683738636e-17,-17.7310630648,12.1270464895,0.999932146968,0.0603320430077,-3.22270196601,1.82646829886,0.0497909899225,0.251013,-6.75543,6.7277,2.0737,-0.0248708,5.74382,0.0208524,0.0642857142857,3.375,0.00246986416899,0.621730269553,0.257886553609
121.14,29762,940,0.0722802651567,-0.500469949949,0.14888227986,0.00663930258678,-1.90993276194e-18,-18.0441284477,9.42946097545,0.99992506311,0.0561934434094,-3.15126126308,2.0563682189,0.0496667427595,0.26295,-6.8044,7.92621,2.15239,-0.0188942,5.79569,0.0144308,0.0642857142857,3.375,0.00291925749051,0.561206778531,0.449325088834
129.516,30555,960,0.0761191019159,-0.5,0.152384176211,0.00416634502951,-3.72072779321e-18,-14.9229076241,15.0139618977,0.999932671734,0.0562226141682,-3.17227565183,2.15679038235,0.0485189164384,0.260743,-7.78259,7.65575,2.15506,-0.0182981,5.80844,0.0114467,0.0642857142857,3.375,0.00214924143601,0.492352382912,0.316300125654
150.106,30729,980,0.089737510033,-0.500041319598,0.156201304027,0.00208636024603,7.39931906158e-18,-24.7366714931,27.582938348,0.999885095665,0.0573169671656,-3.20576274458,1.599,0.04837407329,0.262997,-7.49857,7.6166,2.22207,-0.0191608,5.81995,0.0132859,0.0642857142857,3.375,0.000893105998019,0.572157350154,0.431968226247
161.359,32000,1000,0.0918345214757,-0.0107831977161,0.150945612457,0.000739466944534,2.13162820728e-17,-4.24116238118,19.9748277881,0.999747373384,0.0563120307243,-1.10152973721,1.599,0.0466717692116,0.263622,-7.75043,7.53383,2.23245,-0.0183463,5.75345,0.0113717,0.0642857142857,3.375,0.000162960645268,0.789387727732,0.745943558099
142.746,29742,1020,0.0868450520319,-0.500296947258,0.152708345569,0.00311273156377,-4.30023846536e-18,-18.7102583373,24.3053862267,0.999906465976,0.0543776586125,-1.64461944407,1.599,0.047761658167,0.257137,-6.97188,7.11996,2.20929,-0.0171649,5.6904,0.0143206,0.0642857142857,3.375,0.00130503583713,0.585430512626,0.462274496843
152.703,30129,1040,0.0917660202541,-0.500451730601,0.169561199191,0.00382966705686,1.13200077389e-17,-20.8224881543,19.8477659218,0.99990601582,0.0541276402726,-2.7474024843,1.599,0.0477308844871,0.250062,-7.97439,6.82173,2.19038,-0.0179629,5.63743,0.016596,0.0642857142857,3.375,0.00171277515249,0.554274160139,0.451363546496
154.992,30492,1060,0.0948233743507,-0.5,0.170066279799,0.0017501007217,1.39815571775e-18,-21.3879409761,18.1270260369,0.999906671771,0.0529892153564,-1.15684473667,1.9732589993,0.0472761685722,0.254566,-7.33256,7.27339,2.12387,-0.0213068,5.55863,0.0161841,0.0642857142857,3.375,0.000353460189025,0.813376564071,0.325837494342
132.53,28570,1080,0.0859426555339,-0.5,0.159089395944,0.00711654440721,3.97923828217e-18,-17.7938253758,13.8925885291,0.999936010014,0.056295825873,-1.90347276691,2.40441866585,0.0481451986628,0.255059,-6.65022,7.23869,2.16703,-0.0193696,5.52946,0.0163604,0.0642857142857,3.375,0.00318865993971,0.560177346328,0.421193674045
163.306,30835,1100,0.0961021239393,-0.501258728592,0.168851403051,0.00340754633916,-3.68694138873e-18,-22.0770719323,18.6346885232,0.99991807871,0.0526540433514,-2.16283631975,2.72410499338,0.046289505544,0.249668,-6.54716,6.60734,2.10872,-0.0171147,5.48254,0.0123003,0.0642857142857,3.375,0.00226375889674,0.360798760143,0.290730548503
173.077,31551,1120,0.0997627682128,-0.5,0.183907119603,0.00237408526299,0.0,-28.4023788215,22.7961116571,0.999877196334,0.0524024006021,-1.63389293737,2.39481927551,0.0463530067285,0.245834,-7.26379,7.45773,2.13608,-0.0162979,5.38038,0.0126663,0.0642857142857,3.375,0.00114967648661,0.517088438391,0.447524429002
185.192,32000,1140,0.106099846465,-0.0160954543543,0.165254298824,0.000858413804685,2.6645352591e-17,-8.2578537049,50.4347037587,0.999786183686,0.0512347319353,-1.03724261393,1.599,0.0454740713926,0.24985,-6.88555,7.73881,2.04588,-0.0212399,5.27328,0.0143256,0.0642857142857,3.375,0.000203997722555,0.775741669986,0.701565352078
197.429,32000,1160,0.111948357948,-0.0085151457304,0.175029267124,0.000900398748366,2.48689957516e-17,-8.21751938841,38.5847285755,0.999770021394,0.0507794596689,-1.06134769014,1.599,0.0450982210356,0.251462,-6.28411,7.36643,1.98785,-0.0283808,5.17596,0.0162,0.0642857142857,3.375,0.000160933409889,0.836217638245,0.781897622245
185.715,30482,1180,0.109505124156,-0.5,0.193505462717,0.00407529619519,1.86481920021e-18,-23.5412941179,9.99665763733,0.99990512129,0.0476968953564,-3.1292567185,1.599,0.0454738573424,0.247226,-6.80397,7.16196,1.95566,-0.0175091,5.09297,0.0180738,0.0642857142857,3.375,0.00180839330724,0.556678287302,0.429491129546
