_Episode  _MeanReward
20  -116.46356
40  -122.27345
60  -129.98987
80  -122.492615
100  -127.56608
120  -116.92123
140  -119.70066
160  -121.99489
180  -117.00841
200  -120.36637
220  -110.94409
240  -110.59585
260  -103.77759
280  -99.37193
300  -99.01233
320  -95.933556
340  -101.46788
360  -97.97615
380  -92.42657
400  -99.30236
420  -90.468925
440  -99.61389
460  -88.60693
480  -84.903885
500  -84.38088
520  -79.890656
540  -83.43232
560  -85.48597
580  -85.323044
600  -82.27943
620  -83.286385
640  -77.46429
660  -80.95146
680  -91.12709
700  -79.227264
720  -77.12985
740  -78.02873
760  -72.14433
780  -70.49214
800  -67.60213
820  -69.37223
840  -62.110603
860  -60.093163
880  -55.195587
900  -57.219746
920  -40.76133
940  -33.520412
960  -29.687063
980  -26.273075
1000  -11.989183
1020  5.088312
1040  23.33825
1060  52.990395
1080  61.435932
1100  74.70907
1120  92.6458
1140  88.562004
1160  106.22615
1180  114.92515
1200  113.74711
1220  107.230606
1240  115.172325
1260  116.26699
1280  137.21683
1300  135.9887
1320  145.10356
1340  154.0344
1360  139.3082
1380  148.9521
1400  141.30197
1420  163.33028
1440  152.65172
1460  168.95517
1480  158.5842
1500  156.23734
1520  160.45564
1540  169.84895
1560  167.56686
1580  170.44254
1600  177.0173
1620  168.81418
1640  173.45078
1660  177.62466
1680  177.0732
1700  178.48564
1720  169.67966
1740  176.80551
1760  164.0894
1780  169.50012
1800  163.49901
1820  179.47084
1840  187.48756
1860  175.32518
1880  172.62737
1900  189.34659
1920  189.72256
1940  190.51718
1960  178.42592
1980  196.30942
2000  182.8138
2020  191.47159
2040  201.9854
2060  186.82343
2080  192.04613
2100  194.11447
2120  182.45059
2140  156.69681
2160  181.64505
2180  186.85353
2200  181.74977
2220  197.4649
2240  205.71863
2260  159.47424
2280  182.9879
2300  176.84279
2320  195.50679
2340  202.3483
2360  193.08664
2380  199.1843
2400  196.26413
2420  212.10855
2440  188.3733
2460  194.77316
2480  176.9893
2500  214.52046
2520  185.53596
2540  216.00114
2560  192.10635
2580  200.66089
2600  186.70792
2620  204.3921
2640  191.18454
2660  213.81421
2680  207.57108
2700  213.82321
2720  207.85892
2740  224.98755
2760  225.75627
2780  199.45337
2800  203.39276
2820  211.23723
2840  230.51326
2860  212.89621
2880  223.8534
2900  227.02046
2920  221.3241
2940  234.8407
2960  192.30193
2980  163.26733
3000  145.54367
3020  187.19745
3040  84.17692
3060  -6.286236
3080  -63.014412
3100  -55.65632
3120  -86.03691
3140  -70.05721
3160  -102.30434
3180  -140.00208
3200  -132.01665
3220  -133.28946
3240  -142.38452
3260  -140.48325
3280  -153.1416
3300  -134.33783
3320  -139.45139
3340  -148.04721
3360  -150.34572
3380  -142.92564
3400  -130.69931
3420  -99.44834
3440  -81.19662
3460  -45.23792
3480  -30.94907
3500  -16.105991
3520  -8.875653
3540  0.9470531
3560  33.738605
3580  60.356976
3600  102.300766
3620  139.93405
3640  167.69496
3660  179.86063
3680  216.94836
3700  226.1993
3720  213.9876
3740  195.23007
3760  210.61157
3780  221.00305
3800  180.79562
3820  222.74191
3840  215.34238
3860  205.65878
3880  238.41919
3900  227.88443
3920  238.81343
3940  241.79404
3960  242.40886
3980  243.4241
4000  228.44675
4020  196.7406
4040  216.41129
4060  244.65213
4080  220.31003
4100  227.1294
4120  231.70699
4140  250.62964
4160  236.637
4180  211.73087
4200  248.97458
4220  250.45312
4240  238.7166
4260  250.22041
4280  238.06027
4300  238.74113
4320  252.7897
4340  251.00212
4360  239.31096
4380  252.64291
4400  252.4996
4420  241.01335
4440  253.67896
4460  253.52547
4480  237.20242
4500  254.06404
4520  255.19003
4540  252.04514
4560  254.84262
4580  240.0939
4600  232.10294
4620  216.88667
4640  244.75449
4660  241.29822
4680  211.65042
4700  238.01538
4720  223.83963
4740  237.8997
4760  254.80551
4780  219.52307
4800  232.63533
4820  244.80063
4840  249.85396
4860  256.62384
4880  225.09167
4900  239.71611
4920  229.87398
4940  224.611
4960  239.84366
4980  249.34558
5000  219.28763
5020  257.57968
5040  221.26724
5060  259.83563
5080  224.99576
5100  256.4533
5120  243.18462
5140  256.9694
5160  248.43767
5180  244.07089
5200  258.73743
5220  257.3214
5240  259.71426
5260  244.1115
5280  259.59912
5300  243.8272
5320  259.66162
5340  253.67326
5360  247.37968
5380  245.87668
5400  253.83147
5420  249.96048
5440  260.83817
5460  261.63257
5480  261.75937
5500  262.03363
5520  253.43933
5540  248.4049
5560  253.73518
5580  261.75995
5600  254.32475
5620  262.30405
5640  260.42218
5660  260.0485
5680  261.6147
5700  246.32573
5720  263.2526
5740  256.73386
5760  262.43805
5780  263.63196
5800  263.67044
5820  264.8369
5840  245.00565
5860  264.1416
5880  247.89299
5900  242.97147
5920  264.8087
5940  252.55972
5960  254.70137
5980  252.2428
6000  241.2045
6020  264.41998
6040  264.87598
6060  265.4853
6080  258.0268
6100  265.5864
6120  265.51245
6140  245.42339
6160  264.55615
6180  233.13228
6200  234.6399
6220  241.47205
6240  218.84055
6260  253.4335
6280  244.47415
6300  240.48734
6320  219.11453
6340  261.27832
6360  251.25876
6380  250.73013
6400  247.51054
6420  264.50122
6440  266.77982
6460  255.91104
6480  266.56732
6500  236.92688
6520  265.6903
6540  267.196
6560  267.50723
6580  254.68327
6600  237.15384
6620  260.3398
6640  267.1885
6660  267.14056
6680  259.93658
6700  252.2636
6720  251.81372
