_Episode  _MeanReward
5  -134.47804
10  -129.83875
15  -130.87558
20  -119.76853
25  -124.61798
30  -123.285385
35  -132.13364
40  -126.43343
45  -165.29802
50  -155.37683
55  -149.1932
60  -165.02083
65  -165.15524
70  -171.2284
75  -161.85149
80  -163.74936
85  -184.17435
90  -202.47513
95  -183.24991
100  -162.054
105  -157.24408
110  -156.1929
115  -157.68478
120  -148.69804
125  -156.35716
130  -150.48567
135  -176.68079
140  -197.85
145  -200.70175
150  -202.93114
155  -196.32101
160  -201.23967
165  -214.67102
170  -234.53789
175  -206.30081
180  -216.74512
185  -240.83972
190  -202.4522
195  -206.68448
200  -204.76912
205  -194.43486
210  -211.50345
215  -212.2153
220  -203.20251
225  -194.14975
230  -206.77449
235  -174.23186
240  -226.14883
245  -170.12651
250  -202.05069
255  -213.46892
260  -208.26201
265  -183.12859
270  -190.04175
275  -170.78061
280  -158.55441
285  -136.00273
290  -144.01299
295  -121.37958
300  -119.13765
305  -117.79995
310  -123.41449
315  -115.71989
320  -123.89586
325  -115.719376
330  -125.76848
335  -122.53513
340  -118.3301
345  -120.87976
350  -128.38777
355  -121.86151
360  -119.31854
365  -122.63584
370  -121.356995
375  -123.87651
380  -121.94774
385  -121.63696
390  -121.81338
395  -122.766624
400  -122.551674
405  -124.310165
410  -118.72911
415  -122.79425
420  -122.75774
425  -126.44946
430  -119.49082
435  -123.80758
440  -118.543564
445  -125.948425
450  -125.39543
455  -116.98335
460  -123.50714
465  -131.96733
470  -124.01304
475  -123.21184
480  -124.54683
485  -139.75089
490  -125.80054
495  -120.79893
500  -123.92122
505  -129.20023
510  -129.68906
515  -141.2708
520  -141.1575
525  -123.95512
530  -151.26065
535  -149.8984
540  -155.89557
545  -148.34074
550  -164.56209
555  -167.4639
560  -143.17726
565  -157.11397
570  -147.46065
575  -152.78242
580  -133.6624
585  -126.38251
590  -124.892845
595  -124.57493
600  -130.14407
605  -126.43789
610  -127.29258
615  -128.0619
620  -129.06474
625  -132.84052
630  -136.065
635  -131.88931
640  -131.9216
645  -131.9164
650  -131.83833
655  -131.91055
660  -131.85223
665  -131.88896
670  -131.87044
675  -131.84113
680  -131.8887
685  -131.90048
690  -131.89668
695  -131.87943
700  -131.85623
705  -131.90549
710  -131.88756
715  -131.85254
720  -131.9161
725  -131.90126
730  -131.91374
735  -131.91862
740  -131.89664
745  -131.8912
750  -131.8729
755  -131.89493
760  -131.89145
765  -131.9296
770  -131.90607
775  -131.92131
780  -131.87192
785  -131.83688
790  -131.84457
795  -131.8885
800  -131.87848
805  -131.92363
810  -131.9203
815  -131.92726
820  -131.85849
825  -131.86453
830  -131.8603
835  -131.85783
840  -131.89597
845  -131.87021
850  -131.90019
855  -131.91074
860  -131.90784
865  -131.88914
870  -131.87082
875  -131.86206
880  -131.87048
885  -131.90121
890  -131.918
895  -131.90315
900  -131.93411
905  -131.86374
910  -131.88394
915  -131.8777
920  -131.9174
925  -131.88705
930  -131.89636
935  -131.89848
940  -131.87247
945  -131.89828
950  -131.92262
955  -131.86911
960  -131.91275
965  -131.93246
970  -131.88669
975  -131.91116
980  -131.92172
985  -131.91484
990  -131.84883
995  -131.86742
1000  -131.93648
1005  -131.8857
1010  -131.93388
1015  -131.8811
1020  -131.89665
1025  -131.85173
1030  -131.88359
1035  -131.88112
1040  -131.89584
1045  -131.90895
1050  -131.92346
1055  -131.91533
1060  -131.87732
1065  -131.91353
1070  -131.84354
1075  -131.83803
1080  -131.8893
1085  -131.92903
1090  -131.90828
1095  -131.90768
1100  -131.92447
1105  -131.88388
1110  -131.90593
1115  -131.86137
1120  -131.89847
1125  -131.85597
1130  -131.88107
1135  -131.90555
1140  -131.92319
1145  -131.89246
1150  -131.8771
1155  -131.9461
1160  -131.90446
1165  -131.85495
1170  -131.91252
1175  -131.87233
1180  -131.89847
1185  -131.87947
1190  -131.90738
1195  -131.84091
1200  -131.90259
1205  -131.9119
1210  -131.90584
1215  -131.90457
1220  -131.89993
1225  -131.9166
1230  -131.86957
1235  -131.88013
1240  -131.87227
1245  -131.88898
1250  -131.89551
1255  -131.93416
1260  -131.91057
1265  -131.89307
1270  -131.89957
1275  -131.82912
1280  -131.9085
1285  -131.91013
1290  -131.97285
1295  -131.90768
1300  -131.85172
1305  -131.9031
1310  -131.88657
1315  -131.85565
1320  -131.85588
1325  -131.90085
1330  -131.90622
1335  -131.92133
1340  -131.90569
1345  -131.91841
1350  -131.91821
1355  -131.8245
1360  -131.88611
1365  -131.9102
1370  -131.8967
1375  -131.91261
1380  -131.89929
1385  -131.87263
1390  -131.91411
1395  -131.87744
1400  -131.91325
1405  -131.89616
1410  -131.91939
1415  -131.85815
1420  -131.89554
1425  -131.92828
1430  -131.90683
1435  -131.87614
1440  -131.88199
1445  -131.88754
1450  -131.89124
1455  -131.91745
1460  -131.9072
1465  -131.90234
1470  -131.91556
1475  -131.89503
1480  -131.89548
1485  -131.86917
1490  -131.87885
1495  -131.90973
1500  -131.91293
1505  -131.90274
1510  -131.90628
1515  -131.87762
1520  -131.94725
1525  -131.91386
1530  -131.95291
1535  -131.91457
1540  -131.90459
1545  -131.91031
1550  -131.94795
1555  -131.89462
1560  -131.94669
1565  -131.8859
1570  -131.88556
1575  -131.89627
1580  -131.94388
1585  -131.87332
1590  -131.90295
1595  -131.9064
1600  -131.84875
1605  -131.88138
1610  -131.8991
1615  -131.8413
1620  -131.87466
1625  -131.86127
1630  -131.87738
1635  -131.91602
1640  -131.92139
1645  -131.82065
1650  -131.84982
1655  -131.85341
1660  -131.85165
1665  -131.90312
1670  -131.86942
1675  -131.9091
1680  -131.92618
1685  -131.91374
1690  -131.90305
1695  -131.89899
1700  -131.85635
1705  -131.89647
1710  -131.9443
1715  -131.91872
1720  -131.89053
1725  -131.97568
1730  -131.89735
1735  -131.93445
1740  -131.93332
1745  -131.88823
1750  -131.92575
1755  -131.84146
1760  -131.93129
1765  -131.90195
1770  -131.8867
1775  -131.88434
1780  -131.86728
1785  -131.8966
1790  -131.88585
1795  -131.90237
1800  -131.9025
1805  -131.87051
1810  -131.88779
1815  -131.89346
1820  -131.96062
1825  -131.9299
1830  -131.91373
1835  -131.87286
1840  -131.98193
1845  -131.90742
1850  -131.93564
1855  -131.91245
1860  -131.92464
1865  -131.90088
1870  -131.9018
1875  -131.85486
1880  -131.9268
1885  -131.87585
1890  -131.89262
1895  -131.91963
1900  -131.9253
1905  -131.90219
1910  -131.94748
1915  -131.89719
1920  -131.96031
1925  -131.8639
1930  -131.88724
1935  -131.88095
1940  -131.88693
1945  -131.85837
1950  -131.93895
1955  -131.88998
1960  -131.93765
1965  -131.93575
1970  -131.94211
1975  -131.8925
1980  -131.91365
1985  -131.94983
1990  -131.8901
1995  -131.89287
2000  -131.91415
2005  -131.9467
2010  -131.89198
2015  -131.89207
2020  -131.9353
2025  -131.92114
2030  -131.91025
2035  -131.87526
2040  -131.89798
2045  -131.92213
2050  -131.88791
2055  -131.85834
2060  -131.8707
2065  -131.86473
2070  -131.89334
2075  -131.86397
2080  -131.87442
2085  -131.90865
2090  -131.88309
2095  -131.85217
2100  -131.84152
2105  -131.89304
2110  -131.9056
