_Episode  _MeanReward
20  -122.00757
40  -110.7585
60  -112.30119
80  -123.016556
100  -134.57245
120  -115.13899
140  -118.044334
160  -123.81626
180  -133.69722
200  -126.37854
220  -130.85593
240  -139.55666
260  -138.60596
280  -135.60637
300  -140.63634
320  -137.09622
340  -128.67557
360  -129.9703
380  -125.826195
400  -130.71466
420  -127.79783
440  -127.79796
460  -124.93956
480  -117.523705
500  -116.88064
520  -114.389114
540  -114.71509
560  -114.1985
580  -114.52883
600  -108.55376
620  -114.977005
640  -106.54702
660  -113.138756
680  -109.76216
700  -112.80162
720  -103.117004
740  -114.87067
760  -104.95764
780  -113.31813
800  -100.884056
820  -109.85262
840  -101.488945
860  -101.6472
880  -95.46965
900  -101.04414
920  -90.18733
940  -88.20114
960  -78.68676
980  -75.293686
1000  -67.38937
1020  -74.69068
1040  -162.20773
1060  -168.2794
1080  -163.7474
1100  -189.02473
1120  -170.60214
1140  -152.33472
1160  -149.01297
1180  -139.83247
1200  -127.67924
1220  -122.52537
1240  -110.506996
1260  -105.89768
1280  -100.42537
1300  -86.71246
1320  -97.94279
1340  -96.31024
1360  -88.53932
1380  -93.88356
1400  -74.12993
1420  -72.77116
1440  -52.249077
1460  -70.77071
1480  -49.370174
1500  -46.979755
1520  -26.717228
1540  -7.242444
1560  -5.786141
1580  21.366756
1600  8.641087
1620  13.067589
1640  21.77596
1660  -20.024868
1680  28.08722
1700  34.320457
1720  35.514008
1740  49.957794
1760  51.454613
1780  61.250652
1800  55.887226
1820  62.41979
1840  78.285645
1860  61.69988
1880  92.002304
1900  92.7728
1920  99.38499
1940  79.00503
1960  72.29906
1980  90.37987
2000  101.878784
2020  130.91002
2040  101.00252
2060  115.714516
2080  136.29094
2100  142.48662
2120  131.3436
2140  138.82346
2160  127.75144
2180  136.8454
2200  143.78537
2220  156.18304
2240  171.95023
2260  157.38205
2280  176.7358
2300  194.53317
2320  173.10324
2340  171.44359
2360  199.34785
2380  195.6727
2400  176.28229
2420  189.23526
2440  196.75832
2460  200.95837
2480  186.96858
2500  186.63232
2520  213.24707
2540  209.64554
2560  204.85788
2580  188.8413
2600  193.74089
2620  204.21797
2640  220.06998
2660  213.91655
2680  222.51294
2700  191.90195
2720  215.4772
2740  223.50723
2760  185.87791
2780  163.14137
2800  187.81331
2820  226.01733
2840  214.58072
2860  210.29683
2880  225.20479
2900  180.03983
2920  210.8789
2940  214.59787
2960  226.51205
2980  194.79715
3000  212.73393
3020  228.09248
3040  209.47049
3060  211.70761
