_Episode  _MeanReward
20  -126.62317
40  -128.1031
60  -142.63467
80  -147.7343
100  -157.9598
120  -192.9241
140  -218.65926
160  -196.68768
180  -212.58719
200  -212.57071
220  -211.64043
240  -202.57457
260  -214.87277
280  -200.20033
300  -189.66805
320  -192.03061
340  -177.94246
360  -180.68118
380  -181.1801
400  -190.61472
420  -157.66248
440  -149.51877
460  -156.8988
480  -169.19583
500  -156.54755
520  -167.43254
540  -153.92703
560  -153.00734
580  -152.7155
600  -151.89236
620  -152.88893
640  -147.7514
660  -143.90486
680  -142.77122
700  -145.64749
720  -155.6058
740  -166.45149
760  -147.2905
780  -143.51286
800  -134.848
820  -142.46957
840  -118.08208
860  -116.57031
880  -118.98003
900  -115.59495
920  -115.2427
940  -116.40294
960  -111.16593
980  -105.367516
1000  -92.313354
1020  -76.48204
1040  -54.884766
1060  -38.140285
1080  -30.739264
1100  -13.166743
1120  -12.274445
1140  -4.7791557
1160  -0.96954477
1180  -3.4292889
1200  -1.7398775
1220  5.7719812
1240  10.426148
1260  14.655634
1280  11.514762
1300  14.977666
1320  23.159838
1340  28.497803
1360  39.020473
1380  35.96377
1400  46.73574
1420  51.276543
1440  50.358067
1460  61.929585
1480  59.73813
1500  76.13093
1520  71.10131
1540  61.37259
1560  54.32248
1580  74.41617
1600  60.689003
1620  77.42712
1640  68.437836
1660  91.207664
1680  76.468376
1700  82.24449
1720  75.082466
1740  106.88393
1760  104.13728
1780  82.812546
1800  99.17552
1820  84.49377
1840  96.20394
1860  88.004074
1880  117.9738
1900  111.75279
1920  124.852585
1940  114.71023
1960  115.24404
1980  118.25417
2000  131.48117
2020  119.96885
2040  139.94556
2060  138.25204
2080  145.8407
2100  140.41675
2120  142.72495
2140  148.30872
2160  148.53568
2180  145.62918
2200  148.75449
2220  120.9917
2240  127.38554
2260  132.48764
2280  159.32205
2300  133.8008
2320  152.34647
2340  142.59262
2360  153.60023
2380  162.50174
2400  150.21243
2420  156.56479
2440  163.92899
2460  159.8729
2480  173.02298
2500  192.60805
2520  160.20206
2540  180.1812
2560  164.15764
2580  162.41257
2600  178.65514
2620  173.116
2640  190.2363
2660  185.84903
2680  199.91415
2700  180.76291
2720  190.01308
2740  167.47813
2760  179.96817
2780  178.93466
2800  198.86038
2820  202.64609
2840  205.54305
2860  202.55046
2880  199.82368
2900  211.30197
2920  198.51184
2940  214.5297
2960  215.70264
2980  189.84906
3000  206.48079
3020  219.81966
3040  221.11064
3060  212.7366
3080  189.39243
3100  205.75156
3120  199.35007
3140  157.89847
3160  227.39832
3180  212.36226
3200  223.01474
3220  209.53598
3240  229.98213
3260  232.11899
3280  212.23166
3300  226.94995
3320  220.87187
3340  218.32417
3360  229.2102
3380  215.51022
3400  232.85982
3420  229.50473
3440  235.60165
3460  219.55252
3480  200.23888
3500  186.83545
3520  223.46416
3540  165.04884
3560  181.81477
3580  202.96202
3600  233.82242
3620  216.80444
3640  143.69606
3660  163.16048
3680  167.36455
3700  202.93192
3720  203.4711
3740  220.6121
3760  213.69539
3780  220.69873
3800  185.69382
3820  235.12341
3840  231.99124
3860  221.38791
3880  219.1708
3900  233.59856
3920  218.39616
3940  241.8936
3960  221.35286
3980  234.94864
4000  244.61548
4020  234.43819
4040  204.17892
4060  245.1604
4080  243.96965
4100  74.13794
4120  63.226368
4140  212.13823
4160  196.8001
4180  222.01248
4200  200.75153
4220  206.51462
4240  184.83351
4260  222.92685
4280  235.4039
4300  241.0391
4320  230.4423
4340  237.32698
4360  240.77303
4380  214.54929
4400  232.21786
4420  206.07068
4440  237.50586
4460  225.92302
4480  224.67636
4500  236.92839
4520  239.21965
4540  213.15146
4560  242.90442
4580  231.21732
4600  237.91537
4620  233.8311
4640  234.89539
4660  239.21957
4680  245.30534
4700  245.50146
4720  244.04318
4740  246.51347
4760  236.11617
4780  229.35083
4800  244.96915
4820  245.87305
4840  211.81705
4860  236.93123
4880  247.03894
4900  231.34602
4920  242.301
4940  230.67673
4960  213.8437
4980  242.42407
5000  243.43372
5020  239.54419
5040  225.63614
5060  242.99516
5080  244.84766
5100  238.78915
5120  230.00603
5140  232.76811
5160  249.0848
5180  230.37663
5200  243.64153
5220  232.57011
5240  214.08362
5260  243.92581
5280  247.9336
5300  250.97437
5320  242.98965
5340  237.7004
5360  239.84294
5380  246.32234
5400  227.05313
5420  249.92593
5440  228.97183
5460  247.96762
5480  245.44185
5500  251.09326
5520  251.46863
5540  235.2459
5560  251.18979
5580  251.91284
5600  253.0815
5620  250.23807
5640  237.40352
5660  243.25032
5680  251.92278
5700  254.19983
5720  235.86462
5740  243.74704
5760  229.88065
5780  251.30083
5800  237.19243
5820  252.4875
5840  237.66763
5860  252.62051
5880  233.08615
5900  206.18436
5920  237.87854
5940  234.21191
5960  252.98746
5980  253.88496
6000  249.93877
6020  248.36467
6040  204.88919
6060  223.46858
6080  256.43524
6100  255.59091
6120  256.75464
6140  248.1406
6160  246.07324
6180  247.9364
6200  256.79462
6220  256.9431
6240  255.45222
6260  225.5695
6280  237.50557
6300  245.53105
