_Episode  _MeanReward
5  -118.57461
10  -115.19362
15  -109.907394
20  -119.25209
25  -126.40874
30  -118.12905
35  -111.90859
40  -117.84996
45  -110.83772
50  -122.644005
55  -113.37732
60  -114.31425
65  -118.72681
70  -109.77379
75  -104.25283
80  -105.770874
85  -102.113815
90  -104.09343
95  -158.19048
100  -148.21579
105  -154.00708
110  -168.92325
115  -128.16426
120  -119.44795
125  -116.96975
130  -115.3636
135  -118.24825
140  -119.03389
145  -110.31804
150  -116.86251
155  -105.608444
160  -111.251976
165  -111.262436
170  -117.93404
175  -111.39105
180  -105.05898
185  -107.26819
190  -111.78319
195  -108.75029
200  -106.77684
205  -100.59601
210  -111.50649
215  -114.58132
220  -113.0417
225  -114.42484
230  -124.44432
235  -119.14689
240  -113.41946
245  -111.07053
250  -120.28756
255  -115.24813
260  -122.74913
265  -122.22905
270  -124.097435
275  -118.475266
280  -115.42814
285  -124.4895
290  -119.3893
295  -124.87976
300  -121.582214
305  -119.92716
310  -128.86255
315  -122.2676
320  -114.06995
325  -124.83545
330  -121.1843
335  -114.485146
340  -114.4459
345  -120.61489
350  -115.01985
355  -120.05392
360  -118.04486
365  -118.73131
370  -118.839134
375  -115.150925
380  -117.77059
385  -110.74593
390  -108.56616
395  -107.23452
400  -106.61619
405  -106.25862
410  -105.44173
415  -128.76553
420  -132.44075
425  -113.75834
430  -103.040794
435  -111.6405
440  -116.68748
445  -99.55364
450  -100.12073
455  -103.39494
460  -99.24654
465  -103.88301
470  -99.14476
475  -105.62589
480  -98.19132
485  -101.234085
490  -94.97291
495  -92.70058
500  -99.87953
505  -91.85896
510  -88.845276
515  -86.585945
520  -102.25569
525  -94.25392
530  -97.15275
535  -106.95978
540  -87.99021
545  -82.57045
550  -92.67102
555  -86.003235
560  -88.461685
565  -80.48915
570  -83.8527
575  -85.97649
580  -81.60884
585  -93.72683
590  -83.90825
595  -95.49947
600  -90.01339
605  -94.76808
610  -95.9922
615  -88.54382
620  -82.11992
625  -90.590904
630  -83.79234
635  -68.95229
640  -70.862595
645  -85.60468
650  -69.314804
655  -68.59839
660  -62.672417
665  -67.59859
670  -84.08894
675  -63.516895
680  -95.811195
685  -78.87828
690  -99.15619
695  -106.50978
700  -81.48924
705  -83.316055
710  -68.41885
715  -63.841328
720  -62.126427
725  -66.74018
730  -124.71751
735  -136.04623
740  -133.25208
745  -115.9965
750  -132.78198
755  -99.88268
760  -81.30593
765  -89.698586
770  -132.44131
775  -118.64429
780  -76.260826
785  -81.50871
790  -109.377785
795  -87.02678
800  -75.241585
805  -87.04505
810  -84.8327
815  -69.838585
820  -87.99966
825  -61.15998
830  -66.736595
835  -71.90116
840  -68.5103
845  -75.269714
850  -72.16539
855  -112.788925
860  -56.546265
865  -62.151985
870  -42.99465
875  -29.549084
880  -52.86516
885  -45.083138
890  -39.68963
895  -32.692432
900  -183.91885
905  -161.41602
910  -147.03247
915  -123.88728
920  -123.51748
925  -133.13467
930  -125.342735
935  -136.36807
940  -77.68832
945  -82.50565
950  -58.055897
955  -80.39107
960  -75.649704
965  -47.376835
970  -56.03073
975  -48.222298
980  -59.107666
985  -47.32842
990  -41.29061
995  -97.55892
1000  -46.799423
1005  -101.44426
1010  -125.10527
1015  -102.122475
1020  -102.66698
1025  -82.250046
