_Episode  _MeanReward
20  -125.155
40  -133.876
60  -131.913
80  -125.36
100  -120.877
120  -142.563
140  -136.829
160  -141.193
180  -144.587
200  -172.845
220  -192.591
240  -183.077
260  -187.942
280  -168.872
300  -141.252
320  -137.531
340  -137.811
360  -133.965
380  -128.959
400  -125.475
420  -122.891
440  -124.59
460  -121.725
480  -117.241
500  -120.349
520  -119.175
540  -122.274
560  -119.617
580  -117.453
600  -112.928
620  -112.24
640  -108.394
660  -107.379
680  -102.292
700  -104.661
720  -96.9324
740  -94.5008
760  -90.2627
780  -76.3381
800  -89.3757
820  -72.7699
840  -64.8487
860  -61.2304
880  -55.918
900  -45.8287
920  -39.329
940  -35.945
960  -35.658
980  -26.1264
1000  -54.1838
1020  -51.5321
1040  -20.5571
1060  -21.5501
1080  -23.4805
1100  -12.1894
1120  -18.8574
1140  -6.87907
1160  -2.24444
1180  -0.0635092
1200  -1.71966
1220  5.32004
1240  10.0171
1260  12.001
1280  14.7731
1300  14.0729
1320  21.2381
1340  20.6644
1360  20.5986
1380  27.4242
1400  19.8365
1420  19.2209
1440  31.2729
1460  9.24884
1480  32.3772
1500  36.1762
1520  31.6197
1540  28.1842
1560  39.1582
1580  32.8985
1600  34.6413
1620  37.7824
1640  41.2413
1660  41.7124
1680  41.9406
1700  48.2514
1720  51.5387
1740  26.032
1760  58.5486
1780  35.1094
1800  21.1663
1820  22.3639
1840  6.23907
1860  36.1029
1880  35.3057
1900  30.1336
1920  52.6736
1940  38.7115
1960  44.4662
1980  54.5431
2000  53.6365
2020  40.6137
2040  62.8328
2060  37.3551
2080  28.5802
2100  59.5204
2120  54.5156
2140  63.372
2160  49.0522
2180  62.5162
2200  70.178
2220  57.8603
2240  67.7708
2260  78.9867
2280  81.6372
2300  76.1672
2320  83.385
2340  86.27
2360  87.9567
2380  87.8847
2400  76.5953
2420  88.2636
2440  86.7799
2460  93.98
2480  94.2406
2500  96.5981
2520  98.3574
2540  87.6276
2560  100.871
2580  92.0911
2600  97.5637
2620  97.1987
2640  103.108
2660  106.846
2680  110.026
2700  104.789
2720  111.902
2740  111.993
2760  107.153
2780  111.404
2800  113.503
2820  113.443
2840  113.453
2860  119.98
2880  115.262
2900  120.789
2920  115.6
2940  127.672
2960  125.768
2980  131.943
3000  130.109
3020  133.112
3040  136.405
3060  123.868
3080  134.449
3100  136.807
3120  135.448
3140  136.507
3160  139.637
3180  133.065
3200  143.009
3220  136.446
3240  137.012
3260  147.068
3280  144.739
3300  138.147
3320  144.558
3340  139.21
3360  144.507
3380  141.882
3400  149.132
3420  148.6
3440  149.007
3460  150.785
3480  151.309
3500  151.115
3520  153.635
3540  131.998
3560  150.545
3580  152.89
3600  139.607
3620  154.056
3640  151.592
3660  125.255
3680  155.038
3700  124.736
3720  153.001
3740  154.039
3760  152.811
3780  157.262
3800  157.42
3820  140.173
3840  158.713
3860  154.46
3880  129.203
3900  160.097
3920  128.741
3940  129.966
3960  111.513
3980  160.857
4000  158.905
4020  163.051
4040  160.127
4060  158.853
4080  157.879
4100  161.932
4120  147.229
4140  160.056
4160  163.85
4180  162.321
4200  161.15
4220  157.097
4240  164.137
4260  154.516
4280  168.073
4300  160.386
4320  163.135
4340  171.59
4360  161.941
4380  166.347
4400  169.211
4420  164.133
4440  156.149
4460  163.971
4480  166.377
4500  171.611
4520  157.446
4540  168.84
4560  171.97
4580  168.214
4600  165.029
4620  170.785
4640  172.679
4660  173.096
4680  171.765
4700  172.912
4720  174.732
4740  174.476
4760  158.411
4780  178.483
4800  178.266
4820  182.501
4840  183.151
4860  171.346
4880  163.064
4900  183.895
4920  178.643
4940  180.397
4960  183.469
4980  179.578
5000  155.397
5020  138.514
5040  145.439
5060  186.668
5080  166.018
5100  187.251
5120  193.811
5140  145.779
5160  188.1
5180  182.583
5200  171.887
5220  188.772
5240  189.652
5260  192.835
5280  186.424
5300  189.004
5320  189.968
5340  179.781
5360  167.673
5380  170.587
5400  196.378
5420  199.295
5440  200.941
5460  196.695
5480  174.121
5500  188.661
5520  191.003
5540  196.094
5560  198.785
5580  201.635
5600  204.489
5620  197.468
5640  196.722
5660  205.074
5680  189.101
5700  205.689
5720  197.707
