_Episode  _MeanReward
5  -128.0792
10  -125.36006
15  -131.78365
20  -133.46303
25  -134.65817
30  -129.32883
35  -132.74934
40  -117.81789
45  -127.71354
50  -123.529625
55  -126.33279
60  -133.74281
65  -128.78958
70  -152.85933
75  -130.01643
80  -160.71103
85  -140.18123
90  -160.1246
95  -159.92172
100  -179.45111
105  -143.67253
110  -151.99442
115  -152.34259
120  -143.10493
125  -157.03175
130  -148.20279
135  -153.02837
140  -164.96805
145  -184.33788
150  -176.1448
155  -181.16464
160  -225.72314
165  -184.2368
170  -196.82741
175  -197.41321
180  -218.11914
185  -206.7712
190  -213.5813
195  -199.43146
200  -218.02905
205  -220.04912
210  -218.29443
215  -219.6366
220  -210.83452
225  -176.36809
230  -183.45259
235  -241.23149
240  -232.66495
245  -244.93091
250  -233.22702
255  -213.64835
260  -203.68683
265  -217.43367
270  -204.3328
275  -233.30698
280  -253.51147
285  -219.63928
290  -225.9982
295  -188.16675
300  -167.83928
305  -168.99733
310  -169.10854
315  -167.144
320  -187.50058
325  -159.0149
330  -161.75381
335  -163.38268
340  -161.53984
345  -157.41385
350  -155.29112
355  -152.89876
360  -153.59921
365  -153.02866
370  -147.59341
375  -147.43228
380  -142.9946
385  -144.19856
390  -135.1562
395  -140.50354
400  -145.23848
405  -146.8879
410  -144.02592
415  -141.58994
420  -137.69063
425  -141.2423
430  -141.47476
435  -140.31258
440  -141.46416
445  -142.49484
450  -138.57777
455  -136.09393
460  -135.02026
465  -134.56122
470  -134.70132
475  -135.94444
480  -136.59773
485  -137.08594
490  -136.54317
495  -131.88525
500  -131.64835
505  -130.5087
510  -128.47023
515  -130.72668
520  -132.6342
525  -129.54727
530  -131.13528
535  -125.27771
540  -128.4501
545  -134.58163
550  -128.5657
555  -128.51498
560  -126.02081
565  -122.55666
570  -129.06587
575  -128.72969
580  -127.448074
585  -126.64148
590  -127.75708
595  -128.1683
600  -125.35752
605  -127.40489
610  -123.03523
615  -123.052574
620  -123.29317
625  -118.96724
630  -117.909775
635  -106.83427
640  -100.9827
645  -102.975586
650  -97.77832
655  -91.08863
660  -91.54558
665  -83.861755
670  -91.714584
675  -76.93099
680  -61.04934
685  -77.45079
690  -72.04291
695  -74.81021
700  -83.50092
705  -58.454674
710  -51.385498
715  -65.26515
720  -51.93113
725  -56.56493
730  -42.4428
735  -31.111704
740  -33.575058
745  -34.101234
750  -36.14801
755  -38.137215
760  -35.20993
765  -33.91445
770  -19.504208
775  -18.087036
780  -29.854206
785  -16.51079
790  -33.124744
795  -18.687231
800  -12.841083
805  -20.162882
810  -13.933046
815  -20.351603
820  -21.922428
825  -15.404109
830  -17.64661
835  -17.735226
840  -11.178061
845  -8.613878
850  -18.186611
855  -21.610954
860  -12.69692
865  -11.775342
870  -18.690218
875  -13.249321
880  -8.906282
885  -7.1284857
890  -4.7167997
895  -9.036795
900  -4.2475486
905  -4.799915
910  -10.434881
915  -6.016254
920  -11.153406
925  -5.700962
930  -3.803709
935  -3.6737266
940  -12.01533
945  -14.016223
950  -30.489777
955  -25.162176
960  -31.749935
965  -8.356201
970  -5.137346
975  -3.811315
980  -2.1272616
985  2.9539642
990  -2.3803768
995  1.0341156
1000  -5.553515
1005  1.0585558
1010  -5.5089335
1015  -10.690659
1020  -4.031461
1025  -1.128949
1030  2.7996504
1035  -0.0838841
1040  -0.5815708
1045  4.023948
1050  -0.24297018
1055  -1.0772829
1060  4.909196
1065  5.813948
1070  2.4128475
1075  -0.12599249
1080  2.5958397
1085  -0.87134475
1090  5.9589953
1095  -3.1880271
1100  7.2414155
1105  8.775627
1110  7.0048766
1115  8.03138
1120  5.6805315
1125  7.1007667
1130  10.451174
1135  6.5592318
1140  10.25547
1145  11.892881
1150  8.891014
1155  6.8789773
1160  12.094281
1165  13.351987
1170  12.417077
1175  12.866796
1180  15.886215
1185  15.441416
1190  15.836865
1195  7.639615
1200  18.519901
1205  19.390076
1210  7.1084657
1215  16.15126
1220  19.413422
1225  14.641417
1230  19.45038
1235  17.959316
1240  21.587772
1245  19.610401
1250  22.611029
1255  22.325817
1260  26.894505
1265  21.56631
1270  18.86601
1275  26.536585
1280  24.016209
1285  -2.542874
1290  26.593567
1295  0.015231323
1300  23.233212
1305  16.53381
1310  17.776146
1315  18.065653
1320  18.4631
1325  25.533396
1330  28.96597
1335  25.155783
1340  20.198534
1345  23.957706
1350  26.18775
1355  25.316689
1360  29.169794
1365  31.541279
1370  24.521296
1375  26.384308
1380  31.708313
1385  24.751644
1390  32.447983
1395  34.20696
1400  36.221523
1405  37.90258
1410  37.64483
1415  33.274147
1420  33.096966
1425  24.554039
1430  35.288612
1435  31.957508
1440  35.34889
1445  44.51577
1450  45.057537
1455  40.01118
1460  45.714092
1465  40.240974
1470  46.641884
1475  40.035778
1480  49.46056
1485  47.58097
1490  35.69171
1495  50.220276
1500  50.301453
1505  45.383568
1510  17.799213
1515  45.656822
1520  43.059162
1525  49.031776
1530  50.711243
1535  46.583702
1540  44.542294
1545  46.843937
1550  60.23228
1555  47.28908
1560  43.927425
1565  52.314262
1570  52.16338
1575  50.809097
1580  51.67115
1585  57.381744
1590  54.49452
1595  42.29498
1600  52.777245
1605  53.966602
1610  47.658104
1615  51.595604
1620  48.81101
1625  57.578754
1630  52.642365
1635  54.950665
1640  54.63319
1645  58.143555
1650  48.482227
1655  62.725708
1660  53.230732
1665  57.9232
1670  46.81276
1675  57.877968
1680  57.31319
1685  55.82829
1690  29.13471
1695  49.564163
1700  48.38951
1705  52.4627
1710  46.73736
1715  64.219894
1720  31.49436
1725  52.84618
1730  59.282574
1735  50.494766
1740  16.61101
1745  57.118176
1750  54.896156
1755  42.899563
1760  55.889793
1765  49.01947
1770  61.51653
1775  60.371216
1780  60.3856
1785  61.398834
1790  50.047752
1795  61.505302
1800  62.710278
1805  58.42286
1810  54.934143
1815  62.93988
1820  55.261787
1825  63.52355
1830  60.815285
1835  59.8963
1840  55.136303
1845  56.19508
1850  62.640892
1855  66.22269
1860  69.078514
1865  64.12216
1870  61.768852
1875  61.86187
1880  61.7203
1885  66.16647
1890  55.534527
1895  54.862354
1900  67.00639
1905  45.356926
1910  60.368214
1915  62.490395
1920  64.64125
1925  63.646393
1930  69.42397
1935  61.90281
1940  59.32898
1945  58.91565
1950  57.514088
1955  69.52633
1960  64.00481
1965  63.67171
1970  64.553665
1975  67.828
1980  65.10105
1985  70.70667
1990  71.27381
1995  58.658356
2000  69.42459
2005  66.1614
2010  71.536125
2015  68.43016
2020  70.76222
2025  73.359055
2030  56.541943
2035  67.730064
2040  70.014725
2045  71.47594
2050  69.52914
2055  63.25888
2060  63.154488
2065  72.44566
2070  65.39119
2075  71.75714
2080  69.10703
2085  66.38568
2090  70.21673
2095  67.233376
2100  70.53966
2105  72.84573
2110  73.110756
2115  70.14143
2120  67.2495
2125  64.91624
2130  67.22881
2135  79.7153
2140  71.14664
2145  72.03774
2150  66.70903
2155  71.42367
2160  74.24495
2165  69.7391
2170  73.32314
2175  71.83242
2180  82.76722
2185  81.88853
2190  78.93185
2195  83.882164
2200  71.09679
2205  82.9467
2210  80.75588
2215  78.50714
2220  79.815
2225  79.84337
2230  84.42961
2235  84.45947
2240  81.400856
2245  77.327484
2250  75.68376
2255  85.0099
2260  81.58214
2265  78.76056
2270  84.027664
2275  90.44075
2280  89.99925
2285  79.27016
2290  86.10641
2295  91.36705
2300  92.29222
2305  91.17226
2310  92.34393
2315  86.27198
2320  96.81854
2325  88.31898
2330  73.81215
2335  54.929882
2340  102.9056
2345  85.823135
2350  47.69353
2355  90.18943
2360  95.702415
2365  89.74935
2370  96.537285
2375  95.71723
2380  92.9308
2385  99.25952
2390  100.99388
2395  96.906784
2400  88.82035
2405  94.27276
2410  62.431824
2415  49.111614
2420  93.22092
2425  90.525826
2430  95.82007
2435  54.51991
2440  94.35664
2445  93.00087
2450  97.83587
2455  96.93858
2460  99.74526
2465  94.19562
2470  95.104004
2475  100.75839
2480  96.4563
2485  57.27218
2490  91.14591
2495  103.86568
2500  92.95067
2505  96.1307
2510  97.79866
2515  99.26019
2520  105.817894
2525  101.03355
2530  100.97733
2535  107.00236
2540  105.54087
2545  106.61202
2550  99.28526
2555  101.0998
2560  102.342766
2565  98.92745
2570  100.83183
2575  104.18453
2580  98.145905
2585  108.548294
2590  105.06175
2595  105.82027
2600  108.66078
2605  104.203186
2610  74.90692
2615  106.78772
2620  106.85891
2625  109.45831
2630  72.745964
2635  101.228165
2640  102.35227
2645  98.01736
2650  106.76597
2655  70.447495
2660  97.212585
2665  33.77489
2670  59.98131
2675  84.638016
2680  106.096436
2685  108.761154
2690  113.90837
2695  108.9921
2700  102.45451
2705  93.49016
2710  104.64858
