_Episode _MeanReward
20 -699.028
40 -665.8967
60 -768.7347
80 -727.61383
100 -689.0972
120 -633.76495
140 -645.3613
160 -660.5833
180 -597.715
200 -660.27716
220 -587.7923599999998
240 -530.18
260 -670.5953400000002
280 -662.6505
300 -597.1532
320 -626.0002
340 -607.74
360 -521.6471
380 -544.41846
400 -487.5887
420 -543.2959599999998
440 -536.0213
460 -599.9285
480 -540.9017
500 -488.94644000000005
520 -514.1078
540 -403.5237
560 -387.76465
580 -204.70366
600 13.816597
620 87.4627
640 91.80707
660 98.51453
680 171.48619
700 140.30046000000002
720 180.46819
740 187.3604
760 173.76456000000005
780 169.64316000000005
800 185.21346
820 183.96315
840 184.35631
860 191.00636
880 150.84184
900 190.3193
920 188.95909
940 142.55183
960 185.24594
980 196.95232
1000 187.34413
1020 186.67245
1040 192.71378
1060 193.38957
1080 188.93678
1100 190.61732
1120 191.3105
1140 194.13623
1160 190.8418
1180 193.45207
1200 192.37064
1220 190.81783
1240 186.39833
1260 191.30852
1280 189.11482
1300 185.65585
1320 188.94174
1340 193.09514
1360 191.06573
1380 193.63185
1400 187.95412
1420 191.13058
1440 190.85599
1460 193.61954
1480 189.2263
1500 189.95102
1520 192.6586
1540 193.31744
1560 191.3543
1580 191.04973
1600 193.42523
1620 191.3986
1640 193.10497
1660 190.4941
1680 189.47299999999998
1700 188.79428000000001
1720 193.43428
1740 190.24799
1760 190.97451999999998
1780 192.50638
1800 192.12473
1820 192.3439
1840 191.75958
1860 190.44167
1880 195.73882
1900 192.18698
1920 192.60799
1940 190.15665
1960 187.58871000000002
1980 192.00558
2000 190.58061
2020 187.54437
2040 191.85715
2060 190.52893
2080 191.74881000000002
2100 34.287205
2120 192.44064
2140 189.75949
2160 8.518426
2180 85.256744
2200 61.945473
2220 188.08153000000001
2240 187.89093
2260 193.00714
2280 92.21307
2300 140.23566
2320 188.03308
2340 187.58862
2360 185.5695
2380 187.3655
2400 190.54762
2420 187.25139
2440 184.389
2460 188.59118999999998
2480 187.38231000000002
2500 185.05765

2520  187.27556
2540  -20.22026
2560  139.36644
2580  42.957664
2600  101.67102
2620  83.78021
2640  144.77124
2660  44.287346
2680  190.05315
2700  189.68956
2720  187.73917
2740  187.0477
2760  190.56638
2780  192.52502
2800  189.34065
2820  189.24385
2840  187.3183
2860  192.70973
2880  192.43431
2900  195.54117
2920  192.95197
2940  191.86368
2960  195.75308
2980  188.11021
3000  192.62599
3020  192.18741
3040  188.33359
3060  195.28679
3080  189.50081
3100  193.37964
3120  191.71945
3140  189.72694
3160  190.7555
3180  189.60811
3200  194.36546
3220  192.9195
3240  192.33673
3260  192.31107
3280  190.49446
3300  196.19327
3320  192.03613
3340  194.61668
3360  194.35193
3380  194.65826
3400  195.67955
3420  191.39911
3440  191.81596
3460  193.78537
3480  191.96527
3500  192.36383
3520  193.50502
3540  193.35223
3560  194.39146
3580  189.02693
3600  194.18962
3620  192.22943
3640  193.04076
3660  190.05501
3680  192.15182
3700  193.41936
3720  192.0571
3740  189.65543
3760  194.08904
3780  142.40512
3800  192.40556
3820  188.73836
3840  -39.64639
3860  95.75654
3880  195.00426
3900  146.56857
3920  190.59012
3940  44.618706
