_Episode _MeanReward
20 -408.00806
40 -435.11923
60 -463.82895
80 -487.93146
100 -486.6774
120 -482.77167
140 -388.73172
160 -400.47644
180 -342.1867
200 -370.58414
220 -333.78058
240 -325.1446
260 -289.36475
280 -295.45966
300 -261.5311
320 -297.237
340 -282.32977
360 -267.8284
380 -279.50534
400 -212.42404
420 -147.64221
440 -82.3303
460 -40.162155
480 -45.66695
500 -20.754787
520 6.2818260000000015
540 -15.647514
560 -7.873385400000001
580 -10.236469
600 -19.659023
620 -11.959318
640 39.82949
660 -5.833028
680 67.38054
700 49.07154
720 74.48131
740 79.46996999999998
760 78.23060600000002
780 92.79604
800 86.49696999999998
820 102.3166
840 98.12297
860 115.04344
880 110.14199
900 109.23981
920 107.86041000000002
940 120.76387
960 121.75472
980 123.765625
1000 118.79391
1020 130.14008
1040 128.8845
1060 132.82486
1080 133.10245
1100 144.56699
1120 142.24753
1140 143.49698
1160 162.67136000000005
1180 127.57816
1200 140.90097
1220 155.38785
1240 125.43309
1260 133.76501000000002
1280 146.17001000000005
1300 224.80411
1320 170.9141
1340 186.87405
1360 212.07207
1380 184.5274
1400 243.8876
1420 232.45712000000003
1440 143.92012
1460 179.35058999999995
1480 160.88339
1500 175.89266999999995
1520 184.18788
1540 171.76797
1560 214.92029
1580 253.18916000000002
1600 247.5391
1620 220.11617999999999
1640 201.69613999999999
1660 245.32565
1680 253.03067000000001
1700 287.50015
1720 216.05392
1740 236.41757
1760 303.66832999999997
1780 212.98062000000002
1800 211.57393
1820 279.85715
1840 317.09418
1860 366.3938
1880 273.89232999999996
1900 310.22446
1920 301.42163
1940 215.25808999999998
1960 254.51334
1980 269.81317
2000 337.50894
2020 219.98201
2040 271.8171
2060 257.35016
2080 243.8509
2100 203.70413
2120 282.23895
2140 295.40903
2160 227.52742
2180 273.66544
2200 234.35299999999998
2220 261.15466000000004
2240 269.66364
2260 263.77396
2280 285.3759
2300 277.90573
2320 212.58395
2340 281.2917
2360 302.84482
2380 233.10945
2400 318.9332
2420 239.89531000000002
2440 274.9575
2460 207.32963999999998
2480 270.3579
2500 143.3923

2520  267.0641
2540  78.95921
2560  137.42989
2580  95.378975
2600  137.65434
2620  195.77898
2640  224.74028
2660  272.23605
2680  287.6212
2700  217.95456
2720  200.33658
2740  252.9224
2760  228.67622
2780  272.98242
2800  225.35214
2820  238.90173
2840  269.89923
2860  242.80164
2880  257.26505
2900  254.2703
2920  231.2976
2940  216.41882
2960  266.86194
2980  268.5393
3000  222.33362
3020  284.8453
3040  216.31999
3060  260.4243
3080  239.03458
3100  216.63712
3120  262.12195
3140  291.61093
3160  218.62723
3180  237.09229
3200  282.87985
3220  279.84442
3240  247.68515
3260  275.0993
3280  242.66626
3300  338.9494
3320  242.38367
3340  249.26111
3360  298.34732
3380  288.06305
3400  235.20341
3420  273.0801
3440  327.48163
3460  331.28253
3480  180.9589
3500  254.81548
3520  224.28593
3540  202.18137
3560  143.72714
3580  13.24128
3600  101.28109
3620  137.86609
3640  212.31035
3660  173.76643
3680  203.43246
3700  76.974625
3720  199.73769
3740  92.15094
3760  126.987564
3780  208.76059
3800  110.14266
3820  181.84904
3840  234.64177
3860  232.31705
3880  237.77678
3900  297.3852
3920  260.28848
3940  234.59872
3960  123.71405
