_Episode  _MeanReward
20  -690.623
40  -612.57965
60  -725.755
80  -695.85474
100  -695.86237
120  -589.14185
140  -595.0696
160  -618.8392
180  -539.7632
200  -558.01636
220  -553.7809
240  -593.47736
260  -563.4242
280  -663.008
300  -558.3312
320  -518.13293
340  -513.78217
360  -471.60605
380  -510.14923
400  -495.15152
420  -487.4897
440  -428.1391
460  -395.30914
480  -54.87171
500  108.3041
520  151.93619
540  11.513054
560  96.86286
580  64.73746
600  140.07155
620  162.18019
640  160.02231
660  184.03964
680  184.89334
700  179.06293
720  183.1146
740  179.3491
760  184.74155
780  189.5189
800  184.79689
820  177.90408
840  183.46555
860  174.76534
880  186.81494
900  187.21877
920  187.30026
940  186.23593
960  176.8679
980  180.2313
1000  188.05539
1020  187.07637
1040  185.86356
1060  186.52982
1080  186.4389
1100  187.66493
1120  185.524
1140  190.70099
1160  187.81285
1180  173.73804
1200  186.18668
1220  190.71327
1240  188.28769
1260  192.91681
1280  186.17197
1300  188.34029
1320  182.74577
1340  187.14703
1360  189.83766
1380  193.15811
1400  190.88766
1420  194.67807
1440  186.50635
1460  192.35385
1480  190.15012
1500  189.2327
1520  187.70718
1540  181.54567
1560  141.7478
1580  103.330345
1600  182.31458
1620  184.34145
1640  51.43626
1660  97.812485
1680  132.58835
1700  130.46924
1720  8.81275
1740  20.381912
1760  47.43452
1780  106.280556
1800  191.22307
1820  186.45502
1840  152.40384
1860  186.32352
1880  184.34096
1900  181.94954
1920  190.76323
1940  188.76576
1960  186.12555
1980  189.70898
2000  190.58572
2020  188.35733
2040  190.25832
2060  192.03735
2080  187.97012
2100  189.48343
2120  187.96901
2140  187.69742
2160  183.17206
2180  42.590572
2200  100.93395
2220  -15.286288
2240  -146.2667
2260  -29.810192
2280  141.94717
2300  94.71649
2320  164.90565
2340  173.51878
2360  99.8418
2380  97.870155
2400  73.69566
2420  28.0599
2440  -88.532524
2460  -49.22693
2480  95.2833
2500  22.18166
2520  -84.236984
2540  89.42367
2560  181.55014
2580  100.57438
2600  180.43991
2620  59.732788
2640  184.08832
2660  181.21178
2680  185.57765
2700  185.21983
2720  183.78702
2740  185.54427
2760  186.746
2780  183.46689
2800  187.51585
2820  181.7869
2840  188.2454
2860  184.15846
2880  187.887
2900  188.22105
2920  193.55814
2940  188.91597
2960  192.42387
2980  194.83969
3000  192.1198
3020  192.41911
3040  195.022
3060  194.15492
3080  193.33487
3100  194.05638
3120  188.70665
3140  191.26224
3160  190.40189
3180  192.5608
3200  191.44466
3220  192.66415
3240  192.06699
3260  191.87605
3280  189.72145
3300  190.30411
3320  191.45694
3340  196.45416
3360  188.85382
3380  194.74734
3400  194.05542
3420  189.00491
3440  191.15779
3460  192.54971
3480  189.55676
3500  194.76431
3520  194.05376
3540  196.39978
3560  189.9876
3580  188.94717
3600  195.6089
3620  193.0847
3640  192.5922
3660  194.01239
3680  190.13211
3700  188.47092
3720  189.19113
3740  192.59604
3760  194.47348
3780  193.02615
3800  189.60204
3820  187.78557
3840  184.66313
3860  192.45238
3880  196.19168
3900  193.5084
3920  190.40483
3940  191.60503
3960  187.99539
3980  185.03491
4000  185.0823
4020  183.01717
4040  184.78157
4060  185.88882
4080  191.00323
4100  186.34787
4120  189.21335
4140  191.88434
4160  190.89168
4180  188.79236
4200  188.30823
4220  190.99872
4240  188.91736
4260  188.46904
4280  182.2101
4300  183.63138
4320  186.22331
4340  183.43085
4360  187.47249
4380  183.74715
4400  181.04051
4420  181.39339
4440  187.16234
4460  184.30406
4480  184.9051
4500  187.71947
4520  179.5504
4540  181.46286
4560  186.77261
4580  184.69382
4600  187.69768
4620  187.36276
4640  188.5065
4660  188.665
4680  192.15146
4700  194.3037
4720  186.38156
4740  187.65912
4760  190.88904
4780  191.6505
4800  190.60867
4820  193.02463
4840  191.91074
4860  189.50873
4880  192.13039
4900  192.9207
4920  193.67136
4940  191.83527
4960  190.22809
4980  193.15839
5000  187.54482
5020  193.09637
5040  189.25244
5060  187.78362
5080  192.67136
5100  189.66374
5120  194.76642
5140  193.53891
5160  190.80647
5180  193.32135
5200  192.4469
5220  192.41086
5240  190.20364
5260  189.5654
5280  192.95924
5300  191.29161
5320  192.31831
5340  190.89635
5360  192.34805
5380  188.8333
5400  187.6449
5420  189.5136
5440  184.53201
5460  190.79776
5480  188.02136
5500  184.27695
5520  185.99515
5540  188.70517
5560  186.99968
5580  183.94804
5600  185.2916
5620  181.27826
5640  184.02318
5660  186.66576
5680  187.20943
5700  183.4124
5720  185.46404
5740  180.23117
5760  169.5335
5780  175.55472
5800  173.63405
5820  175.30624
5840  160.33469
5860  166.22417
5880  168.33638
5900  172.34627
5920  170.11284
5940  173.15446
5960  174.39078
5980  173.10815
6000  175.2479
6020  176.06004
6040  172.6698
6060  183.66122
6080  178.22643
6100  175.70593
6120  182.95699
6140  180.18741
6160  183.77548
6180  185.59265
6200  187.11176
6220  183.08467
6240  186.77011
6260  186.54031
6280  188.96147
6300  187.05942
6320  187.73404
6340  189.81854
6360  186.25662
6380  185.66487
6400  188.90152
6420  187.87564
6440  183.62112
6460  186.64577
6480  190.13791
6500  188.0557
6520  186.7264
6540  189.59662
6560  191.3906
6580  189.47809
6600  185.2628
6620  191.89685
6640  189.85529
6660  190.46207
6680  189.10905
6700  187.90576
6720  191.81131
6740  186.55722
6760  188.85355
6780  187.92429
6800  187.62143
6820  189.9701
6840  191.40677
6860  192.84091
6880  186.64206
6900  186.08817
6920  187.98492
6940  190.02861
6960  189.01767
6980  192.47939
7000  188.37541
7020  188.32996
7040  189.09915
7060  186.2125
7080  185.63193
7100  190.24783
7120  187.57353
7140  186.02377
7160  187.16855
7180  186.19188
7200  190.36102
7220  186.18521
7240  187.77385
7260  190.74365
7280  188.94061
7300  187.80417
7320  190.88719
7340  191.26797
7360  190.38048
7380  191.00821
7400  189.36462
7420  189.2481
7440  189.1974
7460  186.51367
7480  189.05516
7500  190.47295
7520  192.00916
7540  191.5795
7560  188.0532
7580  191.35764
7600  189.81111
7620  186.58507
7640  185.75394
7660  191.55405
7680  189.28207
7700  186.96889
7720  185.84987
7740  189.32079
7760  185.41444
7780  185.94443
7800  187.50862
7820  187.99747
7840  187.1176
7860  182.75339
7880  187.65773
7900  183.19144
7920  188.47417
7940  187.97554
7960  185.38489
7980  190.46504
8000  190.59416
