_Episode  _MeanReward
20  -197.57263
40  -255.51782
60  -184.36081
80  -198.18895
100  -194.19789
120  -205.67783
140  -220.34091
160  -229.62964
180  -183.98088
200  -120.965614
220  -81.183395
240  -231.07678
260  -111.397385
280  -73.758446
300  -120.90775
320  -69.040245
340  -106.087
360  -61.94209
380  -59.08552
400  -54.197327
420  -32.76095
440  6.3907533
460  20.687817
480  -28.315521
500  -22.702225
520  100.45656
540  74.81908
560  224.70901
580  107.25928
600  147.13676
620  206.81729
640  198.18228
660  181.344
680  238.0531
700  218.64865
720  259.4566
740  95.00421
760  247.54536
780  183.57841
800  255.36243
820  293.09204
840  327.89117
860  263.03125
880  323.00998
900  262.21765
920  231.43472
940  373.22375
960  318.37006
980  247.13216
1000  310.34857
1020  251.75967
1040  300.53534
1060  332.00113
1080  257.26306
1100  334.09332
1120  325.23297
1140  350.6978
1160  262.10275
1180  396.01495
1200  423.88898
1220  351.8519
1240  304.58096
1260  340.538
1280  404.16187
1300  386.11145
1320  391.6806
1340  430.57748
1360  563.4978
1380  360.1093
1400  418.62607
1420  443.64508
1440  495.10883
1460  366.49136
1480  379.8442
1500  346.13275
1520  401.0895
1540  547.5423
1560  453.16425
1580  485.88007
1600  517.16833
1620  410.8731
1640  458.63843
1660  372.7579
1680  337.32773
1700  195.88693
1720  388.65878
1740  448.7309
1760  456.0136
1780  465.1507
1800  511.64322
1820  622.24524
1840  600.66534
1860  590.187
1880  552.14606
1900  580.473
1920  502.91367
1940  468.31046
1960  543.96497
1980  504.4034
2000  627.5852
2020  605.953
2040  466.2024
2060  528.2198
2080  508.4799
2100  525.233
2120  470.52563
2140  452.0086
2160  504.46298
2180  428.74796
2200  538.4518
2220  463.86475
2240  534.55646
2260  479.52716
2280  567.3334
2300  490.48276
2320  425.28198
2340  532.55554
2360  538.2776
2380  535.328
2400  536.8512
2420  487.54974
2440  522.73047
2460  540.74634
2480  525.42017
2500  545.8496
2520  569.32874
2540  483.28842
2560  400.74863
2580  419.5412
2600  593.3875
2620  309.50458
2640  366.32202
2660  393.4443
2680  405.97
2700  302.52777
2720  394.4065
2740  415.51816
2760  396.07416
2780  451.8688
2800  510.36563
2820  343.8506
2840  413.96768
2860  350.94223
2880  457.917
2900  375.4082
2920  473.7486
2940  498.60873
2960  441.06436
2980  554.5021
3000  506.64862
3020  286.72955
