_Episode  _MeanReward
20  -452.57373
40  -452.29385
60  -484.27856
80  -465.05005
100  -420.28638
120  -392.21835
140  -380.91318
160  -418.3873
180  -431.0026
200  -319.31854
220  -356.22946
240  -310.33475
260  -303.3866
280  -306.94434
300  -275.10696
320  -264.83273
340  -232.94211
360  -341.93915
380  -297.24347
400  -436.36533
420  -320.02057
440  -111.708206
460  -131.69402
480  -262.2564
500  -61.40264
520  -32.7315
540  -56.573303
560  -87.67064
580  -7.325802
600  -142.01068
620  -80.18259
640  37.110725
660  -0.7666968
680  1.3551781
700  42.963585
720  33.141388
740  40.584515
760  84.56489
780  94.23238
800  87.37355
820  102.48811
840  107.81155
860  101.77529
880  69.53716
900  29.921991
920  129.00241
940  105.023254
960  65.099266
980  18.969326
1000  121.40267
1020  112.816635
1040  96.11652
1060  135.4822
1080  128.26456
1100  138.63821
1120  143.35555
1140  95.756256
1160  125.842064
1180  121.65495
1200  125.55208
1220  122.278366
1240  151.40729
1260  112.36493
1280  131.64853
1300  142.48001
1320  144.3149
1340  144.03883
1360  157.56595
1380  149.59981
1400  88.839
1420  -17.039785
1440  -69.17531
1460  -47.041798
1480  -28.01377
1500  -108.45492
1520  144.03993
1540  9.224016
1560  46.652855
1580  8.410576
1600  113.86122
1620  -3.7503753
1640  -22.711273
1660  44.203194
1680  78.61988
1700  168.48389
1720  43.937626
1740  133.21536
1760  166.49446
1780  102.38584
1800  264.602
1820  132.4672
1840  234.36032
1860  239.65788
1880  195.27371
1900  169.2425
1920  112.084274
1940  247.00066
1960  265.32516
1980  286.22104
2000  293.3959
2020  129.64996
2040  208.0478
2060  230.556
2080  269.91544
2100  110.20542
2120  127.636795
2140  213.44283
2160  157.33499
2180  120.43141
2200  279.17023
2220  110.656235
2240  152.24693
2260  245.03564
2280  181.9014
2300  105.98954
2320  83.19094
2340  97.48288
2360  70.738945
2380  233.62195
2400  96.49931
2420  179.93117
2440  177.60727
2460  313.31378
2480  321.14883
2500  275.45355
2520  175.91753
2540  268.071
2560  180.01566
2580  271.0502
2600  195.61905
2620  154.78041
2640  142.4749
2660  212.19304
2680  161.25813
2700  183.97166
2720  156.26013
2740  226.5729
2760  177.16983
2780  10.486224
2800  189.44223
2820  149.05325
2840  192.51112
2860  176.48138
2880  244.15317
2900  175.03694
2920  193.44153
2940  156.72263
2960  246.29666
2980  101.60484
3000  213.55598
3020  265.82025
3040  226.60098
3060  234.15495
3080  242.94052
3100  114.59514
3120  290.49127
3140  224.89499
3160  111.96802
3180  204.77188
3200  283.55655
3220  239.20337
3240  315.52716
3260  263.7138
3280  322.01883
3300  244.38911
3320  254.2872
3340  249.12497
3360  135.76518
3380  176.25905
3400  302.88962
3420  321.40167
3440  326.91345
3460  303.3477
3480  331.8845
3500  323.88168
3520  256.02396
3540  310.94797
3560  102.14929
3580  214.35771
3600  304.65524
3620  242.85367
3640  121.43823
3660  246.6802
3680  150.29607
3700  167.55936
3720  286.87283
3740  165.08029
3760  160.10721
3780  118.278564
3800  145.68582
3820  288.14957
3840  188.8632
3860  108.38957
3880  -29.829731
3900  112.677795
3920  80.89345
3940  137.3241
3960  -123.8973
3980  -28.954163
4000  -10.62662
4020  55.32727
4040  108.002884
4060  58.137096
4080  85.09925
4100  -5.6720476
4120  135.51596
4140  245.40508
4160  215.01889
