_Episode _MeanReward
20 -689.7456
40 -674.6185
60 -782.7101
80 -729.08374
100 -732.9406
120 -675.9232
140 -664.76855
160 -727.09424
180 -667.25745
200 -701.32874
220 -705.1864
240 -598.3768299999999
260 -572.6471
280 -541.6028
300 -539.0567599999999
320 -613.3449
340 -541.83203
360 -524.0344
380 -521.98676
400 -508.7271
420 -495.0853
440 -518.5877
460 -544.262
480 -585.8897
500 -478.30307
520 -387.30182
540 -152.76543999999998
560 -356.54105
580 -136.3541
600 -34.374706
620 98.05648000000001
640 -219.59225
660 39.496513
680 23.364788
700 135.74094
720 138.3784
740 145.4836
760 153.1763
780 185.0678
800 182.43393
820 183.34024
840 183.87366
860 188.50403
880 184.24947
900 183.373
920 187.67085
940 191.95093
960 189.048
980 191.51146
1000 191.41608
1020 193.15138000000002
1040 192.11185
1060 190.34512
1080 189.63481000000002
1100 192.89822
1120 192.1163
1140 190.64166
1160 195.35295
1180 193.95096
1200 191.00032
1220 191.86398
1240 193.41525
1260 194.19113000000002
1280 193.65038
1300 191.32921000000002
1320 192.20871
1340 92.58214
1360 -534.6301
1380 -193.54503
1400 -188.10643000000002
1420 -474.79922
1440 -198.55856
1460 -351.6369
1480 -72.32079
1500 -70.45099

1520  -295.1463
1540  -292.7997
1560  -227.84421
1580  -212.04355
1600  17.394327
1620  -252.17471
1640  21.060528
1660  13.702454
1680  -166.86223
1700  74.02152
1720  -64.10845
1740  -10.717941
1760  -7.3332276
1780  -10.5105915
1800  -244.99898
1820  -140.81897
1840  -3.048181
1860  35.52309
1880  1.3330772
1900  -65.849815
1920  184.86295
1940  86.361275
1960  134.86853
1980  190.27817
2000  191.3812
2020  191.64
2040  191.98103
2060  191.55301
2080  192.26085
2100  192.5867
2120  191.13571
2140  190.57256
2160  191.09846
2180  191.0588
2200  190.5608
2220  191.45811
2240  192.00449
2260  190.16531
2280  189.59149
2300  188.70358
2320  195.2909
2340  194.58357
2360  192.64246
2380  191.8626
2400  190.52704
2420  191.79863
2440  192.96158
2460  193.12753
2480  190.12509
2500  193.14836
2520  188.0419
2540  193.50218
2560  190.41557
2580  190.85658
2600  192.034
2620  188.37517
2640  193.27078
2660  192.0474
2680  194.02415
2700  192.56784
2720  192.72047
2740  192.79951
2760  195.48207
2780  192.99834
2800  193.20303
2820  193.38213
2840  192.89859
