_Episode _MeanReward
20 -243.49765
40 -208.668
60 -221.12502999999998
80 -201.87511999999998
100 -207.71923999999999
120 -254.32747
140 -243.60823
160 -120.463806
180 -222.17448
200 -153.44829
220 -176.87495
240 -138.72118999999998
260 -140.45033
280 -144.56909
300 -99.37183
320 -153.40256000000002
340 -108.2524
360 -100.87154
380 -83.54196999999999
400 -58.13618
420 -31.221039
440 -121.81223999999999
460 -59.454730000000005
480 25.319378
500 -84.561775
520 -65.98606
540 -6.385915
560 6.2365265
580 -32.342426
600 -20.169957999999998
620 -59.021232999999995
640 -143.58162
660 -65.190186
680 -58.68549300000001
700 102.0899
720 34.965477
740 -9.874769
760 49.66816
780 80.60051
800 63.962982
820 84.73225
840 53.808130000000006
860 -9.037305
880 7.754117
900 -26.121622
920 91.296036
940 108.92261
960 -71.882774
980 -58.406456000000006
1000 213.95618
1020 165.8152
1040 199.64854
1060 154.99031000000002
1080 195.43997
1100 206.09697
1120 -21.509811
1140 79.30003
1160 199.06941
1180 180.07133000000002
1200 176.2266
1220 219.43362000000002
1240 242.04663
1260 219.30371
1280 266.27997
1300 258.75153
1320 88.14593
1340 37.203835
1360 168.82108
1380 276.58333999999996
1400 256.84976
1420 284.8081
1440 267.52917
1460 272.44135
1480 287.2471
1500 238.77242999999999

1520  300.2159
1540  286.5231
1560  305.295
1580  300.66364
1600  296.5525
1620  266.12552
1640  313.82272
1660  275.1817
1680  268.65826
1700  326.47592
1720  209.67615
1740  348.9371
1760  263.84
1780  284.52612
1800  219.03842
1820  181.49982
1840  210.6865
1860  239.32085
1880  324.32468
1900  277.11618
1920  283.5499
1940  -12.572458
1960  258.90375
1980  375.72324
2000  427.9431
2020  284.15955
2040  311.63385
2060  419.1521
2080  384.03534
2100  330.37152
2120  426.97232
2140  392.28986
2160  271.03943
2180  402.88068
2200  459.5948
2220  378.30347
2240  341.94647
2260  389.04742
2280  386.64474
2300  283.51743
2320  229.30269
2340  380.23676
2360  339.171
2380  327.47235
2400  380.9824
2420  413.05597
2440  421.09918
2460  440.4331
2480  357.5726
2500  363.12482
2520  464.003
2540  221.1209
2560  368.67343
2580  180.10208
2600  276.45282
2620  359.20648
2640  307.57858
2660  -19.068512
2680  69.51799
2700  207.97119
2720  287.38718
2740  294.08478
2760  296.07025
2780  557.624
2800  320.15228
2820  144.02812
2840  206.012
