_Episode  _MeanReward
20  -504.11163
40  -452.66934
60  -386.8757
80  -424.66864
100  -438.59024
120  -395.34683
140  -396.36926
160  -363.41196
180  -378.75458
200  -336.5472
220  -333.45856
240  -278.7356
260  -285.03845
280  -303.27005
300  -237.46701
320  -281.1098
340  -231.25984
360  -250.92404
380  -93.88854
400  -52.3648
420  -55.723854
440  -92.17509
460  -48.974068
480  26.361578
500  42.81243
520  77.707596
540  84.71782
560  94.231804
580  54.773426
600  97.707375
620  67.414085
640  26.482944
660  46.31806
680  27.35293
700  93.9031
720  50.327446
740  57.105095
760  87.5371
780  84.39476
800  90.59282
820  97.44005
840  94.02344
860  86.815475
880  93.60285
900  50.215366
920  49.971947
940  78.179016
960  79.97133
980  75.64247
1000  70.86873
1020  78.40582
1040  78.265854
1060  83.63956
1080  85.37636
1100  93.06334
1120  97.99196
1140  88.49436
1160  96.43852
1180  94.462906
1200  121.13643
1220  110.09824
1240  130.0616
1260  118.001816
1280  117.370094
1300  122.72288
1320  122.96488
1340  117.959816
1360  131.60367
1380  142.6845
1400  131.7013
1420  126.40244
1440  126.9138
1460  140.1652
1480  128.10803
1500  125.243225
1520  141.87822
1540  142.48694
1560  69.07117
1580  137.04736
1600  67.6142
1620  90.68266
1640  103.21989
1660  130.63516
1680  65.74014
1700  82.05865
1720  94.90129
1740  150.21384
1760  104.781906
1780  76.49691
1800  79.47765
1820  184.45753
1840  170.2189
1860  55.12388
1880  103.67348
1900  153.51479
1920  162.4249
1940  183.90392
1960  83.562065
1980  203.51178
2000  161.3213
2020  237.10153
2040  245.84079
2060  143.31758
2080  135.48892
2100  246.85257
2120  242.38614
2140  211.58757
2160  188.76517
2180  190.99931
2200  203.33752
2220  226.7507
2240  193.66934
2260  193.05356
2280  215.267
2300  182.10092
2320  245.52364
2340  210.71817
2360  142.4305
2380  188.57127
2400  126.58401
2420  136.6564
2440  196.60867
2460  107.6794
2480  103.285545
2500  191.53853
2520  66.07789
2540  -13.508392
2560  104.83655
2580  85.28016
2600  97.17948
2620  88.82163
2640  78.53502
2660  140.09572
2680  44.8365
2700  59.85035
2720  90.18902
2740  63.549828
2760  22.034145
2780  85.01954
2800  67.59175
2820  49.379234
2840  26.558695
2860  137.5121
2880  52.29962
2900  -63.985962
2920  162.45152
2940  -29.186178
2960  19.28509
2980  30.030203
3000  153.53464
3020  17.428349
3040  -38.87493
3060  1.5015446
3080  40.591587
3100  41.161446
3120  89.58259
3140  98.66164
3160  86.541985
3180  147.23283
3200  139.54219
3220  203.27692
3240  126.36717
3260  142.12775
3280  174.98721
3300  94.0114
3320  139.34464
3340  185.27216
3360  202.27565
3380  227.71835
3400  159.82864
3420  172.02386
3440  148.46559
3460  176.98843
3480  154.6916
3500  157.18163
3520  164.80702
3540  162.1228
3560  145.48077
3580  103.359535
3600  128.34718
3620  146.04619
3640  164.406
3660  174.96774
3680  218.4896
3700  240.0522
3720  217.5662
3740  206.5122
3760  150.69667
3780  190.90942
3800  190.14651
3820  176.16422
3840  175.50517
3860  211.20512
3880  192.0779
3900  226.6551
3920  216.80994
3940  276.2027
3960  170.45328
3980  200.80757
4000  176.99603
4020  204.43082
4040  152.31093
4060  164.42764
4080  179.32791
4100  215.8603
4120  258.84256
4140  247.47734
4160  210.16977
4180  275.82574
4200  304.90717
4220  215.74956
4240  228.79099
4260  231.97148
4280  233.73523
4300  212.87415
4320  261.4554
4340  293.44485
4360  242.5568
4380  281.21072
4400  261.95743
4420  317.27704
4440  249.41098
4460  249.86911
4480  254.79692
4500  246.89165
4520  279.4049
4540  295.5153
4560  270.21417
4580  237.12029
4600  321.09656
4620  253.94328
4640  301.65604
4660  343.51385
4680  328.3238
4700  230.32878
4720  307.9059
4740  334.61664
4760  243.55286
4780  222.73013
4800  228.62817
4820  272.1125
4840  224.62985
4860  179.89995
4880  212.63911
4900  279.53558
4920  261.13086
4940  257.8696
4960  260.92255
4980  326.69626
5000  224.14285
5020  279.91754
5040  167.74483
5060  272.3253
5080  192.86197
5100  272.94336
5120  317.45654
5140  335.01123
5160  384.97153
5180  255.09473
5200  211.27798
5220  256.4948
5240  301.25342
5260  124.61427
5280  319.94635
5300  209.17265
5320  321.0127
5340  240.28561
5360  268.8325
5380  293.1291
5400  262.2602
5420  343.716
5440  342.41437
5460  375.5314
5480  343.83096
5500  299.41382
5520  309.36435
5540  360.2846
5560  260.1979
5580  289.586
5600  173.72159
5620  269.56305
5640  239.90402
5660  287.85004
5680  309.35477
5700  278.98218
5720  261.464
5740  285.0053
5760  276.0054
5780  279.2691
5800  322.05963
5820  233.22232
5840  273.154
5860  303.4724
5880  331.83224
5900  382.50412
5920  302.55057
5940  389.81317
5960  336.90433
5980  378.44672
6000  297.4045
6020  357.67374
6040  314.37222
6060  335.7648
6080  301.31998
6100  280.5788
6120  287.429
6140  283.99564
6160  283.92938
6180  372.37714
6200  312.7317
6220  375.1592
6240  239.46756
6260  364.30078
6280  280.49448
6300  274.01694
6320  320.71875
6340  331.75534
6360  387.5463
6380  360.16678
6400  376.74155
6420  370.24072
6440  385.10327
6460  389.62918
6480  372.97983
6500  388.50323
6520  354.70404
6540  271.63947
6560  368.97482
6580  227.97946
6600  277.97626
6620  260.99927
6640  249.72981
6660  273.55914
6680  247.08017
6700  256.87762
6720  271.03436
6740  196.88757
6760  297.6801
6780  213.47424
6800  317.77914
6820  290.95215
6840  255.31033
6860  237.67644
6880  303.2463
6900  293.8405
6920  336.91644
6940  274.47406
6960  229.9738
6980  179.23235
7000  337.7674
7020  318.0474
7040  265.02194
7060  369.67447
7080  262.65732
7100  262.9649
7120  363.30338
7140  377.59326
7160  275.47504
7180  273.27133
7200  284.95383
7220  347.55634
7240  315.04996
7260  375.73785
7280  366.76895
7300  324.00272
7320  384.4296
7340  341.85422
7360  369.96573
7380  284.2028
7400  226.57527
7420  363.7641
7440  300.4013
7460  350.76978
7480  361.78485
7500  339.38293
7520  374.6449
7540  412.16235
7560  394.13702
7580  331.48505
7600  339.35226
7620  391.24805
7640  299.85968
7660  350.58527
7680  346.60165
7700  361.02072
7720  376.6349
7740  396.02756
7760  285.3356
7780  348.7878
7800  383.12555
7820  288.4124
7840  329.66388
7860  381.46844
7880  361.8397
7900  377.72125
7920  258.0781
7940  279.91498
7960  385.84125
7980  327.4478
8000  338.9639
8020  388.82257
8040  288.3796
8060  260.61972
8080  304.18103
8100  311.1887
8120  218.79932
8140  287.26227
8160  223.68562
8180  272.06616
8200  229.27388
8220  304.13293
8240  308.7988
8260  295.86658
8280  336.3415
8300  342.25726
8320  354.9487
8340  273.39655
8360  271.98688
8380  280.95013
8400  322.9984
8420  238.09175
8440  193.30135
8460  250.5325
8480  207.44221
8500  224.1005
8520  294.62976
8540  317.2744
8560  280.01288
8580  254.05815
8600  210.90332
8620  261.16788
8640  231.97586
8660  258.74683
8680  230.71822
8700  256.8435
8720  259.2625
8740  348.16162
8760  254.6385
8780  259.88727
8800  217.29073
8820  189.63998
8840  100.59114
8860  31.372446
8880  128.51219
8900  73.68355
8920  138.46626
8940  142.33331
8960  99.53043
8980  92.384796
9000  184.27702
9020  130.56078
9040  187.02106
9060  187.64426
9080  172.4376
9100  268.50693
9120  277.12494
9140  255.10185
9160  222.98764
9180  171.79356
9200  194.92294
9220  153.2078
9240  181.14212
9260  277.85712
9280  324.8803
9300  85.323395
9320  258.67548
9340  221.06596
9360  243.32309
9380  226.61922
9400  239.65482
9420  200.2434
9440  179.24399
9460  272.75424
9480  330.27084
9500  220.62503
9520  313.0698
9540  234.46858
9560  289.41498
9580  210.93228
9600  230.21172
9620  249.82161
9640  252.5469
9660  232.21553
9680  196.8769
9700  212.73946
9720  318.71564
9740  300.87552
9760  201.56084
9780  279.6524
9800  316.3455
9820  237.58383
9840  299.2722
9860  358.7303
9880  274.51678
9900  215.32292
9920  275.51532
9940  211.19617
9960  236.53381
9980  206.8184
10000  174.10489
10020  283.92917
10040  310.68234
10060  113.532364
10080  202.99811
10100  339.229
10120  219.06062
10140  254.3677
10160  195.39297
10180  223.26045
10200  302.7248
10220  222.45285
10240  269.50574
10260  217.05432
10280  312.16794
10300  274.57053
10320  313.7013
10340  332.78046
10360  252.99919
10380  342.56735
10400  361.3323
10420  388.58432
10440  281.38547
10460  321.70453
10480  379.65323
10500  362.0413
10520  350.9007
10540  322.65265
10560  279.8117
10580  232.9937
10600  297.24155
10620  264.50302
10640  314.72882
10660  327.2917
10680  270.65848
10700  329.81992
10720  319.80234
10740  302.01694
10760  247.88326
10780  395.9628
10800  324.48956
10820  302.49603
10840  284.84268
10860  245.4211
10880  301.23032
10900  250.11299
10920  229.43454
10940  375.1507
10960  281.20245
10980  290.23288
11000  311.67212
11020  315.94537
11040  348.33725
11060  308.23328
11080  237.67537
11100  334.24683
11120  296.8487
11140  257.55554
11160  253.61954
11180  281.90033
11200  298.8243
11220  249.03984
11240  324.52472
11260  230.67978
11280  266.4931
11300  215.87
11320  248.97034
11340  171.42166
