_Episode  _MeanReward
20  -692.70905
40  -656.27985
60  -744.59863
80  -760.16077
100  -766.3796
120  -705.4186
140  -619.6493
160  -666.4561
180  -578.3132
200  -553.33264
220  -616.8265
240  -536.8545
260  -620.652
280  -663.18713
300  -673.2255
320  -636.2643
340  -634.93805
360  -635.40967
380  -566.68506
400  -593.2554
420  -526.49744
440  -574.81824
460  -597.931
480  -570.08386
500  -549.63055
520  -501.17368
540  -606.37054
560  -507.64493
580  -527.25934
600  -498.09528
620  -452.60507
640  -571.0313
660  -619.16095
680  -529.9561
700  -577.5619
720  -457.56503
740  -446.5748
760  -650.5823
780  -472.27417
800  -506.2086
820  -456.30014
840  -455.6049
860  -420.05386
880  -185.36836
900  -42.820595
920  61.175972
940  147.70454
960  172.62926
980  130.86514
1000  178.94356
1020  184.74811
1040  175.43674
1060  183.00403
1080  186.09094
1100  188.94368
1120  185.54744
1140  186.92902
1160  188.45604
1180  190.07176
1200  185.59105
1220  190.6758
1240  184.22617
1260  189.34053
1280  193.17514
1300  193.04846
1320  185.40202
1340  189.26233
1360  191.949
1380  193.76118
1400  197.06442
1420  189.80515
1440  190.58434
1460  193.36423
1480  192.07678
1500  187.76431
1520  193.93942
1540  191.80666
1560  192.98569
1580  188.79008
1600  195.14081
1620  193.76291
1640  193.6481
1660  192.10388
1680  190.78244
1700  193.51428
1720  193.10475
1740  190.59851
1760  192.66626
1780  195.73532
1800  189.51193
1820  189.45879
1840  194.70647
1860  -94.873634
1880  192.79198
1900  190.70802
1920  191.91342
1940  187.53265
1960  187.787
1980  192.90878
2000  191.02618
2020  188.59529
2040  190.8583
2060  193.87991
2080  192.9982
2100  192.14096
2120  191.94519
2140  193.79675
2160  193.18443
2180  193.19748
2200  189.97127
2220  194.11374
2240  194.5166
2260  190.78888
2280  190.11098
2300  191.83266
2320  191.762
2340  89.55879
2360  192.49872
2380  189.43617
2400  81.45439
2420  85.46849
2440  96.198494
2460  143.21556
2480  68.308464
2500  98.20453
2520  192.00766
2540  147.21985
2560  145.05289
2580  100.29338
2600  148.32594
2620  155.51006
2640  145.1694
2660  147.30954
2680  47.608746
2700  -3.9933524
2720  137.48892
2740  187.24197
2760  190.53465
2780  190.50742
2800  193.07205
2820  143.54306
2840  189.59012
2860  149.8067
2880  97.01219
2900  147.59142
2920  191.71286
2940  193.69783
2960  193.88742
2980  195.70609
3000  192.71605
3020  188.78275
3040  188.5032
3060  194.78888
3080  133.9396
3100  188.36768
3120  193.34756
3140  189.48236
3160  191.9429
3180  195.50748
3200  193.68303
3220  189.50917
3240  191.24112
3260  193.8637
3280  191.38092
3300  188.17136
3320  190.94151
3340  192.0133
3360  193.6519
3380  194.33533
3400  195.89217
3420  191.86983
3440  188.65459
3460  190.692
3480  138.08896
3500  149.47041
3520  189.9827
3540  193.6523
3560  190.79648
3580  189.83827
3600  193.99417
3620  192.22176
3640  194.19919
3660  187.87314
3680  192.37463
3700  188.59743
3720  191.02217
3740  193.87924
3760  193.59229
3780  191.591
3800  190.94157
3820  192.0625
3840  192.85101
3860  194.46065
3880  192.37524
3900  141.10007
3920  49.73025
3940  187.3688
3960  6.411798
3980  46.374863
4000  190.13496
4020  105.89305
4040  191.76588
4060  -47.362244
4080  143.18745
4100  91.30444
4120  188.02126
4140  188.93784
4160  159.38689
4180  136.17767
4200  194.28801
4220  190.66095
4240  189.24612
4260  189.30553
4280  190.42935
4300  191.79013
4320  186.93158
4340  148.93195
4360  -205.60037
4380  -136.70396
4400  -289.4431
4420  -8.260232
4440  31.255377
4460  -406.7616
4480  40.744328
4500  -11.048975
4520  -7.578986
4540  -305.12054
4560  -208.68094
4580  -121.107155
4600  -113.96178
4620  -186.58655
4640  -96.80018
4660  -175.13387
4680  46.94532
4700  -49.56603
4720  -84.70357
4740  -69.87496
4760  -43.917957
4780  -117.965904
4800  3.0150971
4820  94.48841
4840  42.660393
4860  51.469307
4880  97.38587
4900  165.72398
4920  89.38517
4940  193.51181
4960  193.08466
4980  188.50404
5000  160.64993
5020  189.0096
5040  98.48049
5060  117.4213
5080  -17.459343
5100  148.16592
5120  142.51126
5140  92.300064
5160  108.339905
5180  151.69617
5200  189.03038
5220  186.49673
5240  191.81912
5260  191.65623
5280  188.95035
5300  185.40155
5320  191.11006
5340  158.54208
5360  188.19255
5380  189.04092
5400  186.11606
5420  189.48657
5440  193.86282
5460  188.97762
5480  189.36162
5500  190.54935
5520  190.92615
5540  192.92154
5560  190.3607
5580  189.25114
5600  191.15776
5620  191.51968
5640  194.986
5660  191.69202
5680  192.11021
5700  188.0525
5720  191.81332
5740  188.20029
5760  190.02193
5780  190.9635
5800  190.75046
5820  188.87302
5840  187.52557
5860  189.66696
5880  190.86952
5900  190.54938
5920  194.79314
5940  192.59471
5960  190.06926
5980  192.80652
6000  188.41635
6020  191.1843
6040  189.17184
6060  192.91812
6080  192.28702
6100  191.49216
6120  189.4719
6140  194.36516
6160  195.09988
6180  193.63135
6200  191.64429
6220  192.91818
6240  194.61699
6260  195.24835
6280  193.94945
6300  192.83182
6320  190.41159
6340  192.00967
6360  193.49031
6380  149.78395
6400  191.79703
6420  192.72498
6440  192.5855
6460  196.40184
6480  112.026405
6500  -1.1375167
6520  147.2365
6540  123.41996
6560  53.1204
6580  139.16444
6600  143.77257
6620  188.76166
6640  144.7483
6660  191.9707
6680  189.3935
6700  192.02406
6720  187.41908
6740  191.14587
6760  144.3406
6780  190.47005
6800  188.59023
6820  189.88266
6840  188.43747
6860  189.0515
6880  189.00516
6900  190.63756
6920  189.23979
6940  190.03467
6960  192.48026
6980  190.24498
7000  192.53734
7020  195.21294
7040  193.45909
7060  193.08624
7080  192.57956
7100  191.30322
7120  191.98389
7140  194.44333
7160  195.15952
7180  189.64702
7200  192.66016
7220  191.35744
7240  194.43611
7260  189.965
7280  190.93802
7300  190.2698
7320  190.63376
7340  192.94571
7360  193.11409
7380  191.61441
7400  191.83342
7420  192.20793
7440  192.62839
7460  192.3189
7480  189.52222
7500  193.27965
7520  193.04878
7540  189.21356
7560  190.99075
7580  191.33777
7600  190.70444
7620  191.3605
7640  190.3972
7660  191.38235
7680  191.39322
7700  194.15286
7720  193.91953
7740  192.66844
7760  192.81277
7780  191.46826
7800  190.91301
7820  191.89648
7840  195.9158
7860  194.51971
7880  193.99832
7900  193.99391
7920  196.98087
7940  190.51688
7960  191.2284
7980  192.38266
8000  191.03905
8020  193.49808
8040  151.20993
8060  191.73792
8080  191.77303
8100  193.45932
8120  191.79094
8140  192.69722
8160  194.79195
8180  195.04726
8200  196.36368
8220  194.22429
8240  192.91666
8260  192.26157
8280  192.60464
8300  192.86829
8320  193.97989
8340  191.06657
8360  193.49352
8380  188.7623
8400  159.80121
8420  148.69055
8440  190.33128
8460  194.07115
8480  191.28516
8500  191.62608
8520  193.0872
8540  150.99693
8560  190.95547
8580  162.318
8600  192.91402
8620  110.43661
8640  127.50533
8660  18.242367
8680  38.6883
8700  25.957926
8720  -101.47541
8740  -29.594616
8760  52.077686
8780  -17.195572
8800  -26.033594
8820  -66.40059
8840  -90.281
8860  -123.11163
8880  67.43131
8900  -121.02107
8920  71.40199
8940  -45.587673
8960  106.49072
8980  -184.96428
9000  10.365118
9020  61.914185
9040  146.23308
9060  21.589344
9080  -161.07202
9100  -34.61805
9120  92.99962
9140  -9.251276
9160  58.215424
9180  93.91853
9200  68.19755
9220  -35.886024
9240  109.42564
9260  98.16665
9280  101.68336
9300  127.383446
9320  195.1441
9340  192.35622
9360  199.60905
9380  190.10268
9400  142.03366
9420  163.3791
9440  191.52206
9460  150.17917
9480  189.11732
9500  192.52446
9520  195.06061
9540  195.70035
9560  139.91919
9580  92.401474
9600  -154.99615
9620  -224.06943
9640  -176.73715
9660  -196.67451
9680  -176.6807
9700  -82.66206
9720  107.08247
9740  2.1057708
9760  149.97469
9780  22.725687
9800  24.16239
9820  143.35927
9840  89.47375
9860  153.35995
9880  191.5866
9900  191.03105
9920  189.90675
9940  191.28731
9960  161.05544
9980  193.2613
10000  193.01266
10020  163.30605
10040  193.66832
10060  192.51492
10080  192.86226
10100  163.83798
10120  191.85635
10140  192.33011
10160  194.04727
10180  193.52872
10200  195.40956
10220  191.35416
10240  157.80244
10260  194.28403
10280  156.30092
10300  193.39224
10320  192.54282
10340  191.50461
10360  192.61734
10380  160.39905
10400  161.18327
10420  192.62161
10440  141.88177
10460  146.94942
10480  191.52484
10500  189.1797
10520  194.74576
10540  190.00795
10560  191.98138
10580  189.61833
10600  189.31494
10620  189.02095
10640  189.5701
10660  191.04462
10680  190.97299
10700  193.77556
10720  197.01585
10740  193.87479
10760  191.87045
10780  190.5293
10800  197.48824
10820  192.99622
10840  190.31572
10860  194.3713
10880  193.10034
10900  193.8673
10920  190.83224
10940  192.04976
10960  189.81387
10980  142.61258
11000  191.70065
11020  124.06047
11040  160.77917
11060  192.60033
11080  107.81901
11100  189.03264
11120  163.73834
11140  192.88371
11160  190.85135
11180  143.33386
11200  -49.733856
11220  135.80278
11240  103.48258
11260  187.81764
11280  99.88666
11300  189.11569
11320  158.14154
11340  189.38907
11360  8.383482
11380  -203.86575
11400  56.090706
11420  -49.894875
11440  79.39589
11460  188.2403
11480  26.310999
11500  140.66934
11520  161.1839
11540  44.116665
11560  94.93064
11580  187.71036
11600  190.98366
11620  193.37102
11640  189.14996
11660  193.384
11680  192.77274
11700  192.47324
11720  186.48642
11740  187.26614
11760  187.44034
11780  192.5984
11800  189.47318
11820  195.31592
11840  190.01512
11860  188.81094
11880  185.48265
11900  189.20413
11920  190.9817
11940  188.92702
11960  191.11667
11980  191.6133
12000  189.41861
12020  189.75908
12040  191.00168
12060  190.24297
12080  189.55006
12100  192.61679
12120  190.76239
12140  190.6001
12160  189.4561
12180  185.97134
12200  189.44003
12220  188.03036
12240  119.13837
12260  194.48128
12280  193.92291
12300  192.32724
12320  156.7481
12340  190.90797
12360  190.59766
12380  192.59082
12400  193.71361
12420  191.85043
12440  148.01628
12460  190.11198
12480  192.14171
12500  193.26898
12520  187.39145
12540  190.36803
12560  159.70497
12580  82.397354
12600  69.88872
12620  -33.96113
12640  -100.38978
12660  82.9997
12680  75.14585
12700  156.77603
12720  124.762245
12740  45.738586
12760  86.51105
12780  -89.08351
12800  45.331432
12820  -4.0367966
12840  132.87825
12860  189.56169
12880  37.57119
12900  188.72647
12920  89.56544
12940  -95.13866
12960  188.488
12980  117.14315
13000  106.091965
13020  63.43638
13040  118.43828
13060  161.04123
13080  156.29794
13100  191.6822
13120  48.763927
13140  133.03256
13160  138.25594
13180  125.71517
13200  137.53244
13220  75.13652
13240  184.46176
13260  190.05243
13280  184.072
13300  155.48929
13320  73.3826
13340  157.47429
13360  131.98277
13380  142.15672
13400  185.92703
13420  187.93118
13440  187.00728
13460  189.64386
13480  157.89517
13500  188.86838
13520  187.19307
13540  188.13791
13560  187.6083
13580  186.05789
13600  183.13187
13620  187.11789
13640  190.14395
13660  188.7665
13680  191.75037
13700  187.88329
13720  189.50587
13740  186.64326
13760  112.65552
13780  186.58443
13800  190.82626
13820  192.42262
13840  193.22899
13860  188.25314
13880  185.92422
13900  155.73619
13920  188.8422
13940  191.46675
13960  139.81464
13980  189.46123
14000  188.54358
14020  119.62455
14040  149.32642
14060  153.21263
14080  140.95663
14100  141.14267
14120  188.36537
14140  189.66333
14160  184.67123
14180  186.32664
14200  188.904
14220  189.17717
14240  183.61943
14260  186.99907
14280  185.90163
14300  189.04237
14320  186.0762
14340  187.78279
14360  190.2317
14380  183.67923
14400  189.01724
14420  189.86874
14440  188.82388
14460  183.76703
14480  185.95432
14500  188.9589
14520  190.48807
14540  182.67398
14560  186.91258
14580  190.21388
14600  190.83067
14620  188.8791
14640  192.19121
14660  188.79851
14680  190.53648
14700  189.95132
14720  188.84827
14740  190.3854
14760  189.76361
14780  187.3911
14800  187.32639
14820  186.665
14840  188.8494
14860  187.1927
14880  194.73926
14900  190.18831
14920  185.80403
14940  184.97293
14960  185.2843
14980  188.02322
15000  183.96262
15020  180.82626
15040  181.40883
15060  182.90694
15080  183.63657
15100  183.56718
15120  185.54128
15140  183.8415
15160  186.72751
15180  185.02283
15200  184.17966
15220  183.22696
15240  184.99062
15260  153.70876
15280  181.2349
15300  142.44565
15320  177.3606
15340  180.71468
15360  187.65039
15380  146.80606
15400  183.04132
15420  184.48666
15440  184.61696
15460  184.10425
15480  187.26816
15500  185.87639
15520  189.03465
15540  187.71634
15560  192.1085
15580  192.98878
15600  190.83679
15620  192.37357
15640  187.83768
15660  172.20676
15680  135.3365
15700  178.00314
15720  134.4661
15740  100.92522
15760  140.94833
15780  174.2485
15800  51.756817
15820  178.42233
15840  175.9053
15860  177.49782
15880  177.39218
15900  173.60657
15920  98.43492
15940  178.80705
15960  179.36627
15980  174.67484
16000  178.67813
16020  181.71858
16040  178.59552
16060  183.88603
16080  176.58914
16100  179.66406
16120  179.05544
16140  182.60916
16160  183.28217
16180  181.92786
16200  182.00551
16220  174.64569
16240  176.26456
16260  177.58434
16280  179.46143
16300  178.6819
16320  178.40799
16340  178.41368
16360  176.48318
16380  173.96843
16400  177.627
16420  177.1313
16440  175.0533
16460  180.42627
16480  182.88881
16500  180.40459
16520  182.36255
16540  181.86998
