_Episode  _MeanReward
20  -211.97131
40  -250.02205
60  -270.28873
80  -149.90353
100  -179.21165
120  -245.69644
140  -195.30934
160  -189.28465
180  -219.47713
200  -134.2915
220  -170.20354
240  -95.337364
260  -125.44896
280  -96.97171
300  -97.864265
320  -81.82753
340  -75.08051
360  -114.24101
380  -54.98882
400  -112.55449
420  -137.6598
440  -35.10703
460  -15.414221
480  31.527609
500  17.760942
520  46.525127
540  151.98294
560  -49.29602
580  52.33442
600  93.53188
620  159.13437
640  124.82039
660  168.2002
680  158.51842
700  117.913536
720  140.78079
740  198.18713
760  256.5734
780  265.4532
800  291.85733
820  293.27277
840  254.26651
860  284.74258
880  129.58513
900  237.39209
920  308.63535
940  278.424
960  268.98944
980  285.55106
1000  161.75212
1020  298.25327
1040  255.59746
1060  310.85004
1080  311.1811
1100  314.31445
1120  318.6438
1140  168.42886
1160  282.6134
1180  311.55045
1200  264.57312
1220  290.29666
1240  313.38187
1260  304.70648
1280  314.29562
1300  315.59573
1320  311.99698
1340  331.75275
1360  320.10593
1380  326.868
1400  305.3889
1420  313.28983
1440  333.0866
1460  317.04022
1480  337.4632
1500  329.9946
1520  312.66693
1540  325.7657
1560  343.02957
1580  320.5418
1600  332.49225
1620  337.4411
1640  316.96323
1660  293.92783
1680  303.60736
1700  311.564
1720  269.64914
1740  253.10542
1760  317.52423
1780  324.63458
1800  210.0133
1820  282.52573
1840  322.3108
1860  326.73163
1880  306.3846
1900  256.65143
1920  327.2374
1940  345.39856
1960  339.56613
1980  324.86404
2000  320.40732
2020  338.83722
2040  347.84805
2060  352.05603
2080  345.01035
2100  371.99802
2120  363.71213
2140  358.7838
2160  346.63266
2180  310.02243
2200  355.88226
2220  359.35034
2240  339.2315
2260  330.71964
2280  355.44366
2300  348.68814
2320  349.0512
2340  359.95984
2360  374.50705
2380  384.27676
2400  335.13647
2420  392.13824
2440  376.15997
2460  387.0683
2480  400.37723
2500  384.1676
2520  408.57764
2540  410.3338
2560  394.3935
2580  398.32104
2600  414.0677
2620  417.16513
2640  438.92328
2660  453.2501
2680  460.4615
2700  488.7684
2720  514.2714
2740  487.25928
2760  537.0154
2780  614.49255
2800  608.0097
2820  542.73987
2840  578.65625
2860  542.6427
2880  511.2224
2900  57.548683
2920  55.37505
2940  528.2898
2960  454.4228
2980  553.7938
3000  311.08966
3020  527.4057
3040  459.72394
3060  412.381
3080  500.53036
3100  605.9814
3120  540.1841
3140  522.97687
3160  567.36804
3180  519.5669
3200  585.9957
3220  643.6505
3240  571.79047
3260  653.83655
3280  561.5237
3300  445.57608
3320  432.77057
3340  398.4366
3360  446.70303
3380  503.30844
3400  551.7284
3420  564.339
3440  362.6492
3460  614.3236
3480  531.39185
3500  574.66376
3520  609.2117
3540  522.112
3560  538.86926
3580  495.51904
3600  552.6702
3620  586.0629
3640  597.8531
3660  565.4416
3680  611.542
3700  597.0357
3720  567.74506
3740  578.3662
3760  542.14856
3780  584.43567
3800  560.6593
3820  607.89294
3840  605.12445
3860  524.0611
3880  468.7606
3900  576.06866
3920  581.36316
3940  433.95477
3960  490.34995
3980  604.0772
4000  543.40704
4020  650.5209
4040  500.37695
4060  572.0048
4080  565.668
4100  659.89874
4120  535.1386
4140  629.7061
4160  649.4324
4180  520.88086
4200  566.47675
4220  418.61615
4240  577.83167
4260  592.57166
4280  585.66626
4300  546.9923
4320  589.96045
4340  615.1994
4360  373.61102
4380  466.11444
4400  470.45752
4420  419.46954
4440  506.95694
4460  424.02582
4480  442.52206
4500  339.43463
4520  481.07013
4540  398.5825
4560  373.41116
4580  428.16464
4600  311.11398
4620  265.48553
4640  334.923
4660  267.68613
4680  382.0979
4700  410.87564
4720  334.798
4740  366.44028
4760  428.81802
4780  347.01553
4800  231.37773
4820  202.84402
4840  20.157257
4860  149.31387
4880  119.37986
4900  120.219894
4920  97.09422
4940  13.586479
4960  197.55371
4980  131.25679
5000  378.21494
5020  404.4351
5040  415.72012
5060  431.87018
5080  423.80353
5100  510.85684
5120  312.33597
5140  529.35046
5160  286.314
5180  406.39227
5200  352.49274
5220  480.97128
5240  428.07178
5260  494.3327
5280  447.59943
5300  536.5822
5320  414.14136
5340  480.14297
5360  530.4477
5380  313.39825
5400  432.3558
5420  507.26562
5440  479.58823
5460  589.5038
5480  510.1603
5500  514.8818
5520  487.12286
5540  633.436
5560  524.00616
5580  542.31946
5600  624.94244
5620  629.1161
5640  600.046
5660  605.64215
5680  592.10626
5700  575.5182
5720  528.0876
5740  506.6163
5760  540.62573
5780  670.4046
5800  549.44904
5820  654.0834
5840  557.9025
5860  557.58105
5880  532.3712
5900  637.50183
5920  597.51636
5940  614.7308
5960  587.55664
5980  543.7226
6000  525.68024
6020  544.42255
6040  212.25528
6060  201.27588
6080  148.69858
6100  495.57233
6120  553.72284
6140  583.03186
6160  593.53925
6180  584.94934
6200  603.86005
6220  611.8663
6240  630.8362
6260  644.5748
6280  469.78888
6300  331.2372
6320  467.1661
6340  471.54776
6360  535.72296
6380  571.24
6400  525.6175
6420  466.72998
6440  577.6603
6460  561.27765
6480  535.83014
6500  595.92676
6520  486.9835
6540  608.5114
