_Episode _MeanReward
20 -256.62557999999996
40 -265.73605
60 -201.89795
80 -254.23923
100 -217.87099999999998
120 -211.75952
140 -184.72378999999998
160 -162.78122
180 -177.73543
200 -192.88351
220 -154.86862
240 -202.48296000000002
260 -149.60216
280 -186.96298000000002
300 -213.8389
320 -105.17748999999999
340 -96.09898000000001
360 -96.26179499999999
380 -135.2736
400 -86.20674
420 -41.720863
440 -174.85446000000002
460 -136.64133
480 -141.5578
500 -112.85338999999999
520 -82.83371
540 -81.86546
560 -35.9333
580 14.754698000000001
600 85.181854
620 35.737244
640 1.8730214
660 144.63351
680 132.56271
700 121.20447
720 154.44193
740 156.04535
760 175.50443
780 256.29425
800 103.04519
820 111.54645
840 236.79575
860 217.92583
880 236.60202
900 291.02145
920 312.03278
940 293.15555
960 300.4411
980 245.44966000000002
1000 243.46172
1020 272.27435
1040 303.4323
1060 304.79715
1080 313.33727999999996
1100 339.40204
1120 326.37915
1140 324.66193
1160 332.43036
1180 334.71674
1200 363.2094
1220 366.69012000000004
1240 418.62003
1260 391.3477
1280 430.01288
1300 409.70197
1320 421.95605
1340 413.05054
1360 466.08145
1380 447.96918
1400 574.2651400000001
1420 444.27954000000005
1440 465.85077
1460 535.9098
1480 508.6324
1500 516.8092
1520 401.92426
1540 497.51465
1560 453.1061
1580 399.96664
1600 462.10138
1620 488.42783
1640 502.65117999999995
1660 537.5444
1680 435.85635
1700 427.17963
1720 414.32416
1740 402.33367999999996
1760 432.74234
1780 512.9775
1800 397.35382000000004
1820 409.65112
1840 401.93906
1860 378.88568
1880 374.39102
1900 425.03873
1920 401.8538
1940 542.76825
1960 516.946
1980 480.18472
2000 425.53012
2020 313.57052999999996
2040 479.70352
2060 396.44092
2080 429.57745
2100 497.86287999999996
2120 428.01953
2140 509.25107
2160 325.68484
2180 519.1487400000001
2200 468.13614
2220 340.32372999999995
2240 379.98883
2260 426.90927
2280 468.42645
2300 433.7343
2320 350.3435
2340 537.3325
2360 439.54517000000004
2380 440.55792
2400 514.8357
2420 437.7801
2440 438.8706
2460 414.40932999999995
2480 494.81737999999996
2500 492.94757000000004
2520 380.22577
2540 416.471
2560 381.524
2580 387.09656
2600 418.16205
2620 447.1622
2640 413.069
2660 394.0119
2680 410.53802
2700 432.70184000000006
2720 493.44424000000004
2740 477.7002
2760 432.05062999999996
2780 543.39905
2800 520.0423599999999
2820 462.3919
2840 503.95
2860 526.8618
2880 486.11475
2900 454.4704
2920 449.39517
2940 511.10684000000003
2960 462.0879
2980 525.0202
3000 541.7828400000001
3020 517.6373
3040 489.94638
3060 553.7517
3080 561.73975
3100 490.87762000000004
3120 520.2594
3140 432.54962
3160 533.97736
3180 465.475
3200 555.4516
3220 475.64716
3240 392.90445
3260 547.60657
3280 519.7492
3300 534.7325400000001
3320 509.83197
3340 483.7855
3360 507.1923
3380 530.7968
3400 518.9346
3420 498.11395
3440 490.1065
3460 503.34125
3480 425.72983
3500 482.22528
3520 505.4397
3540 546.79034
3560 450.57162
3580 494.8566
3600 512.14197
3620 474.38837
3640 482.59418
3660 484.2552
3680 508.3731
3700 456.8566
3720 521.1332
3740 517.596
3760 447.9466
3780 537.5386
3800 528.1283
3820 501.1772
3840 523.88214
3860 473.13467
3880 556.7274
3900 528.8749
3920 525.7244
3940 438.37125
3960 541.7262
3980 510.3536
4000 519.3202
4020 578.8011
4040 519.7846
4060 511.71655
4080 545.8573
4100 518.653
4120 406.25504
4140 431.5996
4160 476.77432000000005
4180 561.35095
4200 524.6517
4220 528.0076
4240 525.1038
4260 610.3911
4280 646.14075
4300 424.3452
4320 518.73615
4340 488.13544
4360 534.4164
4380 535.1143
4400 544.1144400000001
4420 504.1368
4440 469.54645
4460 504.3898
4480 504.27065999999996
4500 542.2819
4520 626.4333
4540 556.05334
4560 468.2951
4580 623.9693599999999
4600 532.72375
4620 642.7658700000001
4640 520.575
4660 485.09985
4680 494.1041
4700 563.2327
4720 540.4898
4740 497.1706
4760 630.57886
4780 556.1582
4800 546.60834
4820 438.85175
4840 495.69293
4860 595.78076
4880 618.817
4900 525.9879
4920 420.185
4940 466.12314000000003
4960 490.30972
4980 492.97632000000004
5000 456.73877000000005
5020 480.51263
5040 499.94365999999997
5060 535.81396
5080 506.97632000000004
5100 573.5443
5120 469.73065
5140 531.31775
5160 560.5604
5180 494.0787
5200 531.8218
5220 575.8606599999999
5240 573.32385
5260 585.2502
5280 510.9702
5300 560.5953400000001
5320 492.05908
5340 500.4394
5360 610.0164
5380 540.24725
5400 576.5436
5420 562.89276
5440 539.79614
5460 522.75653
5480 554.0790000000001
5500 514.724
5520 493.72943
