_TimeStep _MeanReward
4096 -129.572
8192 -126.86399999999999
12288 -131.808
16384 -135.22299999999998
20480 -120.49700000000001
24576 -130.606
28672 -132.255
32768 -131.53799999999998
36864 -132.644
40960 -140.916
45056 -150.358
49152 -155.496
53248 -126.734
57344 -139.124
61440 -148.40200000000002
65536 -119.59
69632 -141.045
73728 -154.202
77824 -165.861
81920 -154.91899999999998
86016 -131.963
90112 -135.67600000000002
94208 -119.56700000000001
98304 -167.31099999999998
102400 -132.985
106496 -132.941
110592 -127.147
114688 -168.854
118784 -125.73299999999999
122880 -143.975
126976 -156.756
131072 -135.885
135168 -173.792
139264 -132.72
143360 -131.11700000000002
147456 -129.335
151552 -159.57299999999998
155648 -136.613
159744 -127.495
163840 -175.412
167936 -136.094
172032 -138.817
176128 -133.045
180224 -136.179
184320 -159.012
188416 -174.394
192512 -146.624
196608 -140.145
200704 -136.219

204800  -159.093
208896  -134.637
212992  -133.738
217088  -132.331
221184  -131.246
225280  -134.74
229376  -134.039
233472  -136.706
237568  -127.973
241664  -133.138
245760  -130.695
249856  -129.592
253952  -120.13
258048  -174.311
262144  -123.887
266240  -124.515
270336  -117.697
274432  -124.662
278528  -133.063
282624  -120.445
286720  -131.613
290816  -123.333
294912  -122.712
299008  -126.233
303104  -121.889
307200  -123.843
311296  -131.64
315392  -118.379
319488  -117.859
323584  -121.133
327680  -115.355
331776  -119.338
335872  -119.272
339968  -115.473
344064  -122.915
348160  -123.59
352256  -123.986
356352  -123.024
360448  -122.222
364544  -120.349
368640  -128.116
