_TimeStep  _MeanReward
4096  -139.658
8192  -112.676
12288  -110.215
16384  -120.425
20480  -105.378
24576  -110.122
28672  -120.512
32768  -112.869
36864  -107.665
40960  -109.394
45056  -108.161
49152  -112.551
53248  -104.69
57344  -113.487
61440  -115.703
65536  -112.813
69632  -119.388
73728  -111.577
77824  -113.497
81920  -105.669
86016  -128.767
90112  -106.738
94208  -107.125
98304  -109.762
102400  -105.503
106496  -105.356
110592  -110.433
114688  -109.263
118784  -111.375
122880  -103.307
126976  -112.249
131072  -106.7
135168  -124.087
139264  -113.53
143360  -124.407
147456  -114.528
151552  -124.664
155648  -145.855
159744  -128.415
163840  -133.135
167936  -148.119
172032  -162.187
176128  -186.873
180224  -162.247
184320  -176.015
188416  -158.362
192512  -157.514
196608  -172.902
200704  -136.165
204800  -163.998
208896  -161.974
212992  -212.789
217088  -149.149
221184  -137.872
225280  -128.477
229376  -129.715
233472  -126.525
237568  -151.254
241664  -171.999
245760  -128.569
249856  -165.9
253952  -137.42
258048  -128.982
262144  -155.307
266240  -170.037
270336  -157.732
274432  -125.457
278528  -133.267
282624  -127.627
286720  -124.755
290816  -126.277
294912  -119.478
299008  -135.374
303104  -135.61
307200  -158.686
311296  -122.188
315392  -129.486
319488  -123.236
323584  -125.141
327680  -115.135
331776  -124.705
335872  -153.515
339968  -132.34
344064  -164.596
348160  -131.454
352256  -127.943
356352  -162.885
360448  -125.577
364544  -125.362
368640  -145.09
372736  -131.894
376832  -123.762
380928  -134.132
385024  -125.692
389120  -136.835
393216  -126.71
397312  -133.019
401408  -130.684
405504  -123.323
409600  -127.899
413696  -151.769
417792  -126.146
421888  -124.489
425984  -117.501
430080  -130.295
434176  -128.302
438272  -126.309
442368  -124.145
446464  -172.013
450560  -210.862
454656  -144.695
458752  -124.611
462848  -153.348
466944  -116.565
471040  -126.607
475136  -142.858
479232  -129.836
483328  -120.105
487424  -169.823
491520  -130.999
495616  -121.47
499712  -128.997
503808  -169.321
507904  -125.29
512000  -116.062
516096  -124.007
520192  -120.945
524288  -165.424
528384  -133.796
532480  -121.85
536576  -125.918
540672  -164.615
544768  -122.867
548864  -131.62
552960  -124.996
557056  -117.032
561152  -125.244
565248  -120.761
569344  -129.62
573440  -119.37
577536  -125.907
581632  -128.289
585728  -166.37
589824  -130.435
593920  -139.828
598016  -122.918
602112  -132.746
606208  -126.551
610304  -113.017
614400  -134.003
618496  -133.103
622592  -127.497
626688  -168.267
630784  -116.72
634880  -123.206
638976  -124.1
643072  -119.11
647168  -120.924
651264  -155.988
655360  -117.822
659456  -115.764
663552  -112.597
667648  -111.558
671744  -122.094
675840  -115.234
679936  -121.632
684032  -114.36
688128  -121.365
692224  -121.623
696320  -120.249
700416  -122.687
704512  -123.873
708608  -119.794
712704  -126.416
716800  -126.195
720896  -121.43
724992  -116.531
729088  -117.644
733184  -119.56
737280  -124.863
741376  -111.032
745472  -116.645
749568  -125.974
753664  -120.525
757760  -122.28
761856  -124.684
765952  -128.172
770048  -127.62
774144  -123.625
778240  -112.939
782336  -119.332
786432  -123.649
790528  -119.345
794624  -135.459
798720  -122.507
802816  -123.606
806912  -123.619
811008  -115.068
815104  -116.867
819200  -129.16
823296  -117.375
827392  -117.57
831488  -124.766
835584  -137.731
839680  -126.058
843776  -130.694
847872  -134.962
851968  -124.223
856064  -128.305
860160  -114.495
864256  -117.457
868352  -120.301
872448  -120.531
876544  -124.374
880640  -126.583
884736  -202.605
888832  -118.527
892928  -121.224
897024  -123.862
901120  -124.885
905216  -122.89
909312  -126.079
913408  -120.216
917504  -123.457
921600  -122.958
925696  -129.017
929792  -138.647
933888  -126.919
937984  -167.157
942080  -124.037
946176  -129.006
950272  -120.928
954368  -114.358
958464  -114.187
962560  -126.901
966656  -130.803
970752  -123.044
974848  -122.264
978944  -128.228
983040  -137.757
987136  -131.6
991232  -122.655
995328  -135.232
999424  -139.043
1003520  -137.443
1007616  -172.699
1011712  -156.014
1015808  -126.982
1019904  -132.179
1024000  -140.971
1028096  -133.722
1032192  -174.433
1036288  -131.704
1040384  -129.131
1044480  -136.306
1048576  -115.221
1052672  -158.69
1056768  -131.782
1060864  -89.3134
1064960  -89.3518
1069056  -89.3385
1073152  -89.4009
1077248  -89.3545
1081344  -89.4251
1085440  -89.3217
1089536  -89.3031
1093632  -89.3608
1097728  -89.3354
1101824  -89.3267
1105920  -89.3273
