_TimeStep  _MeanReward
4096  -112.11
8192  -108.431
12288  -105.331
16384  -106.819
20480  -108.959
24576  -106.397
28672  -114.096
32768  -107.698
36864  -113.638
40960  -115.035
45056  -116.274
49152  -112.227
53248  -116.388
57344  -113.44
61440  -111.709
65536  -108.516
69632  -107.207
73728  -112.122
77824  -112.272
81920  -123.434
86016  -113.469
90112  -108.916
94208  -110.658
98304  -111.992
102400  -108.185
106496  -106.298
110592  -106.39
114688  -103.735
118784  -104.32
122880  -107.254
126976  -103.092
131072  -104.539
135168  -106.144
139264  -102.091
143360  -102.102
147456  -101.591
151552  -109.715
155648  -106.097
159744  -100.808
163840  -99.0983
167936  -99.2862
172032  -106.486
176128  -100.903
180224  -105.022
184320  -96.7133
188416  -104.615
192512  -99.0905
196608  -103.654
200704  -99.7491
204800  -126.277
208896  -98.7602
212992  -96.7557
217088  -103.287
221184  -103.626
225280  -105.514
229376  -99.0033
233472  -99.1138
237568  -102.448
241664  -113.986
245760  -109.341
249856  -104.607
253952  -93.405
258048  -107.327
262144  -95.8305
266240  -99.2749
270336  -108.932
274432  -96.5502
278528  -96.8105
282624  -101.527
286720  -111.706
290816  -99.9491
294912  -91.7141
299008  -98.6394
303104  -105.555
307200  -96.0161
311296  -103.052
315392  -94.1176
319488  -93.5736
323584  -98.8994
327680  -97.0429
331776  -94.7209
335872  -89.9794
339968  -98.6393
344064  -94.826
348160  -97.5734
352256  -97.9555
356352  -92.7739
360448  -101.782
364544  -92.9763
368640  -89.365
372736  -90.8195
376832  -96.2452
380928  -98.2074
385024  -92.8822
389120  -93.9039
393216  -94.0492
397312  -99.0351
401408  -94.6971
405504  -98.0265
409600  -94.8278
413696  -90.2263
417792  -89.7256
421888  -97.1651
425984  -97.1095
430080  -99.804
434176  -96.762
438272  -90.5937
442368  -96.1727
446464  -88.5479
450560  -91.8747
454656  -89.2891
458752  -91.4073
462848  -88.277
466944  -95.8995
471040  -97.6119
475136  -90.6955
479232  -94.5725
483328  -86.8794
487424  -84.5179
491520  -104.409
495616  -91.1361
499712  -94.3106
503808  -97.2848
507904  -96.6012
512000  -101.532
516096  -101.802
520192  -86.4563
524288  -100.388
528384  -82.7015
532480  -94.6854
536576  -97.3567
540672  -91.4333
544768  -92.4494
548864  -85.2587
552960  -91.9319
557056  -102.167
561152  -90.9734
565248  -89.9237
569344  -92.6303
573440  -97.3528
577536  -96.3272
581632  -97.8299
585728  -98.4794
589824  -96.2887
593920  -91.6356
598016  -98.4706
602112  -92.7993
606208  -90.3378
610304  -99.4617
614400  -84.5757
618496  -91.0322
622592  -96.0497
626688  -94.3463
630784  -94.6604
634880  -94.0166
638976  -94.6393
643072  -93.1535
647168  -97.6107
651264  -121.252
655360  -87.4588
659456  -85.9644
663552  -89.8883
667648  -88.9598
671744  -93.1022
675840  -92.0312
679936  -86.5723
684032  -95.5103
688128  -91.805
692224  -87.5795
696320  -93.8702
700416  -116.158
704512  -87.4506
708608  -98.441
712704  -90.2908
716800  -94.9441
720896  -92.5125
724992  -87.4106
729088  -95.8922
733184  -98.1375
737280  -89.6784
741376  -93.2058
745472  -86.9935
749568  -90.9463
753664  -85.9664
757760  -100.75
761856  -92.9655
765952  -125.719
770048  -91.5343
774144  -116.934
778240  -92.9231
782336  -102.928
786432  -98.8341
790528  -94.1184
794624  -96.0688
798720  -90.9663
802816  -97.5808
806912  -93.5131
811008  -95.7843
815104  -87.9711
819200  -91.8582
823296  -89.367
827392  -88.9298
831488  -91.75
835584  -91.7081
839680  -91.3693
843776  -123.769
847872  -94.0603
851968  -92.4716
856064  -91.4758
860160  -102.253
864256  -90.4816
868352  -97.0567
872448  -89.8739
876544  -88.5458
880640  -93.0413
884736  -85.831
888832  -94.2712
892928  -88.5197
897024  -93.2507
901120  -91.5478
905216  -94.1547
909312  -84.9999
913408  -94.1782
917504  -94.1794
921600  -87.9421
925696  -91.4955
929792  -90.0207
933888  -83.1444
937984  -89.2323
942080  -89.6075
946176  -87.7814
950272  -89.6222
954368  -86.6014
958464  -89.3574
962560  -88.8123
966656  -86.6048
970752  -92.3701
974848  -90.8101
978944  -91.209
983040  -118.129
987136  -90.5035
991232  -117.813
995328  -92.2042
999424  -98.3416
1003520  -90.1367
1007616  -88.7219
1011712  -89.4598
1015808  -91.9407
1019904  -84.5245
1024000  -85.8018
1028096  -86.2013
1032192  -86.2974
1036288  -92.0294
1040384  -96.9489
1044480  -90.3666
1048576  -89.609
1052672  -95.625
1056768  -92.6847
1060864  -87.8764
1064960  -129.351
1069056  -93.0817
1073152  -83.5637
1077248  -84.3161
1081344  -86.1195
1085440  -86.4617
1089536  -86.3274
1093632  -88.1651
1097728  -87.6001
1101824  -91.6457
1105920  -97.5523
1110016  -98.2257
1114112  -98.2344
1118208  -92.6622
1122304  -96.9884
1126400  -103.827
1130496  -99.8353
1134592  -104.165
1138688  -94.7998
1142784  -89.8975
1146880  -94.6641
1150976  -96.7636
1155072  -99.266
1159168  -98.8908
1163264  -95.476
1167360  -93.9802
1171456  -99.8715
1175552  -97.6115
1179648  -100.11
1183744  -100.253
1187840  -104.499
1191936  -103.005
1196032  -100.051
1200128  -108.901
1204224  -98.9792
1208320  -105.922
1212416  -107.793
1216512  -104.569
1220608  -102.094
1224704  -105.025
1228800  -98.9643
1232896  -103.182
1236992  -105.937
1241088  -105.769
1245184  -100.767
1249280  -100.722
1253376  -103.058
1257472  -98.9017
1261568  -104.01
1265664  -104.043
1269760  -101.68
1273856  -102.002
1277952  -97.8786
1282048  -94.794
1286144  -95.3942
1290240  -95.417
1294336  -101.627
1298432  -96.4103
1302528  -94.7599
1306624  -96.5584
1310720  -97.343
1314816  -112.161
1318912  -96.5376
1323008  -127.121
1327104  -99.1591
1331200  -105.789
1335296  -123.989
1339392  -94.66
1343488  -93.1282
1347584  -85.7647
1351680  -93.3258
1355776  -94.6131
1359872  -92.7275
1363968  -87.1444
1368064  -89.3046
1372160  -112.191
1376256  -89.3397
1380352  -120.439
1384448  -87.8478
1388544  -87.9278
1392640  -100.656
1396736  -85.7726
1400832  -97.8115
1404928  -127.857
1409024  -99.4175
1413120  -82.5524
1417216  -90.8816
1421312  -95.3454
1425408  -96.0304
1429504  -91.4469
1433600  -93.6461
1437696  -89.8852
1441792  -88.8025
1445888  -86.5789
1449984  -87.0265
1454080  -84.6535
1458176  -128.029
1462272  -88.8762
1466368  -86.1586
1470464  -91.7883
1474560  -97.7916
1478656  -97.6338
1482752  -103.42
1486848  -97.3069
1490944  -102.298
1495040  -98.1202
1499136  -99.8016
1503232  -101.839
1507328  -97.4868
1511424  -93.3089
1515520  -95.6993
1519616  -92.7863
1523712  -98.5529
1527808  -95.3159
1531904  -96.0631
1536000  -90.9025
1540096  -95.353
1544192  -97.1902
1548288  -94.5388
1552384  -100.469
1556480  -94.9924
1560576  -106.909
1564672  -132.689
1568768  -89.3505
1572864  -98.3533
1576960  -100.01
1581056  -96.7039
1585152  -95.1433
1589248  -97.5473
1593344  -96.7077
1597440  -98.1247
1601536  -105.005
1605632  -126.577
1609728  -91.7544
1613824  -92.9348
1617920  -96.7662
1622016  -101.797
1626112  -90.3271
1630208  -89.6629
1634304  -85.3746
1638400  -94.0338
1642496  -90.7084
1646592  -90.5447
1650688  -92.7776
1654784  -121.12
1658880  -89.8477
1662976  -88.6186
1667072  -91.0011
1671168  -91.842
1675264  -92.9653
1679360  -94.0773
1683456  -94.1469
1687552  -93.8964
1691648  -97.7057
1695744  -90.4399
1699840  -84.4313
1703936  -91.5419
1708032  -93.5916
1712128  -92.4625
1716224  -87.0299
1720320  -81.1017
1724416  -89.2434
1728512  -91.1548
1732608  -100.444
1736704  -88.5885
1740800  -133.127
1744896  -90.2845
1748992  -88.5014
1753088  -95.9233
1757184  -117.291
1761280  -96.5042
1765376  -95.8215
1769472  -100.919
1773568  -101.463
1777664  -94.8595
1781760  -96.9121
1785856  -91.6335
1789952  -95.0923
1794048  -93.1588
1798144  -87.9116
1802240  -99.1583
1806336  -88.963
1810432  -91.3999
1814528  -97.9925
1818624  -93.1889
1822720  -99.0995
1826816  -95.1343
1830912  -94.0154
1835008  -93.4621
1839104  -97.2296
1843200  -96.2101
1847296  -95.887
1851392  -93.2991
1855488  -86.3982
1859584  -87.4047
1863680  -97.1943
1867776  -97.6178
1871872  -89.7324
1875968  -85.0596
1880064  -87.2625
1884160  -99.5154
1888256  -93.2097
1892352  -104.322
1896448  -91.4755
1900544  -93.2415
1904640  -132.206
1908736  -88.5073
1912832  -95.1879
1916928  -117.997
1921024  -117.479
1925120  -89.7793
1929216  -101.109
1933312  -94.8816
1937408  -90.0983
1941504  -92.0331
1945600  -96.6444
1949696  -91.708
1953792  -92.371
1957888  -85.5265
1961984  -92.0111
1966080  -92.0791
1970176  -89.8515
1974272  -84.917
1978368  -93.7022
1982464  -92.5287
1986560  -87.2654
1990656  -91.6521
1994752  -86.2429
1998848  -87.0194
2002944  -88.245
2007040  -91.2647
2011136  -104.263
2015232  -97.8993
2019328  -93.4885
2023424  -88.8394
2027520  -156.382
2031616  -142.526
2035712  -90.6578
2039808  -91.8147
2043904  -98.0865
2048000  -86.184
2052096  -97.2495
2056192  -93.3101
2060288  -96.5491
2064384  -105.737
2068480  -137.567
2072576  -137.276
2076672  -96.9405
2080768  -91.664
2084864  -89.3378
2088960  -90.4659
2093056  -95.2071
2097152  -118.922
2101248  -115.909
2105344  -86.0555
2109440  -135.335
2113536  -113.181
2117632  -92.2379
2121728  -112.08
2125824  -86.3322
2129920  -86.8633
2134016  -117.736
2138112  -140.084
2142208  -125.133
2146304  -99.898
2150400  -119.604
2154496  -118.447
2158592  -100.92
2162688  -119.036
2166784  -92.6693
2170880  -96.1838
2174976  -121.291
2179072  -140.311
2183168  -115.095
2187264  -106.639
2191360  -91.099
2195456  -93.6165
2199552  -122.808
2203648  -94.2164
2207744  -93.7496
2211840  -101.929
2215936  -106.046
2220032  -126.851
2224128  -96.9738
2228224  -104.703
2232320  -100.158
2236416  -95.7768
2240512  -95.8614
2244608  -113.232
2248704  -110.825
2252800  -101.813
2256896  -103.497
2260992  -100.198
2265088  -108.191
2269184  -109.071
2273280  -109.389
2277376  -104.148
2281472  -101.387
2285568  -93.8216
2289664  -132.598
2293760  -89.979
2297856  -98.6035
2301952  -93.1152
2306048  -90.0788
2310144  -91.4153
2314240  -99.3136
2318336  -101.606
2322432  -88.4987
2326528  -96.2639
2330624  -99.0243
2334720  -93.2251
2338816  -88.5725
2342912  -102.84
2347008  -90.5738
2351104  -92.3941
2355200  -94.4143
2359296  -96.8221
2363392  -98.035
2367488  -93.6883
2371584  -90.9511
2375680  -89.1358
2379776  -90.4013
2383872  -102.005
2387968  -91.2697
2392064  -93.2687
2396160  -99.3137
2400256  -99.1717
2404352  -95.2244
2408448  -95.5452
2412544  -98.1265
2416640  -95.2977
2420736  -96.469
2424832  -92.1452
2428928  -93.6241
2433024  -101.888
2437120  -122.245
2441216  -140.802
2445312  -121.898
2449408  -97.9565
2453504  -128.369
2457600  -94.7848
2461696  -163.349
2465792  -90.8996
2469888  -126.881
2473984  -129.876
2478080  -132.847
2482176  -105.778
2486272  -130.465
2490368  -98.9555
2494464  -99.1807
2498560  -97.3289
