_MeanReward,Steps,_TimeStep,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-112.11,4096,4096,-0.0769274442418,-0.51551315888,0.0102935793506,0.00380894794131,-3.12250225676e-17,-9.69180938218,3.0098242269,0.999984663427,-0.0268855862552,-2.07372395077,1.75567795225,0.0391771027173,0.0376172,-6.58541,6.43683,2.7577,-0.0256931,7.63382,0.00546256,1.0,1.0,0.00229748454617,-0.871823215854,-5.57988854079
-108.431,4096,8192,-0.0733423985295,-0.5,0.00145150510738,0.00279107324874,-8.15320033709e-17,-7.31361680129,4.9218921324,0.999957812268,0.0431514309416,-1.12524622137,1.6381778201,0.0383520754163,0.0380349,-6.95358,5.95331,2.62029,-0.0255349,7.63441,0.00430552,0.666666666667,1.0,0.00216283224485,-0.623201237277,-0.706326958843
-105.331,4096,12288,-0.119214686732,-0.5,0.00207301733766,0.0175389602615,0.0,-5.96250686036,1.8517224015,0.999976725496,0.0246314328769,-1.20772156486,1.7004772651,0.0574038776385,0.0497987,-6.19857,6.13386,2.70156,0.00378154,7.59235,0.00525843,0.666666666667,1.0,0.00242419960154,-4.12738445431,-0.0745498773494
-106.819,4096,16384,-0.0926778222128,-0.504901028244,0.000887437448913,0.0112504104222,2.77555756156e-17,-4.88601094819,5.28912838525,0.999963984846,0.0264697688527,-1.33209969106,1.70773887096,0.0535682601314,0.0774771,-6.27206,7.20583,2.5993,0.0168975,7.65028,0.0242545,1.0,1.0,0.00178467394844,-0.00244562442917,0.337513183651
-108.959,4096,20480,-0.10468543162,-0.5,0.00147633033994,0.0106476348267,3.46944695195e-18,-4.42214911189,4.65083308817,0.999957691426,0.0252684893923,-1.17407728199,1.96035024643,0.0416497614419,0.0555227,-6.46862,6.88712,2.6464,-0.114386,7.68493,0.0176863,1.0,1.0,0.00116569974818,0.213664415514,0.588221726399
-106.397,4096,24576,-0.0973652636837,-0.5,0.00191515428318,0.0100622889812,4.85722573274e-17,-10.0743310452,4.42713987057,0.999958158979,0.0256910330386,-1.52524136207,1.599,0.0422431343518,0.0844682,-6.95602,7.52753,2.74131,-0.0335666,7.68549,0.0165089,1.0,1.0,0.00151979343795,-0.127387331802,0.45623876609
-114.096,4096,28672,-0.0778510306263,-0.5,0.0056025778157,0.00307861775475,2.77555756156e-17,-8.54400349657,7.12127206917,0.99995166155,0.0202121423712,-0.989550928476,1.599,0.0348640715209,0.0760645,-6.82643,6.84798,2.77789,-0.0194751,7.72774,0.00823266,1.0,1.0,0.00190154308871,0.0836834374008,-0.509670142648
-107.698,4096,32768,-0.119054376107,-0.505594585781,0.0028231191828,0.017666900334,-5.55111512313e-17,-6.86169766841,6.65997710204,0.999949615036,0.0286106786761,-1.69424197742,1.599,0.0460334363556,0.103638,-6.10047,6.25523,2.81301,0.0642456,7.71137,0.0108681,1.0,1.0,0.00249028761425,-1.34691153099,0.834659459073
-113.638,4096,36864,-0.0917987211331,-0.5,-0.00082452618517,0.00812767527283,2.77555756156e-17,-5.71549191769,6.75409330839,0.999945266696,0.0239418649301,-1.08562139779,1.599,0.0396653608987,0.0760199,-6.9325,6.78232,2.78777,0.0106762,7.73523,0.0278208,1.5,1.0,0.00217433652374,-0.430904229865,0.591584876066
-115.035,4096,40960,-0.0729380265724,-0.11508654939,0.00115343696036,0.000486161963485,2.08166817117e-17,-4.83418311233,5.71459503456,0.999932812481,0.0222454075947,-0.902359927853,1.599,0.0339023099136,0.0802148,-6.2902,7.15945,2.83168,-0.181756,7.79411,0.0215057,2.25,1.0,0.00182693529296,0.166850646364,-2.55280425598
-116.274,4096,45056,-0.071650252376,-0.110069404265,0.00628269661409,0.000409386673231,6.93889390391e-18,-2.04142722346,7.71034846004,0.999894023578,0.0222651385168,-1.14397411381,1.599,0.0345390048182,0.0661833,-6.48251,7.06028,2.96744,-0.24868,7.80105,0.0420148,3.375,1.0,0.00217451656437,0.102043280025,-1.34807618704
-112.227,4096,49152,-0.0769011878702,-0.5,0.00131544534378,0.00241681277646,2.77555756156e-17,-12.2723539365,2.32081464905,0.99992809183,0.0189221985879,-1.66425278338,1.599,0.0333506053712,0.0459831,-7.45091,7.95763,2.91076,0.0457855,7.81073,0.0140744,3.375,1.0,0.00146070142397,-0.263706428582,0.298603748257
-116.388,4096,53248,-0.109811461268,-0.50500786878,-0.000239920278545,0.00909002652398,-4.16333634234e-17,-6.9459780587,4.04572340163,0.999957119037,0.0246723861727,-1.05387812168,2.07662754285,0.0476873010451,0.0460455,-6.21135,7.05863,2.95215,-0.0524107,7.81597,0.00719164,3.375,1.0,0.00533094155954,0.760612218587,-0.13585608237
-113.44,4096,57344,-0.0706549319364,-0.103393552282,0.00143530515351,0.000513473706221,-2.77555756156e-17,-3.80626019946,9.37585566053,0.999929476797,0.0235329084464,-0.974162936242,1.599,0.0335981353516,0.0587528,-6.84545,7.28085,2.93595,-0.020436,7.82098,0.00246943,2.25,1.0,0.00271647141512,0.0323365612696,-2.14519567475
-111.709,4096,61440,-0.0688619002236,-0.0992400498301,-0.00030406541191,0.000368948400193,-1.21430643318e-17,-3.78111852511,8.98030662447,0.999937549779,0.0249240010091,-0.964073879362,1.599,0.0348030864497,0.0617739,-6.78096,6.42788,2.92948,-0.100849,7.83107,0.00404525,1.5,1.0,0.00117990477069,0.134947391568,-4.36856570388
-108.516,4096,65536,-0.0989863133857,-0.5,0.000602540124168,0.0106934198675,-1.38777878078e-17,-6.9431883065,2.02970411662,0.999967374831,0.028241617313,-2.19580046806,2.79375072536,0.0430824003669,0.0609545,-7.21818,6.89568,2.90454,-0.00993515,7.81612,0.00672262,1.5,1.0,0.00138015933262,0.0792082416746,-0.128581684599
-107.207,4096,69632,-0.0735048419627,-0.5,-0.000483257696033,0.00236179045624,-1.38777878078e-17,-8.11950089448,10.1162755443,0.999938620209,0.0252940647448,-1.31619119036,1.599,0.0348439737141,0.0836074,-6.67086,7.1377,2.92783,-0.370186,7.85453,0.0175733,1.5,1.0,0.00185832385897,-0.249886815401,0.248824541731
-112.122,4096,73728,-0.106155802389,-0.501129847541,-0.000456044072052,0.0141185396309,-1.38777878078e-17,-7.61840178257,8.15736104533,0.999947273971,0.0274417975383,-3.37702779005,1.599,0.0497238440086,0.119528,-7.19265,6.61112,3.01904,0.203951,7.85755,0.0503798,2.25,1.0,0.00165233066669,0.254291391718,0.811883092852
-112.272,4096,77824,-0.0726211593818,-0.508951807582,0.00024148948075,0.0021509912719,-1.38777878078e-17,-4.06328529897,6.29549361776,0.999944520845,0.0287573091928,-1.10857094733,1.599,0.0356961571767,0.105269,-6.38728,6.43265,2.9889,-0.0894053,7.90436,0.0402586,3.375,1.0,0.00219860345464,-1.34903756288,-1.59851599382
-123.434,4096,81920,-0.0748815259661,-0.130045973784,-7.55083879492e-05,0.000440818762936,-1.38777878078e-17,-2.04567137823,8.01118883649,0.999943710262,0.0265695202736,-1.05421728115,1.599,0.0351023828471,0.121133,-6.64474,6.72878,3.06463,0.122428,7.92049,0.0428505,5.0625,1.0,0.00177993445533,0.0229609007144,-7.44088970456
-113.469,4096,86016,-0.0699730322596,-0.108426369044,0.000240142195253,0.000412841370418,0.0,-4.21875194471,11.8051238519,0.999914636735,0.0240498284165,-0.88612634196,1.599,0.0319284339101,0.126695,-6.6853,7.99877,3.15226,-0.259303,7.98408,0.0429636,7.59375,1.0,0.00150731428305,0.0377260165658,-1.11442670773
-108.916,4096,90112,-0.0663896230288,-0.110009360783,-0.000513379462063,0.000306075951757,6.93889390391e-18,-3.62062841351,11.812412663,0.999877015045,0.0279625849443,-1.05027900145,1.599,0.0346390604699,0.184871,-7.25944,8.19061,3.22662,1.05556,7.97839,0.0738454,11.390625,1.0,0.00118050835027,0.180907606414,-0.478910054864
-110.658,4096,94208,-0.0898817879249,-0.5,-8.83933953771e-05,0.00924797843732,-2.77555756156e-17,-8.45077506962,2.18021691022,0.999959867619,0.0322737229861,-2.83876539333,1.599,0.044078240773,0.190457,-7.59071,7.74868,3.29785,1.3556,7.99257,0.0888097,17.0859375,1.0,0.00164846916365,-1.05472006179,0.0782676795294
-111.992,4096,98304,-0.0683501122794,-0.109379626476,-0.000596988771576,0.000400136849146,6.93889390391e-18,-5.58916061898,8.61333191756,0.999922150764,0.0245837521842,-1.0477733237,1.599,0.0339132035072,0.156272,-6.61882,7.53865,3.26174,0.970169,8.03162,0.0434831,25.62890625,1.0,0.00148490664674,-0.499979548092,-2.14571695941
