_MeanReward,Steps,_Episode,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-101.775,19783,20,0.026149246158,-0.9740653878,1.599,0.0568296871504,0.0282093,-2.75831,3.08404,0.401701,1.14933870213e-17,-6.91163005053,3.44327662468,0.999986171564,-0.0700451691533,-0.500812517963,0.0221828353302,0.00677513549233,-0.00197888,3.69366,0.0015261,1.0,1.0,0.00268309251284,0.617545395918,-5.69026420952
-94.9863,10779,40,0.0786396544365,-1.24713842461,2.03080874955,0.0422536000033,0.185116,-2.36711,3.15796,0.39639,5.27353361729e-18,-10.5400103765,3.51475702461,0.999966311581,-0.0794059340308,-0.504334302134,0.00896621779764,0.0141156539895,-0.00823766,3.66761,0.00441096,1.0,1.0,0.00247313168787,0.839165459919,0.0740745274811
-78.883,21397,60,0.0398058770876,-2.05391917143,2.45919497215,0.0405474462543,0.145483,-2.46567,3.00632,0.391426,5.31321389548e-18,-10.4672882035,7.99336689108,0.999942200241,-0.0450275674083,-0.5,0.0272842157175,0.00426059286974,-0.00377665,3.65772,0.0029813,1.0,1.0,0.00117772575174,0.725982948047,-0.032738902874
-77.2119,22518,80,0.0331650745792,-1.3038389191,1.599,0.0386919398649,0.127388,-2.67985,3.01334,0.392473,-7.57306406352e-18,-10.5854689932,11.9398740471,0.999919462759,-0.0453088689678,-0.5,0.0104779376414,0.004053882166,-0.00509952,3.64829,0.00370366,1.0,1.0,0.000846644047519,0.79220076063,0.645861146737
-61.2519,32000,100,0.0287268684791,-1.19248998507,1.599,0.0358372694233,0.126617,-2.70818,2.95624,0.391442,1.7763568394e-18,-7.50026917107,24.6197138841,0.999866235456,-0.0329017234637,-0.0665586525146,0.00185889207764,7.52921156646e-05,-0.00224444,3.64079,0.00165421,1.0,1.0,0.000142111621163,-0.574342307375,-3.62710563367
-62.5813,30448,120,0.0284258998845,-1.18915611973,1.599,0.0359843089749,0.118724,-2.64849,3.15778,0.390527,9.33450782659e-18,-27.183147101,18.7912258005,0.999865451927,-0.0335449595077,-0.5,0.00988830556519,0.000378934111892,-0.00408455,3.6263,0.00239949,1.0,1.0,0.00011341249578,0.718041299366,0.115878384591
-63.4484,31966,140,0.0257222171966,-1.30460685782,1.599,0.0368409151172,0.116846,-2.57329,3.19979,0.386423,0.0,-22.5513028326,18.545590757,0.999818011434,-0.0344158946363,-0.5,0.0120923118058,0.00080457549507,-0.0028328,3.6169,0.00147452,0.666666666667,1.0,0.000169156098073,0.798121922829,0.196242253178
-57.2441,32000,160,0.0273463731568,-1.19914352275,1.599,0.0369287652525,0.113877,-2.29773,3.04772,0.38433,2.6645352591e-18,-8.90040314576,25.9964635304,0.999619877257,-0.0306797312633,-0.0579844415589,0.00726082289342,7.288752931e-05,-0.00343414,3.60609,0.0055969,0.666666666667,1.0,3.91938984748e-05,0.509202376885,0.3119363433
-54.0272,32000,180,0.0239771342484,-1.16342661277,1.599,0.0371782280375,0.109748,-2.60749,3.35012,0.383394,3.5527136788e-18,-8.32624583871,18.4053501486,0.999725700977,-0.029328076668,-0.0724630546707,0.0132841600867,8.41820173266e-05,-0.002874,3.57831,0.00435963,0.666666666667,1.0,2.25073888874e-05,0.737712851191,-0.882422632001
-53.9217,31454,200,0.0228483980527,-1.16252690133,1.599,0.0367848466115,0.101674,-2.7024,3.26316,0.379064,3.61438410764e-18,-41.8779924001,3.14180387119,0.999768440533,-0.0301046601098,-0.5,0.0326420090079,0.000770696760298,-0.00314677,3.57371,0.00109412,0.444444444444,1.0,0.000189422471856,0.784853465923,0.408650430607
